,EPS Estimate,Reported EPS,Surprise(%)
2025-11-23 19:00:00-05:00,nan,nan,nan
2025-08-18 20:00:00-04:00,nan,nan,nan
2025-05-26 20:00:00-04:00,nan,nan,nan
2025-02-25 19:00:00-05:00,nan,nan,nan
2024-11-24 19:00:00-05:00,1.41,1.46,3.62
2024-08-20 20:00:00-04:00,1.26,1.32,5.01
2024-05-28 20:00:00-04:00,1.19,1.22,2.34
2024-02-26 19:00:00-05:00,1.22,1.29,5.45
2023-11-19 19:00:00-05:00,1.34,1.38,2.86
2023-08-14 20:00:00-04:00,1.36,1.43,4.8
2023-05-22 20:00:00-04:00,1.26,1.27,0.62
2023-02-27 19:00:00-05:00,1.3,1.37,5.04
