,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,81.08,82.23,80.59,82.21,1762500,0.0,0.0
2020-02-24,79.45,79.81,77.33,77.79,2919200,0.0,0.0
2020-02-25,77.98,78.16,75.07,75.33,2768000,0.0,0.0
2020-02-26,76.01,77.57,75.46,75.48,2526000,0.0,0.0
2020-02-27,74.1,77.6,73.8,74.82,2879400,0.0,0.0
2020-02-28,72.45,74.47,71.67,74.47,3755600,0.0,0.0
2020-03-02,74.71,79.24,74.64,79.21,3407500,0.0,0.0
2020-03-03,79.13,82.14,76.61,77.62,3017200,0.0,0.0
2020-03-04,79.02,81.59,78.0,81.51,1905300,0.0,0.0
2020-03-05,79.37,80.45,77.02,77.75,2322600,0.0,0.0
2020-03-06,75.33,76.24,73.92,75.91,2959900,0.0,0.0
2020-03-09,70.15,71.69,67.81,68.37,4598200,0.0,0.0
2020-03-10,70.59,71.14,67.31,70.45,3537300,0.0,0.0
2020-03-11,68.38,69.31,65.29,66.52,4985900,0.0,0.0
2020-03-12,61.84,64.88,60.07,61.28,5055000,0.0,0.0
2020-03-13,64.29,67.17,61.6,66.87,3261200,0.0,0.0
2020-03-16,61.27,64.38,59.07,61.97,4742800,0.0,0.0
2020-03-17,63.8,68.15,61.79,68.07,3341800,0.0,0.0
2020-03-18,62.99,67.53,62.98,66.55,4123900,0.0,0.0
2020-03-19,66.23,66.28,62.01,63.54,3430700,0.0,0.0
2020-03-20,63.77,68.61,62.77,64.22,3258400,0.0,0.0
2020-03-23,64.55,65.28,60.0,61.24,2989600,0.0,0.0
2020-03-24,63.32,65.88,62.42,64.74,2868900,0.0,0.0
2020-03-25,64.86,69.37,62.92,66.68,2628100,0.0,0.0
2020-03-26,67.64,71.94,67.3,71.24,3267500,0.0,0.0
2020-03-27,69.14,70.74,67.91,68.52,1829800,0.0,0.0
2020-03-30,68.84,70.9,68.84,70.4,1486200,0.18,0.0
2020-03-31,70.08,70.53,68.3,69.38,1822100,0.0,0.0
2020-04-01,67.3,68.04,66.02,66.77,2173600,0.0,0.0
2020-04-02,66.14,70.19,66.01,70.03,1840300,0.0,0.0
2020-04-03,69.47,70.07,67.49,68.22,2052600,0.0,0.0
2020-04-06,70.69,72.65,69.99,72.04,2312000,0.0,0.0
2020-04-07,74.22,75.14,71.71,71.72,2458000,0.0,0.0
2020-04-08,71.85,74.76,70.48,74.3,2703000,0.0,0.0
2020-04-09,74.04,76.26,73.85,75.89,2399900,0.0,0.0
2020-04-13,75.02,75.56,72.68,73.83,1533000,0.0,0.0
2020-04-14,74.89,76.73,74.83,76.37,2650300,0.0,0.0
2020-04-15,75.02,75.94,74.6,74.64,2721100,0.0,0.0
2020-04-16,75.62,76.46,74.08,76.29,1969300,0.0,0.0
2020-04-17,77.59,77.84,75.87,77.07,1313400,0.0,0.0
2020-04-20,76.58,76.58,74.58,74.95,1679400,0.0,0.0
2020-04-21,73.4,73.43,71.41,71.45,2848100,0.0,0.0
2020-04-22,72.42,73.22,71.48,72.82,2347400,0.0,0.0
2020-04-23,74.21,75.07,72.71,72.75,2097700,0.0,0.0
2020-04-24,73.26,73.54,71.71,73.39,1654300,0.0,0.0
2020-04-27,73.97,74.23,73.47,73.87,1295800,0.0,0.0
2020-04-28,74.6,74.6,72.99,73.09,1855900,0.0,0.0
2020-04-29,73.92,76.9,73.76,76.26,2409400,0.0,0.0
2020-04-30,75.53,75.99,73.62,74.27,1795200,0.0,0.0
2020-05-01,73.19,73.72,71.27,71.89,1618600,0.0,0.0
2020-05-04,71.96,72.29,71.13,72.23,1555400,0.0,0.0
2020-05-05,72.57,75.16,72.49,73.99,1476100,0.0,0.0
2020-05-06,74.3,76.37,74.26,75.44,2303600,0.0,0.0
2020-05-07,76.31,76.85,75.12,76.05,1190600,0.0,0.0
2020-05-08,77.18,77.82,76.72,77.22,2255000,0.0,0.0
2020-05-11,77.12,79.43,77.02,78.73,1691600,0.0,0.0
2020-05-12,79.03,79.73,77.29,77.36,2278900,0.0,0.0
2020-05-13,77.87,79.37,76.56,77.66,2664900,0.0,0.0
2020-05-14,76.82,79.11,76.26,79.09,2285900,0.0,0.0
2020-05-15,78.97,80.24,78.69,79.04,4529400,0.0,0.0
2020-05-18,80.64,81.76,79.72,81.05,2076000,0.0,0.0
2020-05-19,80.63,80.93,79.33,79.41,2099200,0.0,0.0
2020-05-20,80.39,80.39,78.93,79.16,2748100,0.0,0.0
2020-05-21,79.17,79.62,77.95,78.23,2576500,0.0,0.0
2020-05-22,82.35,84.93,81.57,82.33,5063100,0.0,0.0
2020-05-26,83.54,84.08,82.97,83.44,3173400,0.0,0.0
2020-05-27,83.61,83.78,81.74,83.49,1917600,0.0,0.0
2020-05-28,84.16,85.11,83.37,83.98,1908700,0.0,0.0
2020-05-29,84.45,85.73,83.77,85.39,2394500,0.0,0.0
2020-06-01,85.29,87.17,85.2,87.1,2477600,0.0,0.0
