,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,2.35,2.4,2.17
2024-10-30 20:00:00-04:00,1.6,1.64,2.35
2024-07-31 20:00:00-04:00,1.35,1.4,3.99
2024-05-01 20:00:00-04:00,1.5,1.53,1.97
2024-01-31 19:00:00-05:00,2.1,2.18,3.9
2023-11-01 20:00:00-04:00,1.39,1.46,4.92
2023-08-02 20:00:00-04:00,1.19,1.26,5.49
2023-05-03 20:00:00-04:00,1.43,1.52,6.03
