,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-10,146.0,165.0,141.25,144.71,70447500,0.0,0.0
2020-12-11,146.55,151.5,135.1,139.25,26980800,0.0,0.0
2020-12-14,135.0,135.3,125.16,130.0,16966100,0.0,0.0
2020-12-15,126.69,127.59,121.5,124.8,10914400,0.0,0.0
2020-12-16,125.83,142.0,124.91,137.99,20409600,0.0,0.0
2020-12-17,143.0,152.44,142.66,147.05,15054700,0.0,0.0
2020-12-18,150.44,159.0,150.3,157.3,15954200,0.0,0.0
2020-12-21,155.3,172.0,145.11,163.02,17788100,0.0,0.0
2020-12-22,170.0,174.97,161.05,163.19,9872600,0.0,0.0
2020-12-23,162.81,168.25,155.5,158.0,5852500,0.0,0.0
2020-12-24,159.16,162.78,154.11,154.83,3621400,0.0,0.0
2020-12-28,158.6,163.63,147.52,149.0,6229200,0.0,0.0
2020-12-29,150.0,151.65,143.11,150.0,5402300,0.0,0.0
2020-12-30,151.33,152.81,145.6,148.42,3462400,0.0,0.0
2020-12-31,146.89,147.88,144.5,146.8,2795800,0.0,0.0
2021-01-04,150.99,151.0,137.0,139.14,6409900,0.0,0.0
2021-01-05,138.27,149.0,137.25,148.3,5974200,0.0,0.0
2021-01-06,145.75,148.35,141.11,142.77,4213900,0.0,0.0
2021-01-07,146.36,154.41,145.26,151.27,4482800,0.0,0.0
2021-01-08,153.44,155.53,147.25,149.77,4615600,0.0,0.0
2021-01-11,147.99,150.5,144.02,148.13,2801900,0.0,0.0
2021-01-12,148.08,163.88,143.61,160.8,8123600,0.0,0.0
2021-01-13,160.8,178.61,159.35,169.99,12529700,0.0,0.0
2021-01-14,175.53,187.41,174.97,180.5,9926500,0.0,0.0
2021-01-15,184.58,185.99,164.86,169.27,8575700,0.0,0.0
2021-01-19,173.0,178.6,166.6,173.69,4685400,0.0,0.0
2021-01-20,176.0,176.3,161.0,161.83,8517400,0.0,0.0
2021-01-21,164.99,183.47,155.33,180.39,17618400,0.0,0.0
2021-01-22,178.08,185.3,175.19,181.86,7136800,0.0,0.0
2021-01-25,186.05,192.47,170.02,177.52,7472900,0.0,0.0
2021-01-26,180.0,193.0,177.3,192.74,6460900,0.0,0.0
2021-01-27,187.63,216.0,185.5,201.25,11019800,0.0,0.0
2021-01-28,202.6,212.83,187.05,187.36,7077700,0.0,0.0
2021-01-29,190.71,193.5,179.3,183.63,4529800,0.0,0.0
2021-02-01,187.47,188.82,179.74,180.44,3877400,0.0,0.0
2021-02-02,183.22,186.47,177.11,179.16,4413600,0.0,0.0
2021-02-03,181.97,190.89,180.0,185.72,4169000,0.0,0.0
2021-02-04,187.07,195.99,186.19,195.8,3631500,0.0,0.0
2021-02-05,197.0,197.25,190.25,195.3,2869700,0.0,0.0
2021-02-08,199.92,201.96,191.5,200.42,3488100,0.0,0.0
2021-02-09,199.2,209.22,196.16,199.88,4725800,0.0,0.0
2021-02-10,205.47,214.71,202.09,211.66,5257200,0.0,0.0
2021-02-11,213.5,219.94,207.0,216.83,3595200,0.0,0.0
2021-02-12,214.45,216.94,209.0,212.67,3041700,0.0,0.0
2021-02-16,216.24,218.77,209.08,209.86,3487900,0.0,0.0
2021-02-17,207.05,208.76,196.02,201.96,4090600,0.0,0.0
2021-02-18,199.0,200.36,192.16,198.03,2791400,0.0,0.0
2021-02-19,203.94,205.55,200.17,201.07,2605800,0.0,0.0
2021-02-22,200.69,205.0,193.5,195.33,3674200,0.0,0.0
2021-02-23,189.0,191.66,175.0,187.58,5902400,0.0,0.0
2021-02-24,190.97,208.14,189.0,200.19,5983500,0.0,0.0
2021-02-25,197.41,199.8,180.0,182.05,11568500,0.0,0.0
2021-02-26,194.17,214.1,185.75,206.35,19368600,0.0,0.0
2021-03-01,195.82,199.69,192.61,196.41,15798500,0.0,0.0
2021-03-02,195.63,200.0,188.5,189.89,9144900,0.0,0.0
2021-03-03,186.97,188.47,178.8,180.39,10592900,0.0,0.0
2021-03-04,178.63,183.89,170.86,180.22,9993700,0.0,0.0
2021-03-05,182.52,183.5,161.89,179.8,8788500,0.0,0.0
2021-03-08,179.99,186.39,177.02,180.8,4988500,0.0,0.0
2021-03-09,184.99,189.46,180.72,183.11,6079900,0.0,0.0
2021-03-10,184.57,191.0,181.55,183.78,6145600,0.0,0.0
2021-03-11,189.89,201.0,188.5,197.86,6031200,0.0,0.0
2021-03-12,196.27,208.69,192.19,206.74,5556500,0.0,0.0
2021-03-15,209.53,213.74,203.8,209.99,4329400,0.0,0.0
2021-03-16,209.11,215.49,198.17,200.0,4605600,0.0,0.0
2021-03-17,195.63,203.46,194.44,201.36,3781900,0.0,0.0
2021-03-18,196.8,199.89,190.67,191.44,3711500,0.0,0.0
2021-03-19,193.0,196.49,187.8,194.38,4444600,0.0,0.0
2021-03-22,196.85,203.3,194.71,195.0,3740400,0.0,0.0
2021-03-23,195.5,196.75,185.74,187.13,3460600,0.0,0.0
