,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,38.85,38.9,38.4,38.68,2645800,0.0,0.0
2020-02-24,37.67,37.89,37.44,37.73,3011000,0.0,0.0
2020-02-25,37.79,37.83,35.59,35.62,3364800,0.0,0.0
2020-02-26,35.82,36.23,35.12,35.13,5251700,0.0,0.0
2020-02-27,34.58,34.63,33.12,33.14,4476100,0.0,0.0
2020-02-28,32.27,33.17,31.52,33.17,8056800,0.0,0.0
2020-03-02,33.65,34.22,33.1,34.22,4829300,0.0,0.0
2020-03-03,33.98,34.89,33.34,33.53,4886600,0.0,0.0
2020-03-04,34.16,34.7,33.77,34.69,2971300,0.0,0.0
2020-03-05,33.81,34.23,33.49,33.77,2848400,0.0,0.0
2020-03-06,32.55,33.58,32.51,33.16,4051200,0.0,0.0
2020-03-09,31.27,33.07,30.82,31.1,6747000,0.0,0.0
2020-03-10,32.12,32.73,30.54,32.7,7447300,0.0,0.0
2020-03-11,31.46,32.01,30.46,30.9,4993300,0.0,0.0
2020-03-12,29.05,29.74,27.72,27.79,7272700,0.0,0.0
2020-03-13,29.08,30.56,27.6,30.52,6236600,0.0,0.0
2020-03-16,27.4,30.47,27.32,28.79,5685000,0.0,0.0
2020-03-17,29.54,31.08,29.16,31.07,4465100,0.0,0.0
2020-03-18,29.19,29.36,27.36,29.09,4471500,0.0,0.0
2020-03-19,29.0,30.84,27.84,29.48,3483900,0.0,0.0
2020-03-20,29.86,29.86,26.81,26.97,5009900,0.0,0.0
2020-03-23,26.62,27.31,25.48,25.82,4870400,0.0,0.0
2020-03-24,27.18,28.62,26.87,28.47,5301800,0.0,0.0
2020-03-25,28.53,29.98,28.09,28.81,3921500,0.0,0.0
2020-03-26,29.18,30.65,28.92,30.36,3556900,0.0,0.0
2020-03-27,29.51,30.33,29.21,29.51,3277700,0.0,0.0
2020-03-30,29.76,31.72,29.32,31.57,3215300,0.0,0.0
2020-03-31,31.59,32.14,30.6,30.99,3882200,0.0,0.0
2020-04-01,29.69,30.81,29.53,29.84,3496900,0.0,0.0
2020-04-02,29.71,31.01,29.55,30.25,3022600,0.0,0.0
2020-04-03,30.0,30.64,29.82,30.53,2582000,0.0,0.0
2020-04-06,31.58,31.73,31.07,31.52,5224600,0.0,0.0
2020-04-07,32.43,33.11,31.59,31.7,3180800,0.0,0.0
2020-04-08,31.92,32.46,31.51,32.14,2560500,0.0,0.0
2020-04-09,32.41,33.34,32.3,33.11,4278700,0.0,0.0
2020-04-13,32.83,32.95,31.41,31.78,3178500,0.0,0.0
2020-04-14,32.47,33.06,32.1,32.81,3445500,0.0,0.0
2020-04-15,31.93,32.16,31.04,31.27,2691000,0.0,0.0
2020-04-16,31.39,31.63,30.55,31.42,2736900,0.0,0.0
2020-04-17,32.33,32.91,31.99,32.77,3870200,0.0,0.0
2020-04-20,32.22,33.03,31.99,32.02,2588400,0.0,0.0
2020-04-21,31.51,31.52,30.71,30.84,2906600,0.0,0.0
2020-04-22,31.29,31.46,30.62,31.19,3132800,0.0,0.0
2020-04-23,31.36,31.89,31.25,31.49,2417400,0.0,0.0
2020-04-24,31.79,31.86,31.15,31.71,2244700,0.0,0.0
2020-04-27,31.6,32.34,31.55,32.19,1906500,0.0,0.0
2020-04-28,32.75,32.87,31.99,32.75,2657800,0.0,0.0
2020-04-29,33.39,34.01,33.16,33.84,3875400,0.0,0.0
2020-04-30,33.83,34.11,32.64,32.72,4571500,0.0,0.0
2020-05-01,32.3,32.54,30.78,30.94,2772900,0.0,0.0
2020-05-04,30.63,30.8,30.26,30.62,2530500,0.0,0.0
2020-05-05,30.97,31.34,30.77,30.8,2623400,0.0,0.0
2020-05-06,30.91,31.11,30.23,30.31,2934400,0.0,0.0
2020-05-07,30.74,31.03,30.56,30.62,2964600,0.0,0.0
2020-05-08,31.19,32.15,31.06,32.06,2890500,0.0,0.0
2020-05-11,31.72,31.79,30.9,31.21,2588600,0.0,0.0
2020-05-12,31.6,31.74,30.54,30.61,2321900,0.0,0.0
2020-05-13,30.4,30.66,29.63,29.81,2888800,0.0,0.0
2020-05-14,29.44,30.15,29.08,30.1,2448700,0.0,0.0
2020-05-15,29.95,30.63,29.88,30.06,6204700,0.0,0.0
2020-05-18,31.02,31.71,30.99,31.54,2599800,0.0,0.0
2020-05-19,31.53,31.54,30.94,30.99,1980700,0.36,0.0
2020-05-20,31.3,31.55,31.17,31.46,1955300,0.0,0.0
2020-05-21,31.24,31.43,31.05,31.26,1817300,0.0,0.0
2020-05-22,31.19,31.51,30.98,31.49,1745700,0.0,0.0
2020-05-26,32.32,33.24,32.31,33.05,2720900,0.0,0.0
2020-05-27,33.57,34.71,33.57,34.71,4187100,0.0,0.0
2020-05-28,35.31,35.31,34.61,34.71,4333100,0.0,0.0
2020-05-29,34.39,35.11,34.26,34.99,3755800,0.0,0.0
2020-06-01,34.78,34.78,34.26,34.61,2563100,0.0,0.0
2020-06-02,34.71,35.34,34.56,35.31,2902300,0.0,0.0
2020-06-03,35.6,36.16,35.55,36.05,2280500,0.0,0.0
2020-06-04,35.81,36.63,35.63,36.61,2463500,0.0,0.0
2020-06-05,37.34,38.16,37.34,37.84,3539700,0.0,0.0
2020-06-08,37.84,38.2,37.28,38.17,4290500,0.0,0.0
2020-06-09,37.49,38.0,37.27,37.72,3929400,0.0,0.0
2020-06-10,37.66,37.74,36.74,36.79,4093400,0.0,0.0
2020-06-11,35.73,35.95,34.31,34.35,3486800,0.0,0.0
2020-06-12,35.24,35.57,34.41,35.09,3304600,0.0,0.0
2020-06-15,34.04,35.23,33.86,35.15,2955000,0.0,0.0
2020-06-16,36.25,36.85,35.77,36.27,2780800,0.0,0.0
2020-06-17,36.5,36.5,35.73,36.02,2347200,0.0,0.0
2020-06-18,35.7,36.19,35.55,36.12,2139600,0.0,0.0
2020-06-19,36.71,37.09,35.77,35.81,5032300,0.0,0.0
2020-06-22,35.68,35.8,35.16,35.6,1551400,0.0,0.0
2020-06-23,36.04,36.04,35.53,35.54,2217200,0.0,0.0
2020-06-24,35.09,35.24,34.65,34.99,3655800,0.0,0.0
2020-06-25,34.85,35.64,34.72,35.56,2568900,0.0,0.0
2020-06-26,35.44,35.48,34.46,34.65,4166900,0.0,0.0
2020-06-29,35.04,35.48,34.9,35.3,1799700,0.0,0.0
2020-06-30,35.37,35.64,35.11,35.51,2839600,0.0,0.0
2020-07-01,35.69,35.69,35.0,35.07,1991300,0.0,0.0
2020-07-02,35.61,36.05,35.17,35.21,2647400,0.0,0.0
2020-07-06,35.72,35.92,34.99,35.31,1961000,0.0,0.0
2020-07-07,34.89,35.05,34.72,34.91,2271900,0.0,0.0
2020-07-08,34.89,35.05,34.2,34.42,2520300,0.0,0.0
2020-07-09,34.25,34.26,33.41,33.65,2281700,0.0,0.0
2020-07-10,33.73,35.07,33.73,35.05,1869300,0.0,0.0
2020-07-13,35.39,35.73,35.19,35.39,3270200,0.0,0.0
2020-07-14,35.41,36.11,35.1,35.99,2169700,0.0,0.0
2020-07-15,36.49,36.67,36.13,36.4,2132500,0.0,0.0
2020-07-16,36.33,36.79,36.12,36.45,2496600,0.0,0.0
2020-07-17,36.56,36.78,36.4,36.64,1974200,0.0,0.0
2020-07-20,36.49,36.49,35.8,35.8,2115300,0.0,0.0
2020-07-21,35.92,36.79,35.87,36.37,1855400,0.0,0.0
2020-07-22,36.29,36.76,36.13,36.63,1862800,0.0,0.0
2020-07-23,36.76,37.62,36.67,37.61,2616600,0.0,0.0
2020-07-24,37.73,38.0,37.35,37.46,2458800,0.0,0.0
2020-07-27,36.77,37.51,36.31,37.5,2290700,0.0,0.0
2020-07-28,37.5,38.24,37.5,37.91,2556200,0.0,0.0
2020-07-29,38.27,38.52,37.89,38.2,2714700,0.0,0.0
2020-07-30,38.27,38.8,38.03,38.59,2856600,0.0,0.0
2020-07-31,38.5,38.79,37.41,38.12,3500900,0.0,0.0
2020-08-03,38.24,38.57,38.01,38.21,2236200,0.0,0.0
2020-08-04,38.12,38.18,37.8,38.02,1979200,0.0,0.0
2020-08-05,38.27,38.68,38.2,38.57,2217200,0.0,0.0
2020-08-06,38.55,38.97,38.54,38.76,1745900,0.0,0.0
2020-08-07,38.6,39.25,38.53,39.19,2241400,0.0,0.0
2020-08-10,39.29,39.84,39.28,39.6,1936800,0.0,0.0
2020-08-11,40.05,40.24,39.45,39.51,2169500,0.0,0.0
2020-08-12,39.9,39.97,39.49,39.56,1940100,0.0,0.0
2020-08-13,39.62,39.95,39.3,39.54,2317300,0.0,0.0
2020-08-14,39.33,39.8,39.22,39.69,1633700,0.0,0.0
2020-08-17,39.63,39.85,39.43,39.51,1907100,0.0,0.0
2020-08-18,39.64,39.97,39.51,39.76,1574100,0.36,0.0
2020-08-19,39.6,40.0,39.38,39.53,1847000,0.0,0.0
2020-08-20,38.96,39.18,38.77,39.02,1723100,0.0,0.0
2020-08-21,38.92,39.18,38.77,39.11,2381900,0.0,0.0
2020-08-24,39.32,39.89,39.16,39.88,2211500,0.0,0.0
2020-08-25,40.19,40.31,39.55,39.75,2025300,0.0,0.0
2020-08-26,39.91,40.05,39.5,39.91,1782600,0.0,0.0
2020-08-27,40.0,40.3,39.89,40.13,2906500,0.0,0.0
2020-08-28,40.11,40.35,39.72,40.29,2279100,0.0,0.0
2020-08-31,40.32,40.35,39.97,40.16,2306300,0.0,0.0
2020-09-01,39.95,40.52,39.86,40.5,2805500,0.0,0.0
2020-09-02,40.57,41.17,40.49,41.04,3050500,0.0,0.0
2020-09-03,41.12,41.72,40.84,41.1,3940400,0.0,0.0
2020-09-04,41.33,41.9,41.26,41.72,4156800,0.0,0.0
2020-09-08,41.54,41.83,40.58,40.58,6292900,0.0,0.0
2020-09-09,40.84,41.58,40.8,41.32,3267300,0.0,0.0
2020-09-10,41.15,41.8,41.15,41.29,3122100,0.0,0.0
2020-09-11,41.39,42.15,41.28,42.07,3286500,0.0,0.0
2020-09-14,42.17,42.85,42.14,42.62,3331600,0.0,0.0
2020-09-15,42.87,42.98,42.42,42.59,2795900,0.0,0.0
2020-09-16,42.66,43.26,42.65,42.77,4542000,0.0,0.0
2020-09-17,42.48,43.16,42.19,42.86,5066300,0.0,0.0
2020-09-18,42.61,43.57,42.61,42.75,7380600,0.0,0.0
2020-09-21,42.14,42.2,41.19,41.73,5648400,0.0,0.0
2020-09-22,41.61,42.18,41.57,42.17,4315600,0.0,0.0
2020-09-23,42.15,42.35,40.47,40.52,3229000,0.0,0.0
2020-09-24,40.52,41.1,40.0,40.8,1607200,0.0,0.0
2020-09-25,40.49,41.39,40.41,41.35,1993100,0.0,0.0
2020-09-28,41.89,42.26,41.67,41.72,2514300,0.0,0.0
2020-09-29,41.8,41.8,41.04,41.26,1718800,0.0,0.0
2020-09-30,41.57,42.0,41.33,41.72,2584000,0.0,0.0
2020-10-01,41.87,41.95,41.45,41.81,1997000,0.0,0.0
2020-10-02,41.23,42.22,41.21,41.94,2238200,0.0,0.0
2020-10-05,42.21,42.91,42.12,42.87,3029700,0.0,0.0
2020-10-06,42.94,43.6,42.57,42.71,2580200,0.0,0.0
2020-10-07,43.11,43.47,42.99,43.35,2187100,0.0,0.0
2020-10-08,43.54,43.84,43.34,43.83,2465500,0.0,0.0
2020-10-09,43.97,44.43,43.88,43.94,2990400,0.0,0.0
2020-10-12,44.17,44.89,44.14,44.86,2778000,0.0,0.0
2020-10-13,44.62,44.62,43.5,43.82,2735900,0.0,0.0
2020-10-14,43.1,44.09,42.94,43.83,4577400,0.0,0.0
2020-10-15,43.47,44.84,43.23,44.81,2759200,0.0,0.0
2020-10-16,44.9,45.06,44.53,44.68,2192300,0.0,0.0
2020-10-19,45.5,46.18,44.87,45.14,3823700,0.0,0.0
2020-10-20,45.61,46.04,45.33,45.65,3246900,0.0,0.0
2020-10-21,45.56,46.3,45.56,45.59,2711000,0.0,0.0
2020-10-22,45.65,46.46,45.6,46.37,2309400,0.0,0.0
2020-10-23,46.55,46.7,46.29,46.54,2028100,0.0,0.0
2020-10-26,46.36,46.45,45.62,45.93,2491400,0.0,0.0
2020-10-27,45.77,45.98,45.19,45.19,2911500,0.0,0.0
2020-10-28,44.6,45.69,44.38,44.43,4291300,0.0,0.0
2020-10-29,44.31,45.12,43.9,44.79,3687400,0.0,0.0
2020-10-30,43.07,44.49,40.99,41.49,6630100,0.0,0.0
2020-11-02,42.31,43.59,42.13,43.57,4924800,0.0,0.0
2020-11-03,44.25,44.51,42.52,42.98,4088600,0.0,0.0
2020-11-04,43.1,43.16,41.69,41.73,3781500,0.0,0.0
2020-11-05,42.22,43.45,42.06,42.99,2946300,0.0,0.0
2020-11-06,43.25,43.73,42.85,43.31,3125400,0.0,0.0
2020-11-09,45.04,46.11,44.21,44.23,3642200,0.0,0.0
2020-11-10,44.55,45.44,44.41,45.0,2481900,0.0,0.0
2020-11-11,45.31,45.31,43.82,44.95,2523400,0.0,0.0
2020-11-12,44.76,44.76,43.82,44.26,2084400,0.0,0.0
2020-11-13,44.54,44.9,44.16,44.74,1628900,0.0,0.0
2020-11-16,45.45,45.45,44.69,45.23,2765500,0.0,0.0
2020-11-17,44.89,45.28,44.43,45.01,1836400,0.0,0.0
2020-11-18,45.19,45.46,44.51,44.53,2332500,0.36,0.0
2020-11-19,44.29,44.35,43.49,44.21,1603200,0.0,0.0
2020-11-20,43.98,44.18,43.66,43.93,1814400,0.0,0.0
2020-11-23,44.06,44.39,43.63,44.11,1953400,0.0,0.0
2020-11-24,44.42,45.7,44.21,45.7,2669900,0.0,0.0
2020-11-25,45.52,45.83,45.0,45.64,2460700,0.0,0.0
2020-11-27,45.64,45.89,45.3,45.6,1383100,0.0,0.0
2020-11-30,45.37,45.43,44.65,44.98,2624900,0.0,0.0
2020-12-01,45.36,45.51,45.04,45.29,2373000,0.0,0.0
2020-12-02,45.14,45.36,44.61,44.73,2719300,0.0,0.0
2020-12-03,44.76,45.14,44.55,45.02,2128600,0.0,0.0
2020-12-04,45.18,45.71,45.16,45.7,2156800,0.0,0.0
2020-12-07,45.61,45.79,45.1,45.23,1877600,0.0,0.0
2020-12-08,45.0,45.78,44.88,45.51,1589700,0.0,0.0
2020-12-09,45.77,45.79,44.84,45.04,2517500,0.0,0.0
2020-12-10,45.04,45.04,44.15,44.47,3436400,0.0,0.0
2020-12-11,44.22,45.1,43.9,45.02,2868600,0.0,0.0
2020-12-14,45.44,45.49,44.01,44.01,2175700,0.0,0.0
2020-12-15,44.28,45.04,43.95,44.8,1861100,0.0,0.0
2020-12-16,44.74,44.93,44.11,44.47,1937200,0.0,0.0
2020-12-17,45.0,45.04,44.22,44.63,3056400,0.0,0.0
2020-12-18,44.57,45.04,44.22,44.9,5635200,0.0,0.0
2020-12-21,44.3,44.73,44.04,44.62,1859000,0.0,0.0
2020-12-22,44.53,44.69,44.01,44.04,1600100,0.0,0.0
