,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,2.29,2.35,2.49
2024-10-29 20:00:00-04:00,2.21,2.33,5.58
2024-07-30 20:00:00-04:00,2.06,2.09,1.58
2024-04-30 20:00:00-04:00,2.79,2.88,3.4
2024-01-30 19:00:00-05:00,2.1,2.13,1.51
2023-10-24 20:00:00-04:00,2.03,2.08,2.72
2023-07-25 20:00:00-04:00,1.83,1.89,3.3
2023-04-25 20:00:00-04:00,2.45,2.52,2.9
