,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,205.0,206.27,199.85,201.91,1774800,0.0,0.0
2020-02-24,195.55,197.28,192.42,194.36,2104900,0.0,0.0
2020-02-25,196.47,197.41,185.74,186.72,2282300,0.0,0.0
2020-02-26,188.58,194.14,187.66,190.66,2850100,0.0,0.0
2020-02-27,184.24,188.49,180.07,180.64,2688300,0.0,0.0
2020-02-28,176.57,191.36,175.05,190.88,4339600,0.0,0.0
2020-03-02,190.66,191.97,183.27,190.83,2698800,0.0,0.0
2020-03-03,187.85,190.0,177.82,180.55,2756100,0.0,0.0
2020-03-04,183.89,191.67,182.13,191.41,2242800,0.0,0.0
2020-03-05,185.47,192.72,182.83,184.03,2328700,0.0,0.0
2020-03-06,177.83,179.67,168.55,173.41,3272200,0.0,0.0
2020-03-09,157.82,164.8,156.71,160.05,3108500,0.0,0.0
2020-03-10,165.6,166.5,157.1,164.47,3439400,0.0,0.0
2020-03-11,159.55,161.75,152.36,154.39,2789400,0.0,0.0
2020-03-12,143.78,148.5,135.69,136.0,5014100,0.0,0.0
2020-03-13,146.0,158.16,138.44,158.02,3998400,0.0,0.0
2020-03-16,140.99,153.49,135.24,148.08,4100900,0.0,0.0
2020-03-17,149.69,157.94,140.05,154.91,4110600,0.0,0.0
2020-03-18,145.22,154.38,125.37,141.82,4762400,0.0,0.0
2020-03-19,141.44,152.27,134.97,149.22,3749300,0.0,0.0
2020-03-20,151.46,156.05,145.38,148.02,4515800,0.0,0.0
2020-03-23,147.8,151.83,138.1,144.13,3309200,0.0,0.0
2020-03-24,151.25,153.39,141.42,149.96,2691500,0.0,0.0
2020-03-25,149.39,154.97,142.32,149.99,2497000,0.0,0.0
2020-03-26,150.85,163.14,150.64,160.88,2752500,0.0,0.0
2020-03-27,155.83,156.61,140.32,141.57,2929000,0.0,0.0
2020-03-30,142.74,157.17,141.28,155.91,3378400,0.0,0.0
2020-03-31,154.0,158.91,152.83,156.1,3678200,0.0,0.0
2020-04-01,147.52,150.47,137.86,139.22,3185100,0.0,0.0
2020-04-02,136.97,142.13,135.52,137.05,2729600,0.0,0.0
2020-04-03,136.88,141.53,136.27,139.0,2214500,0.0,0.0
2020-04-06,146.11,153.52,144.61,152.32,2732300,0.0,0.0
2020-04-07,157.72,157.8,147.25,148.69,2098200,0.0,0.0
2020-04-08,150.78,161.77,149.46,159.21,3142100,0.0,0.0
2020-04-09,160.71,170.8,160.16,164.89,3705100,0.0,0.0
2020-04-13,162.36,163.99,156.91,160.91,1896500,0.0,0.0
2020-04-14,165.16,174.75,164.0,172.22,1917700,0.0,0.0
2020-04-15,168.57,172.53,167.44,169.13,2014500,0.0,0.0
2020-04-16,171.46,173.49,168.11,171.0,1847500,0.0,0.0
2020-04-17,176.08,182.0,173.97,180.94,2357700,0.0,0.0
2020-04-20,178.19,181.52,176.44,177.86,1192000,0.0,0.0
2020-04-21,175.96,177.16,166.86,170.02,2331700,0.0,0.0
2020-04-22,176.05,177.33,173.36,175.36,1013500,0.0,0.0
2020-04-23,172.99,178.97,172.22,175.55,1582400,0.0,0.0
2020-04-24,177.25,180.97,174.19,180.35,1150900,0.0,0.0
2020-04-27,182.24,186.55,182.24,182.5,1684100,0.0,0.0
2020-04-28,185.52,185.78,176.27,177.3,1829100,0.0,0.0
2020-04-29,180.61,189.86,180.0,187.89,1559200,0.0,0.0
2020-04-30,187.0,189.55,185.13,187.13,1941400,0.0,0.0
2020-05-01,179.22,181.53,172.22,174.89,2061600,0.0,0.0
2020-05-04,174.77,179.33,173.13,177.8,1153400,0.0,0.0
2020-05-05,179.57,184.86,179.27,180.49,972800,0.0,0.0
2020-05-06,182.22,185.08,179.66,181.22,1011800,0.0,0.0
2020-05-07,182.92,186.46,180.8,184.0,1631900,0.0,0.0
2020-05-08,186.0,187.16,183.25,184.28,1005400,0.0,0.0
2020-05-11,183.13,186.13,182.91,184.39,1112100,0.0,0.0
2020-05-12,184.36,187.11,180.97,180.97,1097300,0.0,0.0
2020-05-13,180.6,182.67,173.83,176.86,1164800,0.0,0.0
2020-05-14,174.52,177.97,170.57,177.86,1222700,0.0,0.0
2020-05-15,176.49,181.13,175.44,180.72,1077900,0.0,0.0
2020-05-18,183.83,190.8,183.03,190.1,1436800,0.0,0.0
2020-05-19,190.13,198.89,190.13,194.71,1519100,0.0,0.0
2020-05-20,197.97,199.58,194.32,196.63,1028900,0.0,0.0
2020-05-21,196.08,197.58,193.64,194.75,1261100,0.0,0.0
2020-05-22,194.02,196.89,192.5,195.77,1534600,0.0,0.0
2020-05-26,199.32,203.83,198.61,199.52,1662400,0.0,0.0
2020-05-27,198.64,199.82,192.5,199.8,2193000,0.0,0.0
2020-05-28,196.38,208.3,194.6,202.63,3709300,0.0,0.0
2020-05-29,203.6,210.71,200.33,210.38,2750300,0.0,0.0
2020-06-01,210.0,221.5,209.05,219.28,2745600,0.0,0.0
