,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,0.8,0.77,-3.14
2024-11-05 19:00:00-05:00,1.91,1.87,-1.88
2024-07-31 20:00:00-04:00,0.93,0.97,4.19
2024-05-01 20:00:00-04:00,1.06,0.98,-7.97
2024-02-21 19:00:00-05:00,0.61,0.6,-1.08
2023-11-07 19:00:00-05:00,1.82,1.87,2.8
2023-08-01 20:00:00-04:00,0.8,0.9,13.03
2023-05-03 20:00:00-04:00,0.94,1.0,6.71
