,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.24,1.24,-0.24
2024-11-05 19:00:00-05:00,1.8,1.85,2.67
2024-07-29 20:00:00-04:00,1.23,1.25,1.38
2024-04-29 20:00:00-04:00,1.25,1.27,1.35
2024-02-25 19:00:00-05:00,1.26,1.23,-2.27
2023-11-01 20:00:00-04:00,1.7,1.77,4.0
2023-07-26 20:00:00-04:00,1.12,1.13,0.49
2023-05-03 20:00:00-04:00,1.12,1.11,-0.46
