,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,17.6,17.68,17.51,17.55,3949000,0.0,0.0
2020-02-24,17.2,17.33,17.03,17.13,3922000,0.0,0.0
2020-02-25,17.18,17.19,16.38,16.39,5871000,0.0,0.0
2020-02-26,16.49,16.52,15.8,15.81,4952800,0.0,0.0
2020-02-27,15.7,16.12,15.44,15.47,8442900,0.0,0.0
2020-02-28,13.53,14.71,13.32,14.15,12558200,0.0,0.0
2020-03-02,14.19,15.43,13.94,15.41,8987900,0.0,0.0
2020-03-03,15.23,15.59,14.73,14.74,11037900,0.0,0.0
2020-03-04,14.96,15.15,14.63,15.08,5851300,0.0,0.0
2020-03-05,14.83,14.84,14.02,14.15,6056400,0.0,0.0
2020-03-06,13.64,14.32,13.44,14.23,9374100,0.0,0.0
2020-03-09,13.24,13.36,12.26,12.33,6968000,0.0,0.0
2020-03-10,12.77,12.92,12.09,12.87,7209200,0.0,0.0
2020-03-11,12.48,12.65,11.88,11.98,7915400,0.0,0.0
2020-03-12,11.05,11.11,9.9,10.3,7510200,0.0,0.0
2020-03-13,10.99,11.19,10.13,11.0,7406400,0.0,0.0
2020-03-16,9.77,10.74,9.29,9.29,6959300,0.0,0.0
2020-03-17,9.56,9.91,8.32,9.78,7799000,0.0,0.0
2020-03-18,9.43,9.43,6.86,8.08,9184300,0.0,0.0
2020-03-19,8.03,9.53,7.61,9.29,8728900,0.0,0.0
2020-03-20,9.48,10.26,9.17,10.04,12070600,0.0,0.0
2020-03-23,10.13,10.99,9.75,10.04,10708200,0.0,0.0
2020-03-24,10.7,11.35,10.28,10.71,7597200,0.0,0.0
2020-03-25,10.78,11.49,9.99,10.84,7160900,0.0,0.0
2020-03-26,10.94,11.57,10.74,11.42,7775900,0.0,0.0
2020-03-27,10.87,11.7,10.72,11.38,5612400,0.0,0.0
2020-03-30,11.63,11.81,11.23,11.55,7614500,0.0,0.0
2020-03-31,11.42,11.78,11.15,11.5,6793600,0.0,0.0
2020-04-01,11.0,11.22,10.44,10.83,7036000,0.0,0.0
2020-04-02,10.71,11.48,10.56,11.03,6683700,0.0,0.0
2020-04-03,10.78,11.06,10.26,10.35,6542600,0.0,0.0
2020-04-06,10.91,11.66,10.83,11.52,5157900,0.0,0.0
2020-04-07,12.12,12.36,11.16,11.19,6269800,0.0,0.0
2020-04-08,11.17,12.07,11.13,11.95,4545500,0.0,0.0
2020-04-09,12.22,12.68,12.18,12.45,7452900,0.0,0.0
2020-04-13,12.37,12.37,11.77,12.0,3747500,0.0,0.0
2020-04-14,12.19,12.26,11.64,11.85,5190000,0.0,0.0
2020-04-15,11.26,11.55,10.71,10.73,10034200,0.0,0.0
2020-04-16,10.74,10.89,10.16,10.28,10028000,0.0,0.0
2020-04-17,10.65,11.16,10.56,11.1,7584500,0.0,0.0
2020-04-20,10.89,11.08,10.62,10.74,4971500,0.0,0.0
2020-04-21,10.49,10.64,10.36,10.54,5763800,0.0,0.0
2020-04-22,10.82,10.88,10.45,10.72,4492000,0.0,0.0
2020-04-23,10.84,11.11,10.7,10.73,4019300,0.0,0.0
2020-04-24,10.78,11.01,10.6,10.88,5041000,0.0,0.0
2020-04-27,11.0,11.38,10.9,11.23,3550600,0.0,0.0
2020-04-28,11.59,11.85,11.33,11.53,4307100,0.0,0.0
2020-04-29,11.82,12.25,11.73,12.11,5761100,0.0,0.0
2020-04-30,11.99,12.0,11.29,11.32,5606800,0.14,0.0
2020-05-01,11.11,11.25,10.76,11.06,3957400,0.0,0.0
2020-05-04,11.0,11.0,10.71,10.94,3618800,0.0,0.0
2020-05-05,11.12,11.29,11.02,11.15,5684900,0.0,0.0
2020-05-06,11.2,11.2,10.64,10.7,7499000,0.0,0.0
2020-05-07,10.7,11.15,10.31,10.35,7777500,0.0,0.0
2020-05-08,10.6,11.06,10.47,11.0,7502100,0.0,0.0
2020-05-11,10.88,10.88,10.53,10.59,5335000,0.0,0.0
2020-05-12,10.59,10.77,10.55,10.65,6686900,0.0,0.0
2020-05-13,10.56,10.58,9.83,9.92,9049000,0.0,0.0
2020-05-14,9.76,10.11,9.4,10.1,7523100,0.0,0.0
2020-05-15,10.01,10.11,9.88,10.04,7669600,0.0,0.0
2020-05-18,10.44,11.22,10.42,11.14,5725300,0.0,0.0
2020-05-19,11.23,11.33,10.94,10.94,5433300,0.0,0.0
2020-05-20,11.18,11.36,11.02,11.08,5266600,0.0,0.0
2020-05-21,11.02,11.11,10.5,10.52,7769100,0.0,0.0
2020-05-22,10.51,10.54,10.23,10.46,5943600,0.0,0.0
2020-05-26,10.96,11.25,10.88,11.0,5538100,0.0,0.0
2020-05-27,11.23,11.3,10.74,10.91,7715800,0.0,0.0
2020-05-28,11.06,11.23,10.78,11.01,8437500,0.0,0.0
2020-05-29,10.94,10.96,10.51,10.67,8117900,0.0,0.0
2020-06-01,10.65,10.9,10.53,10.72,6523200,0.0,0.0
2020-06-02,10.82,11.22,10.64,11.2,5416500,0.0,0.0
2020-06-03,11.4,11.75,11.39,11.64,5804000,0.0,0.0
2020-06-04,11.58,11.93,11.46,11.82,9202300,0.0,0.0
2020-06-05,12.37,12.87,12.15,12.22,8321300,0.0,0.0
2020-06-08,12.39,12.88,12.35,12.79,5488500,0.0,0.0
2020-06-09,12.4,12.47,11.72,11.82,6287500,0.0,0.0
2020-06-10,11.77,11.78,11.24,11.25,7941300,0.0,0.0
2020-06-11,10.68,10.76,10.25,10.42,8830900,0.0,0.0
2020-06-12,10.88,11.07,10.47,10.82,6952800,0.0,0.0
2020-06-15,10.45,11.09,10.28,11.0,5975900,0.0,0.0
2020-06-16,11.6,11.88,11.41,11.67,7945200,0.0,0.0
2020-06-17,11.76,11.86,11.35,11.46,6822400,0.0,0.0
2020-06-18,11.28,11.54,11.21,11.48,4560800,0.0,0.0
2020-06-19,11.71,11.88,11.38,11.4,11402400,0.0,0.0
2020-06-22,11.41,12.08,11.26,11.94,9029900,0.0,0.0
2020-06-23,12.07,12.29,11.76,11.82,7689800,0.0,0.0
2020-06-24,11.69,11.97,11.52,11.82,8331500,0.0,0.0
2020-06-25,11.74,11.93,11.59,11.86,9719400,0.0,0.0
2020-06-26,11.81,11.94,11.56,11.75,13077500,0.0,0.0
2020-06-29,11.93,12.34,11.72,12.25,9840400,0.0,0.0
2020-06-30,12.18,12.43,12.04,12.38,9237100,0.0,0.0
2020-07-01,12.47,12.55,12.2,12.31,5702400,0.0,0.0
2020-07-02,12.48,12.65,12.34,12.37,4701800,0.0,0.0
2020-07-06,12.64,12.86,12.25,12.36,5526900,0.0,0.0
2020-07-07,12.17,12.17,11.99,12.08,4165200,0.0,0.0
2020-07-08,12.03,12.36,11.93,12.34,6383700,0.0,0.0
2020-07-09,12.21,12.29,11.76,11.89,5579300,0.0,0.0
2020-07-10,11.89,12.33,11.87,12.27,5158000,0.0,0.0
2020-07-13,12.34,12.71,12.3,12.51,6735900,0.0,0.0
2020-07-14,12.47,12.81,12.43,12.61,6563500,0.0,0.0
2020-07-15,12.77,12.99,12.7,12.88,4961900,0.0,0.0
2020-07-16,12.87,12.96,12.66,12.71,3706000,0.0,0.0
2020-07-17,12.7,13.43,12.62,13.35,8238800,0.0,0.0
2020-07-20,13.26,13.27,12.94,13.04,5591900,0.0,0.0
2020-07-21,13.16,13.51,13.08,13.17,5172800,0.0,0.0
2020-07-22,13.02,13.43,12.72,13.33,6716500,0.0,0.0
2020-07-23,13.37,13.58,13.31,13.4,4130400,0.0,0.0
2020-07-24,13.43,13.53,13.08,13.16,4226600,0.0,0.0
2020-07-27,13.15,13.17,12.83,13.03,5329200,0.0,0.0
2020-07-28,12.93,13.14,12.93,12.99,3344000,0.0,0.0
2020-07-29,13.05,13.35,13.01,13.29,4142500,0.0,0.0
2020-07-30,13.14,13.23,12.94,13.17,3175300,0.0,0.0
2020-07-31,13.13,13.16,12.79,13.13,4080000,0.14,0.0
2020-08-03,13.13,13.13,12.89,13.04,3457000,0.0,0.0
2020-08-04,13.03,13.39,12.92,13.34,5566600,0.0,0.0
2020-08-05,13.45,13.51,13.12,13.28,6045100,0.0,0.0
2020-08-06,13.24,14.5,13.15,14.27,9526700,0.0,0.0
2020-08-07,14.17,14.92,14.12,14.8,8627800,0.0,0.0
2020-08-10,14.95,15.28,14.59,15.17,5848600,0.0,0.0
2020-08-11,15.29,15.4,14.63,14.64,5873700,0.0,0.0
2020-08-12,14.65,15.2,14.46,14.89,5144100,0.0,0.0
2020-08-13,14.91,15.52,14.8,15.34,7945700,0.0,0.0
2020-08-14,15.27,15.27,15.04,15.15,4269300,0.0,0.0
2020-08-17,15.18,15.35,15.08,15.24,4249500,0.0,0.0
2020-08-18,15.17,15.43,15.08,15.3,4635000,0.0,0.0
2020-08-19,15.3,15.5,15.16,15.2,2614800,0.0,0.0
2020-08-20,15.01,15.58,14.89,15.48,5172300,0.0,0.0
2020-08-21,15.52,15.66,15.37,15.54,5183400,0.0,0.0
2020-08-24,15.63,15.68,15.45,15.58,3912300,0.0,0.0
2020-08-25,15.67,15.67,15.22,15.43,2839400,0.0,0.0
2020-08-26,15.43,15.45,15.16,15.29,3181300,0.0,0.0
2020-08-27,15.33,15.53,15.27,15.45,3515400,0.0,0.0
2020-08-28,15.43,15.49,15.15,15.44,4775000,0.0,0.0
2020-08-31,15.46,15.52,15.24,15.31,4074700,0.0,0.0
2020-09-01,15.22,15.48,15.14,15.45,3914300,0.0,0.0
2020-09-02,15.45,15.74,15.29,15.68,4967300,0.0,0.0
2020-09-03,15.74,15.82,15.12,15.26,4419100,0.0,0.0
2020-09-04,15.31,15.35,14.77,15.15,4318200,0.0,0.0
2020-09-08,15.09,15.12,14.84,15.01,4264800,0.0,0.0
2020-09-09,15.14,15.3,14.95,15.13,2988900,0.0,0.0
2020-09-10,15.13,15.22,14.93,14.97,2737000,0.0,0.0
2020-09-11,15.01,15.39,14.89,15.35,7266200,0.0,0.0
2020-09-14,15.43,15.59,15.28,15.48,4413900,0.0,0.0
2020-09-15,15.6,15.64,15.2,15.34,3703300,0.0,0.0
2020-09-16,15.36,15.64,15.29,15.58,4346300,0.0,0.0
2020-09-17,15.42,16.03,15.19,15.89,6893600,0.0,0.0
2020-09-18,15.93,16.49,15.91,16.21,11655500,0.0,0.0
2020-09-21,15.89,15.98,15.51,15.83,4674800,0.0,0.0
2020-09-22,15.83,15.92,15.52,15.73,4816300,0.0,0.0
2020-09-23,15.84,15.91,15.32,15.32,5635800,0.0,0.0
2020-09-24,15.39,15.64,15.02,15.49,7458000,0.0,0.0
2020-09-25,15.53,15.58,15.28,15.52,3652700,0.0,0.0
2020-09-28,15.77,15.91,15.39,15.41,5012600,0.0,0.0
2020-09-29,15.58,15.72,15.37,15.52,4226900,0.0,0.0
2020-09-30,15.56,15.76,15.49,15.62,6615400,0.0,0.0
2020-10-01,15.73,15.79,15.25,15.45,4895900,0.0,0.0
2020-10-02,15.12,16.0,15.06,15.99,6500200,0.0,0.0
2020-10-05,16.08,16.2,16.0,16.02,3444800,0.0,0.0
2020-10-06,16.03,16.25,15.89,16.09,3555500,0.0,0.0
2020-10-07,16.18,16.33,16.03,16.17,3546900,0.0,0.0
2020-10-08,16.27,16.8,16.2,16.77,8813800,0.0,0.0
2020-10-09,16.82,16.88,16.37,16.66,7942800,0.0,0.0
2020-10-12,16.66,16.91,16.57,16.84,5156600,0.0,0.0
2020-10-13,16.65,16.91,16.62,16.86,5105700,0.0,0.0
2020-10-14,16.86,17.03,16.79,16.93,3657800,0.0,0.0
2020-10-15,16.68,17.21,16.63,17.13,3941700,0.0,0.0
2020-10-16,17.19,17.28,16.95,17.16,3838900,0.0,0.0
2020-10-19,17.16,17.34,16.97,17.16,8025400,0.0,0.0
2020-10-20,17.4,17.59,17.21,17.25,4668200,0.0,0.0
2020-10-21,17.22,17.48,17.19,17.43,5450700,0.0,0.0
2020-10-22,17.42,17.64,17.28,17.6,4140900,0.0,0.0
2020-10-23,17.72,17.91,17.53,17.81,3881500,0.0,0.0
2020-10-26,17.59,17.81,17.29,17.75,5676100,0.0,0.0
2020-10-27,17.74,17.83,17.48,17.54,3719000,0.0,0.0
2020-10-28,17.25,17.4,16.7,16.82,6373700,0.0,0.0
2020-10-29,16.79,17.14,16.49,16.97,4772900,0.14,0.0
2020-10-30,16.94,17.21,16.78,16.94,5949800,0.0,0.0
2020-11-02,17.19,17.5,17.09,17.38,5621600,0.0,0.0
2020-11-03,17.68,17.98,17.52,17.61,4908200,0.0,0.0
2020-11-04,17.6,17.74,17.28,17.32,6436200,0.0,0.0
2020-11-05,17.57,18.49,17.46,18.22,5604300,0.0,0.0
2020-11-06,18.17,18.53,17.69,17.73,4317800,0.0,0.0
2020-11-09,19.05,19.39,18.17,18.22,7284000,0.0,0.0
2020-11-10,18.2,18.31,17.83,18.09,6543700,0.0,0.0
2020-11-11,18.25,18.77,18.14,18.5,6060800,0.0,0.0
2020-11-12,18.34,18.34,17.62,17.85,5706800,0.0,0.0
2020-11-13,18.0,18.25,17.92,18.13,4756600,0.0,0.0
2020-11-16,18.5,18.62,18.31,18.53,5490200,0.0,0.0
2020-11-17,18.36,18.7,18.36,18.55,4546300,0.0,0.0
2020-11-18,18.56,18.72,18.4,18.57,11401900,0.0,0.0
2020-11-19,18.49,18.51,18.09,18.14,6364300,0.0,0.0
2020-11-20,18.01,18.12,17.71,17.74,6956400,0.0,0.0
2020-11-23,17.91,17.99,17.69,17.78,5700700,0.0,0.0
2020-11-24,18.0,18.45,17.85,18.38,5722200,0.0,0.0
2020-11-25,18.38,18.49,18.1,18.23,4538700,0.0,0.0
2020-11-27,18.32,18.35,18.18,18.28,1924100,0.0,0.0
2020-11-30,18.22,18.27,17.71,17.76,8001700,0.0,0.0
2020-12-01,17.95,18.18,17.85,17.9,5935400,0.0,0.0
2020-12-02,17.79,18.58,17.61,18.38,6780500,0.0,0.0
2020-12-03,18.34,18.72,18.25,18.38,5008800,0.0,0.0
2020-12-04,18.45,18.58,18.15,18.31,4094300,0.0,0.0
2020-12-07,18.24,18.38,17.93,18.13,4225000,0.0,0.0
2020-12-08,18.09,18.55,18.04,18.41,4626100,0.0,0.0
2020-12-09,18.4,18.47,17.98,18.12,4848400,0.0,0.0
2020-12-10,17.99,18.22,17.93,18.12,4779400,0.0,0.0
2020-12-11,17.96,18.45,17.83,18.38,4495300,0.0,0.0
2020-12-14,18.54,18.74,18.39,18.51,4869900,0.0,0.0
2020-12-15,18.6,19.38,18.51,19.36,5431700,0.0,0.0
2020-12-16,19.47,19.53,18.99,19.03,6493400,0.0,0.0
2020-12-17,19.1,19.51,19.1,19.19,6010000,0.0,0.0
2020-12-18,19.24,19.71,19.14,19.58,13712900,0.0,0.0
2020-12-21,19.4,20.11,19.18,19.65,6095800,0.0,0.0
2020-12-22,19.73,20.12,19.63,19.83,4832900,0.0,0.0
2020-12-23,20.11,20.47,19.98,20.41,5114100,0.0,0.0
2020-12-24,20.42,20.44,20.07,20.22,2859700,0.0,0.0
2020-12-28,20.4,20.51,20.19,20.24,3892600,0.0,0.0
2020-12-29,20.31,20.52,20.05,20.25,2818800,0.0,0.0
2020-12-30,19.97,20.09,19.69,19.79,8226300,0.0,0.0
2020-12-31,19.91,20.47,19.84,20.42,4316400,0.0,0.0
2021-01-04,20.6,20.84,20.0,20.19,6523400,0.0,0.0
2021-01-05,20.17,21.02,20.16,20.87,6392600,0.0,0.0
2021-01-06,21.1,21.91,20.94,21.7,6504300,0.0,0.0
2021-01-07,21.9,21.98,21.49,21.49,6068300,0.0,0.0
2021-01-08,21.63,22.11,21.5,22.09,4479300,0.0,0.0
2021-01-11,21.8,22.2,21.74,22.12,6026000,0.0,0.0
2021-01-12,22.18,22.7,22.13,22.61,5220000,0.0,0.0
2021-01-13,22.69,23.51,22.63,23.36,8193500,0.0,0.0
2021-01-14,23.36,23.96,23.36,23.85,5924700,0.0,0.0
2021-01-15,23.7,24.17,23.6,23.98,5220400,0.0,0.0
2021-01-19,24.37,24.69,24.11,24.38,6587000,0.0,0.0
2021-01-20,24.32,24.92,24.23,24.35,6807900,0.0,0.0
2021-01-21,24.36,24.4,23.61,23.7,7104900,0.0,0.0
2021-01-22,23.58,23.7,23.4,23.55,5784600,0.0,0.0
2021-01-25,23.34,23.64,22.51,22.79,10717100,0.0,0.0
2021-01-26,22.8,22.9,21.25,21.34,10506600,0.0,0.0
2021-01-27,20.82,20.85,19.83,19.95,14199900,0.0,0.0
2021-01-28,20.43,21.67,20.15,21.47,12017000,0.15,0.0
2021-01-29,21.24,21.79,21.2,21.33,7250300,0.0,0.0
2021-02-01,21.57,22.01,21.24,21.7,10704400,0.0,0.0
2021-02-02,21.96,22.9,21.81,22.52,11209600,0.0,0.0
2021-02-03,22.57,22.71,22.22,22.61,5264400,0.0,0.0
2021-02-04,22.52,22.93,22.42,22.89,4831800,0.0,0.0
2021-02-05,23.11,23.7,22.97,23.49,4324400,0.0,0.0
2021-02-08,23.75,24.46,23.57,24.21,8431900,0.0,0.0
2021-02-09,24.13,24.42,23.9,24.41,5275100,0.0,0.0
2021-02-10,24.56,24.6,23.69,24.18,7563500,0.0,0.0
2021-02-11,24.32,24.67,24.18,24.49,5576500,0.0,0.0
2021-02-12,24.49,24.96,24.45,24.95,4984200,0.0,0.0
2021-02-16,25.02,25.43,24.88,25.29,7370000,0.0,0.0
2021-02-17,25.19,25.37,24.95,25.16,4720300,0.0,0.0
2021-02-18,25.02,25.21,23.94,24.32,7613800,0.0,0.0
2021-02-19,24.5,25.02,24.43,24.76,4352100,0.0,0.0
2021-02-22,24.6,24.6,23.59,23.62,9607600,0.0,0.0
2021-02-23,23.51,23.91,22.34,23.81,9793400,0.0,0.0
2021-02-24,23.82,24.74,23.78,24.49,8672000,0.0,0.0
2021-02-25,24.21,24.39,22.91,23.05,8306200,0.0,0.0
2021-02-26,23.09,23.74,22.85,23.23,5892200,0.0,0.0
2021-03-01,23.68,23.88,23.27,23.62,6045600,0.0,0.0
2021-03-02,23.6,23.7,23.3,23.45,5638100,0.0,0.0
2021-03-03,23.41,23.56,23.05,23.52,6996900,0.0,0.0
2021-03-04,22.85,23.16,22.37,22.64,18935500,0.0,0.0
2021-03-05,22.74,22.95,21.72,22.73,10636900,0.0,0.0
2021-03-08,22.85,23.24,22.52,22.99,8455700,0.0,0.0
2021-03-09,23.5,24.46,23.35,24.08,6344100,0.0,0.0
2021-03-10,24.21,24.66,23.97,24.04,6912000,0.0,0.0
2021-03-11,24.33,24.77,24.24,24.65,4632800,0.0,0.0
2021-03-12,24.53,24.94,24.26,24.88,3393000,0.0,0.0
2021-03-15,24.82,25.16,24.74,24.93,4334700,0.0,0.0
2021-03-16,24.79,24.88,24.38,24.39,4547300,0.0,0.0
2021-03-17,24.31,24.31,23.06,23.48,11942900,0.0,0.0
2021-03-18,23.48,23.6,22.72,22.74,8796100,0.0,0.0
2021-03-19,22.75,23.22,22.65,23.01,11160700,0.0,0.0
2021-03-22,23.06,23.14,22.64,22.71,7979800,0.0,0.0
2021-03-23,22.71,22.76,22.22,22.37,6874200,0.0,0.0
2021-03-24,22.36,23.1,22.36,22.43,5497100,0.0,0.0
2021-03-25,22.2,22.96,22.01,22.85,5455900,0.0,0.0
2021-03-26,22.89,23.07,22.65,23.02,5056700,0.0,0.0
2021-03-29,22.91,23.02,22.72,22.8,3794900,0.0,0.0
