,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,45.63,46.02,45.49,45.85,2977600,0.0,0.0
2020-02-24,44.97,45.11,43.77,43.8,4080300,0.0,0.0
2020-02-25,43.87,43.97,42.27,42.44,4013900,0.0,0.0
2020-02-26,42.75,42.98,41.02,41.42,5292000,0.0,0.0
2020-02-27,40.72,41.28,39.49,39.51,6232300,0.0,0.0
2020-02-28,38.54,39.03,37.3,38.13,8935600,0.0,0.0
2020-03-02,38.37,40.31,38.19,40.3,6569000,0.0,0.0
2020-03-03,40.07,40.62,38.33,38.55,7325900,0.0,0.0
2020-03-04,39.32,39.7,38.37,39.64,7922500,0.0,0.0
2020-03-05,38.45,38.45,36.65,37.0,5574500,0.0,0.0
2020-03-06,35.34,36.44,34.94,36.28,6310800,0.0,0.0
2020-03-09,33.81,35.72,32.7,33.45,7871300,0.0,0.0
2020-03-10,34.74,34.94,33.11,34.9,6962000,0.0,0.0
2020-03-11,33.73,33.89,32.32,32.87,5903400,0.0,0.0
2020-03-12,29.73,30.87,27.95,27.96,6057800,0.0,0.0
2020-03-13,29.84,31.01,27.72,30.87,6242000,0.0,0.0
2020-03-16,26.78,28.93,25.64,25.79,5979300,0.0,0.0
2020-03-17,26.26,27.0,24.03,26.83,7086300,0.0,0.0
2020-03-18,24.79,25.44,20.52,22.48,7493400,0.0,0.0
2020-03-19,22.39,25.31,21.52,23.93,7171300,0.0,0.0
2020-03-20,24.31,26.11,23.34,23.78,6985900,0.0,0.0
2020-03-23,23.51,24.01,22.36,22.86,6925700,0.0,0.0
2020-03-24,24.47,26.0,23.74,25.9,6025300,0.0,0.0
2020-03-25,26.2,34.02,25.97,32.68,14431000,0.0,0.0
2020-03-26,33.1,36.68,30.95,31.83,10739400,0.0,0.0
2020-03-27,30.41,33.06,30.02,31.5,6083000,0.0,0.0
2020-03-30,31.7,32.7,30.7,32.26,4315900,0.0,0.0
2020-03-31,31.8,32.03,30.3,30.46,7315700,0.0,0.0
2020-04-01,28.52,29.49,27.63,28.38,5237000,0.0,0.0
2020-04-02,28.14,29.47,27.68,28.32,4892600,0.0,0.0
2020-04-03,27.86,29.06,27.85,28.84,4690300,0.0,0.0
2020-04-06,30.72,32.13,30.32,31.34,5275800,0.0,0.0
2020-04-07,33.09,34.02,31.72,31.77,4625500,0.0,0.0
2020-04-08,32.04,33.89,31.81,33.61,4296900,0.0,0.0
2020-04-09,34.26,35.43,33.39,33.88,7065600,0.0,0.0
2020-04-13,33.94,33.94,32.5,33.17,2828200,0.0,0.0
2020-04-14,33.84,34.21,33.27,33.61,3347800,0.0,0.0
2020-04-15,32.2,32.5,31.43,31.81,3689500,0.0,0.0
2020-04-16,31.77,31.8,30.93,31.18,2878000,0.0,0.0
2020-04-17,32.24,32.8,31.65,32.46,3858400,0.0,0.0
2020-04-20,31.59,32.5,31.16,32.16,3377900,0.0,0.0
2020-04-21,31.08,31.61,30.63,30.78,3383400,0.0,0.0
2020-04-22,31.54,31.82,31.14,31.56,2363900,0.0,0.0
2020-04-23,31.84,32.02,31.13,31.18,3206900,0.0,0.0
2020-04-24,31.65,32.53,31.35,32.29,3482700,0.0,0.0
2020-04-27,32.33,33.42,32.33,33.16,3279900,0.0,0.0
2020-04-28,34.28,34.82,33.52,33.62,2445300,0.0,0.0
2020-04-29,34.79,35.13,34.09,34.87,3001300,0.0,0.0
2020-04-30,33.05,34.61,32.78,33.13,5604200,0.0,0.0
2020-05-01,32.29,32.59,32.0,32.58,3425200,0.0,0.0
2020-05-04,32.08,32.12,31.27,31.81,3522700,0.0,0.0
2020-05-05,31.91,32.6,31.91,31.96,3421600,0.0,0.0
2020-05-06,31.61,32.0,30.5,30.5,4079500,0.0,0.0
2020-05-07,31.03,32.44,31.0,31.92,2977600,0.0,0.0
2020-05-08,32.61,32.81,31.55,32.26,2570700,0.0,0.0
2020-05-11,31.75,31.98,31.12,31.51,2938800,0.0,0.0
2020-05-12,31.61,31.68,29.93,29.94,3698600,0.0,0.0
2020-05-13,29.63,29.65,28.31,28.46,4405000,0.0,0.0
2020-05-14,27.96,29.17,26.98,29.15,5193200,0.0,0.0
2020-05-15,28.77,29.5,28.36,29.35,10064000,0.0,0.0
2020-05-18,30.91,31.26,30.62,30.92,3832400,0.0,0.0
2020-05-19,30.65,30.89,29.88,30.16,3141600,0.28,0.0
2020-05-20,30.54,31.48,30.43,31.21,4786800,0.0,0.0
2020-05-21,31.04,31.36,30.94,31.26,4426000,0.0,0.0
2020-05-22,31.34,31.34,30.84,31.12,2875000,0.0,0.0
2020-05-26,32.52,32.88,31.91,32.5,3783300,0.0,0.0
2020-05-27,34.06,34.06,32.88,33.34,4554000,0.0,0.0
2020-05-28,33.6,33.72,32.47,32.86,4103800,0.0,0.0
2020-05-29,32.37,32.95,31.98,32.71,17390300,0.0,0.0
2020-06-01,32.7,33.4,32.52,33.16,5017900,0.0,0.0
2020-06-02,33.49,33.81,33.19,33.4,2849800,0.0,0.0
2020-06-03,34.28,34.68,34.09,34.27,3641700,0.0,0.0
