,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,1.23,1.3,5.78
2024-11-03 19:00:00-05:00,1.1,1.23,11.61
2024-07-30 20:00:00-04:00,1.3,1.16,-10.69
2024-04-30 20:00:00-04:00,1.65,1.77,7.39
2024-02-12 19:00:00-05:00,1.64,1.79,9.24
2023-10-31 20:00:00-04:00,1.5,1.61,7.46
2023-07-31 20:00:00-04:00,1.59,1.75,10.37
2023-05-03 20:00:00-04:00,1.42,1.63,14.94
