,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,4.13,4.79,15.95
2024-11-04 19:00:00-05:00,2.52,3.0,18.98
2024-08-05 20:00:00-04:00,3.62,4.08,12.71
2024-05-06 20:00:00-04:00,3.87,4.78,23.38
2024-02-05 19:00:00-05:00,3.72,4.58,23.07
2023-10-30 20:00:00-04:00,2.58,4.29,66.56
2023-07-31 20:00:00-04:00,2.57,3.89,51.28
2023-05-01 20:00:00-04:00,2.32,2.75,18.68
