,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,128.31,129.21,127.21,127.86,431100,0.63,0.0
2020-02-24,125.27,126.97,124.52,125.25,508000,0.0,0.0
2020-02-25,125.05,125.82,122.01,122.17,639500,0.0,0.0
2020-02-26,122.69,123.75,120.49,120.94,520500,0.0,0.0
2020-02-27,119.58,120.95,115.76,115.81,956000,0.0,0.0
2020-02-28,113.21,114.62,107.63,110.06,1207400,0.0,0.0
2020-03-02,110.25,116.77,110.07,116.72,553200,0.0,0.0
2020-03-03,116.24,118.32,112.15,112.48,553100,0.0,0.0
2020-03-04,114.32,115.87,112.03,115.77,533400,0.0,0.0
2020-03-05,112.39,113.1,108.41,110.25,445500,0.0,0.0
2020-03-06,106.01,109.79,105.78,109.23,468300,0.0,0.0
2020-03-09,103.13,105.41,98.33,99.52,723300,0.0,0.0
2020-03-10,102.83,104.05,99.36,103.94,499000,0.0,0.0
2020-03-11,101.02,102.15,97.73,98.91,449500,0.0,0.0
2020-03-12,91.4,95.17,87.04,88.17,716500,0.0,0.0
2020-03-13,93.41,95.57,89.05,95.4,573700,0.0,0.0
2020-03-16,84.87,91.4,76.05,76.57,968800,0.0,0.0
2020-03-17,78.92,86.57,76.41,84.42,1063700,0.0,0.0
2020-03-18,78.78,82.41,72.19,73.38,868600,0.0,0.0
2020-03-19,72.7,78.0,69.61,76.15,883900,0.0,0.0
2020-03-20,76.1,85.66,73.25,83.1,1082600,0.0,0.0
2020-03-23,83.6,89.46,80.73,85.04,793500,0.0,0.0
2020-03-24,88.74,91.78,86.41,89.55,695700,0.0,0.0
2020-03-25,88.43,94.53,87.91,90.94,597400,0.0,0.0
2020-03-26,90.51,96.79,90.23,96.15,477500,0.0,0.0
2020-03-27,93.2,98.85,92.27,95.55,409400,0.0,0.0
2020-03-30,95.42,99.17,90.81,97.95,358700,0.0,0.0
2020-03-31,97.07,97.14,93.38,95.0,754200,0.0,0.0
2020-04-01,91.72,94.27,91.46,93.2,578600,0.0,0.0
2020-04-02,92.17,95.79,90.18,91.32,609500,0.0,0.0
2020-04-03,90.24,92.06,89.04,90.12,288300,0.0,0.0
2020-04-06,93.83,95.53,91.15,94.85,527200,0.0,0.0
2020-04-07,97.74,100.97,94.78,95.0,420800,0.0,0.0
2020-04-08,95.93,98.13,94.77,97.4,310900,0.0,0.0
2020-04-09,98.8,104.72,97.65,102.57,353700,0.0,0.0
2020-04-13,102.04,102.22,99.01,99.09,320900,0.0,0.0
2020-04-14,101.21,102.77,96.88,98.28,377900,0.0,0.0
2020-04-15,95.92,96.5,92.06,92.55,365200,0.0,0.0
2020-04-16,92.19,93.63,90.78,91.79,471900,0.0,0.0
2020-04-17,94.99,96.83,94.32,96.57,468200,0.0,0.0
2020-04-20,94.69,95.62,92.34,94.02,468800,0.0,0.0
2020-04-21,91.95,94.83,91.72,92.31,405600,0.0,0.0
2020-04-22,94.99,95.74,91.58,94.0,684800,0.0,0.0
2020-04-23,94.46,95.09,91.98,92.4,416800,0.0,0.0
2020-04-24,94.0,96.24,92.48,95.51,445000,0.0,0.0
2020-04-27,95.91,100.19,95.91,98.9,528900,0.0,0.0
