,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,100.45,101.34,99.52,99.88,799200,0.0,0.0
2020-02-25,100.24,100.25,97.46,97.68,1006000,0.0,0.0
2020-02-26,98.17,99.24,97.24,97.65,2081000,0.0,0.0
2020-02-27,96.58,97.19,93.13,93.18,1357500,0.0,0.0
2020-02-28,91.15,92.16,88.31,91.68,2218700,0.0,0.0
2020-03-02,91.99,97.42,91.99,97.34,1815500,0.0,0.0
2020-03-03,97.07,98.14,93.63,94.69,1063300,0.0,0.0
2020-03-04,96.55,99.97,96.08,99.88,1324200,0.0,0.0
2020-03-05,97.87,98.37,95.18,96.44,1070200,0.45,0.0
2020-03-06,93.13,95.63,91.7,95.24,860700,0.0,0.0
2020-03-09,88.81,90.3,85.59,88.91,1554600,0.0,0.0
2020-03-10,91.43,92.88,87.86,92.14,1762800,0.0,0.0
2020-03-11,89.72,91.24,88.13,89.7,1474800,0.0,0.0
2020-03-12,83.94,87.41,75.35,81.38,1636600,0.0,0.0
2020-03-13,85.4,85.96,78.52,85.05,1826200,0.0,0.0
2020-03-16,70.94,80.96,70.83,75.41,1607000,0.0,0.0
2020-03-17,78.11,82.71,75.32,80.71,1999100,0.0,0.0
2020-03-18,75.65,76.9,61.47,68.41,1722400,0.0,0.0
2020-03-19,67.69,68.12,63.65,64.74,2039700,0.0,0.0
2020-03-20,64.91,69.8,63.18,67.6,2402000,0.0,0.0
2020-03-23,67.59,67.99,62.37,64.45,1672400,0.0,0.0
2020-03-24,67.27,73.73,66.46,72.97,1364300,0.0,0.0
2020-03-25,71.92,76.94,71.1,72.92,2309300,0.0,0.0
2020-03-26,73.93,76.56,72.03,76.29,1634300,0.0,0.0
2020-03-27,73.55,78.48,73.36,75.71,1122100,0.0,0.0
2020-03-30,76.83,78.83,74.22,78.59,989200,0.0,0.0
2020-03-31,77.66,78.84,76.47,76.98,1693100,0.0,0.0
2020-04-01,73.78,75.22,71.43,72.72,1603900,0.0,0.0
2020-04-02,71.95,74.67,71.37,74.38,1651600,0.0,0.0
2020-04-03,73.29,74.44,70.38,72.02,2491400,0.0,0.0
2020-04-06,75.26,78.39,73.15,77.64,1483200,0.0,0.0
2020-04-07,80.1,82.15,77.28,77.71,1753900,0.0,0.0
2020-04-08,78.41,80.86,77.22,80.31,1187700,0.0,0.0
2020-04-09,81.13,83.44,80.62,82.01,1374600,0.0,0.0
2020-04-13,80.73,81.43,78.15,78.92,983200,0.0,0.0
2020-04-14,80.9,83.39,80.28,81.73,1552400,0.0,0.0
2020-04-15,79.8,81.67,78.27,79.0,1593700,0.0,0.0
2020-04-16,79.19,79.56,76.08,76.3,1100000,0.0,0.0
2020-04-17,78.66,79.39,77.11,78.95,1602500,0.0,0.0
2020-04-20,78.6,78.78,75.71,76.29,1240300,0.0,0.0
2020-04-21,74.34,75.49,72.75,73.23,1211800,0.0,0.0
2020-04-22,74.53,74.94,72.51,73.28,1187500,0.0,0.0
2020-04-23,73.43,73.68,70.37,70.66,1045300,0.0,0.0
2020-04-24,71.13,71.63,69.57,71.1,1169500,0.0,0.0
2020-04-27,71.65,73.44,71.53,73.08,1048800,0.0,0.0
2020-04-28,74.11,75.18,72.48,72.93,1386300,0.0,0.0
2020-04-29,74.5,76.12,73.17,75.24,2055300,0.0,0.0
2020-04-30,74.02,75.14,73.61,74.14,2421300,0.0,0.0
2020-05-01,74.14,75.98,72.02,73.2,1848600,0.0,0.0
2020-05-04,72.75,76.09,72.19,75.69,1312100,0.0,0.0
2020-05-05,76.04,78.99,75.65,78.51,1845100,0.0,0.0
2020-05-06,79.48,79.67,75.78,75.98,1444300,0.0,0.0
2020-05-07,76.95,81.16,76.95,80.63,1508900,0.0,0.0
2020-05-08,81.56,81.68,80.35,81.6,1097900,0.0,0.0
2020-05-11,80.96,83.09,80.18,82.03,804700,0.0,0.0
2020-05-12,82.18,82.93,81.61,82.19,1322400,0.0,0.0
2020-05-13,81.36,81.98,79.11,81.06,1577900,0.0,0.0
2020-05-14,80.09,82.3,79.38,81.68,1406000,0.0,0.0
2020-05-15,80.8,82.63,80.33,82.38,2523000,0.0,0.0
2020-05-18,85.05,85.82,84.52,85.28,1140100,0.0,0.0
2020-05-19,84.8,86.09,84.8,85.21,1019300,0.0,0.0
2020-05-20,85.86,86.5,85.01,85.65,1008900,0.0,0.0
2020-05-21,85.13,86.15,84.69,85.94,938900,0.0,0.0
2020-05-22,85.9,86.1,84.9,86.04,900200,0.0,0.0
2020-05-26,87.54,88.25,86.53,87.25,1229800,0.0,0.0
2020-05-27,88.83,89.25,87.69,88.61,1007100,0.0,0.0
2020-05-28,89.72,89.72,88.11,88.78,1131200,0.0,0.0
2020-05-29,88.42,89.67,87.9,89.04,1389600,0.0,0.0
2020-06-01,89.13,89.74,88.38,89.21,946900,0.0,0.0
2020-06-02,89.36,90.65,89.01,90.19,962500,0.0,0.0
2020-06-03,91.0,92.65,90.8,92.51,792500,0.0,0.0
2020-06-04,91.61,93.42,90.86,93.17,766300,0.45,0.0
2020-06-05,95.68,96.34,93.94,95.31,1379400,0.0,0.0
2020-06-08,94.55,96.68,94.2,96.68,1349400,0.0,0.0
2020-06-09,95.83,96.82,94.41,95.97,1229000,0.0,0.0
2020-06-10,95.66,97.01,95.25,95.27,1168300,0.0,0.0
2020-06-11,93.51,93.51,89.28,89.63,2108000,0.0,0.0
2020-06-12,92.18,92.18,89.05,90.44,1968600,0.0,0.0
2020-06-15,88.26,91.16,87.75,90.26,2044000,0.0,0.0
2020-06-16,93.1,93.1,90.19,90.75,1285600,0.0,0.0
2020-06-17,91.22,94.27,90.96,93.31,1207800,0.0,0.0
2020-06-18,93.31,95.43,93.24,94.09,890700,0.0,0.0
2020-06-19,95.74,95.83,89.89,89.89,2929200,0.0,0.0
2020-06-22,90.11,92.19,89.89,91.79,1120900,0.0,0.0
2020-06-23,92.78,93.34,91.96,92.53,771400,0.0,0.0
2020-06-24,91.38,91.53,89.35,89.93,1011100,0.0,0.0
2020-06-25,89.9,92.5,89.06,92.3,871000,0.0,0.0
2020-06-26,91.7,92.9,91.05,91.72,2072700,0.0,0.0
2020-06-29,92.51,92.51,90.11,90.77,721100,0.0,0.0
2020-06-30,90.68,93.06,90.38,92.5,633300,0.0,0.0
2020-07-01,92.86,93.26,91.95,92.36,714700,0.0,0.0
2020-07-02,93.65,93.85,91.99,92.35,684700,0.0,0.0
2020-07-06,93.93,93.93,91.6,91.92,809200,0.0,0.0
2020-07-07,92.59,93.78,92.24,92.67,684600,0.0,0.0
2020-07-08,92.98,93.57,92.42,93.33,727900,0.0,0.0
2020-07-09,93.5,93.63,91.08,92.59,710600,0.0,0.0
2020-07-10,92.77,94.16,92.35,94.06,593800,0.0,0.0
2020-07-13,94.59,94.93,92.83,93.19,730500,0.0,0.0
2020-07-14,93.25,95.99,93.25,95.89,868500,0.0,0.0
2020-07-15,96.83,96.92,95.6,96.29,768100,0.0,0.0
2020-07-16,96.05,97.69,95.49,97.3,820400,0.0,0.0
2020-07-17,97.69,98.72,97.17,98.25,857300,0.0,0.0
2020-07-20,97.86,99.1,97.86,98.8,636000,0.0,0.0
2020-07-21,99.1,99.83,98.29,98.71,800500,0.0,0.0
2020-07-22,98.73,99.34,97.96,99.1,672900,0.0,0.0
2020-07-23,99.3,99.99,98.28,98.7,622100,0.0,0.0
2020-07-24,98.92,99.12,98.26,98.61,552800,0.0,0.0
2020-07-27,98.81,98.81,97.56,98.23,665300,0.0,0.0
2020-07-28,98.49,98.71,97.34,98.45,1018600,0.0,0.0
2020-07-29,98.27,99.55,97.93,99.43,1635300,0.0,0.0
2020-07-30,97.94,99.76,97.72,99.21,815000,0.0,0.0
