,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,87.18,88.28,85.58,87.44,2263400,0.0,0.0
2020-02-24,83.13,85.64,82.5,84.77,1682200,0.0,0.0
2020-02-25,85.51,86.25,81.05,81.2,2195600,0.0,0.0
2020-02-26,80.59,83.04,79.76,81.03,1583900,0.0,0.0
2020-02-27,78.62,80.35,76.38,76.44,2530000,0.0,0.0
2020-02-28,73.89,77.57,72.53,77.43,2580200,0.0,0.0
2020-03-02,78.04,79.75,75.82,79.75,1661200,0.0,0.0
2020-03-03,79.19,80.64,76.51,78.32,1932300,0.0,0.0
2020-03-04,80.47,81.71,78.77,81.61,1198000,0.0,0.0
2020-03-05,79.3,82.1,79.0,80.19,1490200,0.0,0.0
2020-03-06,77.91,79.43,76.29,78.14,1490700,0.0,0.0
2020-03-09,71.42,72.23,65.83,69.02,2627400,0.0,0.0
2020-03-10,72.95,73.44,68.32,71.13,2771400,0.0,0.0
2020-03-11,69.42,69.42,65.33,66.29,2059300,0.0,0.0
2020-03-12,60.85,65.22,57.62,61.63,2619400,0.38,0.0
2020-03-13,66.07,66.38,59.09,64.69,2067800,0.0,0.0
2020-03-16,58.35,59.95,56.06,56.08,2388300,0.0,0.0
2020-03-17,57.35,64.93,54.51,63.79,3062400,0.0,0.0
2020-03-18,59.37,65.74,55.76,65.29,2762300,0.0,0.0
2020-03-19,63.3,64.52,57.31,58.92,2016200,0.0,0.0
2020-03-20,59.62,60.32,50.43,50.84,2963600,0.0,0.0
2020-03-23,49.82,51.73,46.5,48.42,2507500,0.0,0.0
2020-03-24,51.26,55.05,50.46,53.3,1839500,0.0,0.0
2020-03-25,53.64,60.75,52.68,57.09,2295600,0.0,0.0
2020-03-26,57.07,57.76,54.41,57.51,2245100,0.0,0.0
2020-03-27,55.17,55.17,52.08,52.34,2439600,0.0,0.0
2020-03-30,52.9,53.73,51.85,52.89,2045800,0.0,0.0
2020-03-31,52.81,54.91,52.42,53.62,2585900,0.0,0.0
2020-04-01,51.61,54.26,51.0,52.16,2253900,0.0,0.0
2020-04-02,52.2,56.13,50.37,51.04,1911400,0.0,0.0
2020-04-03,51.01,52.68,50.12,50.13,1749700,0.0,0.0
2020-04-06,52.44,54.87,51.82,54.15,1725800,0.0,0.0
2020-04-07,55.47,57.41,53.73,54.22,1952000,0.0,0.0
2020-04-08,54.8,59.38,54.52,58.8,1706000,0.0,0.0
2020-04-09,59.31,63.96,59.14,63.75,1775400,0.0,0.0
2020-04-13,63.52,64.07,58.66,60.22,1678600,0.0,0.0
2020-04-14,61.59,62.63,60.16,60.57,1068400,0.0,0.0
2020-04-15,58.44,58.71,55.04,55.41,1335900,0.0,0.0
2020-04-16,55.42,56.05,53.93,55.71,1618100,0.0,0.0
2020-04-17,57.62,59.73,57.55,58.47,1011000,0.0,0.0
2020-04-20,57.07,58.67,56.6,57.07,1270600,0.0,0.0
2020-04-21,55.65,56.35,54.89,55.04,1381600,0.0,0.0
2020-04-22,56.08,57.15,55.74,56.55,684800,0.0,0.0
2020-04-23,57.71,59.21,57.32,57.7,816500,0.0,0.0
2020-04-24,58.13,58.94,56.77,58.53,1027100,0.0,0.0
2020-04-27,58.8,59.77,58.64,59.21,736800,0.0,0.0
2020-04-28,60.88,62.5,60.16,61.17,1087700,0.0,0.0
2020-04-29,60.94,63.13,60.94,61.52,1447900,0.0,0.0
2020-04-30,60.69,61.02,58.13,58.43,2007200,0.0,0.0
2020-05-01,57.55,57.55,54.16,54.64,1924900,0.0,0.0
2020-05-04,54.05,55.0,53.03,54.47,1275400,0.0,0.0
2020-05-05,55.52,57.4,55.47,55.62,1109000,0.0,0.0
2020-05-06,56.28,57.3,54.98,55.1,1885300,0.0,0.0
2020-05-07,56.98,58.84,54.59,56.83,2206600,0.0,0.0
2020-05-08,57.67,61.35,57.26,61.12,1514500,0.0,0.0
2020-05-11,60.08,62.51,59.81,61.27,1471300,0.0,0.0
