,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,6.3,7.67,21.82
2024-10-29 20:00:00-04:00,2.36,3.91,65.94
2024-07-30 20:00:00-04:00,0.37,1.61,337.37
2024-04-30 20:00:00-04:00,3.94,5.13,30.18
2024-02-06 19:00:00-05:00,3.99,5.82,45.72
2023-10-31 20:00:00-04:00,0.46,0.81,74.76
2023-07-31 20:00:00-04:00,-4.18,-4.42,-5.76
2023-05-02 20:00:00-04:00,-1.42,-1.3,8.63
