,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,63.09,63.31,60.91,61.52,9658100,0.0,0.0
2020-02-24,58.52,59.21,57.82,58.47,11223700,0.0,0.0
2020-02-25,59.27,59.62,55.98,56.35,9942500,0.0,0.0
2020-02-26,57.03,58.16,56.78,57.25,10851500,0.0,0.0
2020-02-27,54.76,56.0,53.99,54.56,15746200,0.0,0.0
2020-02-28,51.87,55.69,51.77,55.64,14943900,0.0,0.0
2020-03-02,56.19,57.62,54.56,57.59,10795200,0.0,0.0
2020-03-03,57.41,58.76,55.1,55.56,14036600,0.0,0.0
2020-03-04,56.9,58.06,55.78,57.93,7925800,0.0,0.0
2020-03-05,56.06,57.86,55.77,56.6,9842500,0.0,0.0
2020-03-06,54.56,55.98,53.85,55.32,8958500,0.0,0.0
2020-03-09,50.55,52.97,49.78,49.84,10305900,0.0,0.0
2020-03-10,52.08,53.77,50.32,53.77,10107400,0.0,0.0
2020-03-11,51.96,52.64,49.21,50.25,12974200,0.0,0.0
2020-03-12,46.7,48.21,43.17,43.18,18043700,0.0,0.0
2020-03-13,46.59,49.04,43.41,48.72,15539300,0.0,0.0
2020-03-16,42.17,44.7,38.68,38.8,13763000,0.0,0.0
2020-03-17,39.97,44.1,38.07,42.94,16361200,0.0,0.0
2020-03-18,38.84,39.97,35.07,37.5,18870000,0.0,0.0
2020-03-19,37.03,40.27,35.28,38.47,13066600,0.0,0.0
2020-03-20,39.72,41.41,36.18,36.37,13967100,0.0,0.0
2020-03-23,36.99,39.76,36.3,38.45,15138400,0.0,0.0
2020-03-24,42.35,44.26,41.19,43.21,16338500,0.0,0.0
2020-03-25,43.01,46.16,41.9,42.82,11550700,0.0,0.0
2020-03-26,44.25,47.28,43.4,47.1,11864900,0.0,0.0
2020-03-27,45.66,46.07,42.92,43.12,10624200,0.0,0.0
2020-03-30,43.46,45.48,43.39,45.28,7839200,0.0,0.0
2020-03-31,45.15,45.26,43.22,43.86,11068000,0.0,0.0
2020-04-01,41.96,44.21,41.0,41.45,10665900,0.0,0.0
2020-04-02,40.68,42.56,40.33,41.39,8764600,0.0,0.0
2020-04-03,41.6,41.76,39.8,40.47,9488600,0.0,0.0
2020-04-06,42.92,44.46,42.73,44.18,12046500,0.0,0.0
2020-04-07,45.95,46.88,44.32,45.53,11962600,0.0,0.0
2020-04-08,46.55,49.41,46.45,49.26,14429000,0.0,0.0
2020-04-09,49.78,50.49,46.6,47.47,11654400,0.0,0.0
2020-04-13,47.19,47.83,46.3,47.75,5750000,0.0,0.0
2020-04-14,49.21,50.58,48.9,50.23,8025500,0.0,0.0
2020-04-15,49.12,49.12,47.62,48.22,7206700,0.0,0.0
2020-04-16,49.65,50.32,48.63,50.0,8878100,0.0,0.0
2020-04-17,51.35,51.6,50.04,50.93,9367600,0.0,0.0
2020-04-20,49.87,50.25,48.45,48.47,7041200,0.0,0.0
