,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,8.17,8.21,8.05,8.19,4534400,0.0,0.0
2020-02-24,8.09,8.1,7.92,7.94,7056300,0.0,0.0
2020-02-25,7.97,7.98,7.71,7.74,11195700,0.0,0.0
2020-02-26,7.79,7.91,7.76,7.81,13579000,0.0,0.0
2020-02-27,7.78,7.78,7.49,7.57,15332900,0.0,0.0
2020-02-28,7.41,7.54,7.3,7.45,16467200,0.0,0.0
2020-03-02,7.74,7.84,7.5,7.83,10196600,0.0,0.0
2020-03-03,7.76,7.96,7.64,7.76,11562100,0.11,0.0
2020-03-04,7.86,7.92,7.62,7.91,8590500,0.0,0.0
2020-03-05,7.7,7.84,7.56,7.6,8225100,0.0,0.0
2020-03-06,7.54,7.6,7.37,7.54,10808700,0.0,0.0
2020-03-09,7.2,7.44,6.97,7.19,19570400,0.0,0.0
2020-03-10,7.28,7.32,6.87,7.26,18775600,0.0,0.0
2020-03-11,6.66,6.79,6.43,6.47,17659800,0.0,0.0
2020-03-12,5.6,5.75,5.3,5.42,30060300,0.0,0.0
2020-03-13,5.7,5.91,5.11,5.52,31337700,0.0,0.0
2020-03-16,4.94,5.2,4.69,4.81,22065700,0.0,0.0
2020-03-17,4.98,5.04,4.73,5.04,16162700,0.0,0.0
2020-03-18,4.77,5.26,4.71,5.17,12179100,0.0,0.0
2020-03-19,5.2,6.09,5.16,6.01,19169000,0.0,0.0
2020-03-20,5.96,6.43,5.75,5.91,24911500,0.0,0.0
2020-03-23,5.76,5.83,5.32,5.36,13431600,0.0,0.0
2020-03-24,5.75,6.13,5.65,6.09,13247400,0.0,0.0
2020-03-25,6.0,6.4,5.93,6.24,13716900,0.0,0.0
2020-03-26,6.24,6.64,6.18,6.58,12820500,0.0,0.0
2020-03-27,6.22,6.51,5.97,6.31,13334600,0.0,0.0
2020-03-30,6.39,6.75,6.38,6.7,6232100,0.0,0.0
2020-03-31,6.6,6.73,6.51,6.57,8217000,0.0,0.0
2020-04-01,6.44,6.62,6.31,6.36,11719700,0.0,0.0
2020-04-02,6.53,6.8,6.5,6.62,10753800,0.0,0.0
2020-04-03,6.49,6.66,6.28,6.34,8311200,0.0,0.0
2020-04-06,6.61,6.74,6.52,6.65,7592200,0.0,0.0
2020-04-07,6.86,6.95,6.57,6.58,6739700,0.0,0.0
2020-04-08,6.65,7.02,6.54,6.89,8152700,0.0,0.0
2020-04-09,7.0,7.5,6.97,7.41,9347300,0.0,0.0
2020-04-13,7.36,7.43,7.15,7.2,5300800,0.0,0.0
2020-04-14,7.25,7.37,7.15,7.32,4835900,0.0,0.0
2020-04-15,7.01,7.1,6.96,7.0,6360100,0.0,0.0
2020-04-16,6.92,6.96,6.73,6.85,5291100,0.0,0.0
2020-04-17,6.96,7.2,6.96,7.11,5256400,0.0,0.0
2020-04-20,7.07,7.11,6.93,6.99,4062500,0.0,0.0
2020-04-21,6.73,6.85,6.62,6.69,4576500,0.0,0.0
2020-04-22,6.77,6.81,6.66,6.77,3539400,0.0,0.0
2020-04-23,6.8,6.89,6.64,6.64,4101900,0.0,0.0
2020-04-24,6.78,6.86,6.71,6.81,3881100,0.0,0.0
2020-04-27,6.86,7.11,6.84,7.03,4336300,0.0,0.0
2020-04-28,7.19,7.37,7.18,7.3,9313200,0.0,0.0
2020-04-29,7.44,7.56,7.41,7.48,4705600,0.0,0.0
2020-04-30,7.35,7.41,7.2,7.26,9612900,0.0,0.0
2020-05-01,7.19,7.19,6.94,7.03,4097600,0.0,0.0
2020-05-04,6.98,7.07,6.94,7.03,6556800,0.0,0.0
2020-05-05,7.0,7.12,6.94,6.94,4130300,0.0,0.0
2020-05-06,6.83,7.03,6.82,6.86,3882000,0.0,0.0
2020-05-07,6.9,7.07,6.89,6.97,5306500,0.0,0.0
2020-05-08,7.11,7.28,7.07,7.26,3815500,0.0,0.0
2020-05-11,7.08,7.23,6.93,7.15,5269700,0.0,0.0
2020-05-12,7.28,7.73,7.28,7.37,9652200,0.0,0.0
2020-05-13,7.49,7.61,7.26,7.37,7714700,0.0,0.0
2020-05-14,7.32,7.37,7.05,7.36,5028800,0.0,0.0
2020-05-15,7.33,7.41,7.27,7.37,3739500,0.0,0.0
2020-05-18,7.66,7.87,7.65,7.8,4662700,0.0,0.0
2020-05-19,7.72,7.78,7.59,7.61,4584200,0.0,0.0
2020-05-20,7.6,7.72,7.55,7.65,5555600,0.0,0.0
2020-05-21,7.62,7.74,7.6,7.67,4191000,0.0,0.0
2020-05-22,7.68,7.77,7.64,7.77,4463000,0.0,0.0
