,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,217.48,218.1,216.48,216.67,2570200,0.0,0.0
2020-02-24,214.74,218.21,213.68,215.0,2329800,0.0,0.0
2020-02-25,217.46,222.79,214.17,215.9,2268600,0.0,0.0
2020-02-26,215.9,217.85,210.52,212.86,2024600,0.0,0.0
2020-02-27,210.51,214.81,204.29,204.31,3168700,0.0,0.0
2020-02-28,198.85,200.61,191.24,198.94,5188100,0.0,0.0
2020-03-02,200.89,211.29,200.06,211.17,2718500,0.0,0.0
2020-03-03,211.17,216.52,209.5,212.84,3502600,0.0,0.0
2020-03-04,215.41,221.02,215.18,220.74,2350400,0.0,0.0
2020-03-05,218.02,220.07,213.61,216.6,1969400,0.0,0.0
2020-03-06,213.3,217.17,208.67,216.06,2693600,0.0,0.0
2020-03-09,203.0,210.17,197.36,203.38,3209200,0.0,0.0
2020-03-10,207.66,214.21,201.61,213.91,2658300,0.0,0.0
2020-03-11,208.21,209.81,200.59,204.29,3360600,0.0,0.0
2020-03-12,189.72,203.25,179.06,191.07,4734500,0.0,0.0
2020-03-13,197.82,211.88,192.99,209.63,4220300,0.0,0.0
2020-03-16,181.26,201.58,176.63,177.84,4093100,0.0,0.0
2020-03-17,184.35,206.04,178.61,199.58,4527100,0.0,0.0
2020-03-18,184.2,206.87,180.84,190.46,4210000,0.0,0.0
2020-03-19,190.84,192.78,176.76,183.32,3847800,0.0,0.0
2020-03-20,181.57,184.2,168.74,171.39,3940900,0.0,0.0
2020-03-23,171.92,172.16,152.9,157.09,3890100,0.0,0.0
2020-03-24,164.72,170.03,157.23,166.89,4221400,0.0,0.0
2020-03-25,165.69,182.92,163.18,174.78,3201500,0.0,0.0
2020-03-26,173.81,198.49,173.68,194.9,3413500,0.0,0.0
2020-03-27,189.63,194.76,185.72,191.64,3367100,0.0,0.0
2020-03-30,195.32,203.47,194.15,202.25,2581600,0.0,0.0
2020-03-31,200.39,201.74,189.39,191.0,4629900,0.0,0.0
2020-04-01,180.53,187.18,177.21,181.54,3772000,0.0,0.0
2020-04-02,181.57,193.93,180.33,193.63,3993100,0.0,0.0
2020-04-03,192.24,196.26,190.18,195.43,2858000,0.0,0.0
2020-04-06,200.01,207.2,199.11,206.29,3050300,0.0,0.0
2020-04-07,211.49,213.92,199.14,199.79,2226100,0.0,0.0
2020-04-08,201.43,218.98,199.99,218.63,3329400,0.0,0.0
2020-04-09,217.97,228.44,217.71,227.71,4331000,0.0,0.0
2020-04-13,226.11,226.68,217.35,219.99,1830900,1.08,0.0
2020-04-14,224.68,226.95,222.42,224.7,2011800,0.0,0.0
2020-04-15,222.79,222.83,214.22,217.99,1909700,0.0,0.0
2020-04-16,219.84,222.6,218.05,221.77,1640700,0.0,0.0
2020-04-17,225.98,227.05,218.51,223.78,2328100,0.0,0.0
2020-04-20,221.99,222.85,218.89,219.04,1281800,0.0,0.0
2020-04-21,215.99,216.57,210.6,213.16,1925500,0.0,0.0
2020-04-22,216.88,224.71,216.29,222.83,2041400,0.0,0.0
2020-04-23,222.13,224.44,218.57,218.97,1419200,0.0,0.0
2020-04-24,220.45,221.52,214.72,215.46,1775600,0.0,0.0
2020-04-27,217.56,222.22,216.01,220.4,1557500,0.0,0.0
2020-04-28,224.83,225.31,213.79,214.51,2091900,0.0,0.0
2020-04-29,221.1,221.1,207.58,208.59,3505800,0.0,0.0
2020-04-30,206.21,210.59,204.97,209.63,3410300,0.0,0.0
2020-05-01,205.44,207.78,204.87,206.29,1896800,0.0,0.0
2020-05-04,209.1,209.19,200.92,208.43,1642700,0.0,0.0
2020-05-05,209.35,214.52,209.35,211.62,1421200,0.0,0.0
2020-05-06,212.15,213.37,208.57,208.98,1441400,0.0,0.0
2020-05-07,210.67,211.11,207.02,207.21,2548900,0.0,0.0
2020-05-08,209.33,211.62,208.47,209.95,1879700,0.0,0.0
2020-05-11,207.94,213.98,206.53,209.84,2040700,0.0,0.0
2020-05-12,210.83,211.62,203.24,204.08,1852500,0.0,0.0
2020-05-13,203.7,208.82,202.05,203.6,2200600,0.0,0.0
2020-05-14,202.04,203.47,197.97,202.25,2112500,0.0,0.0
2020-05-15,201.13,202.56,197.15,202.22,2246800,0.0,0.0
2020-05-18,207.93,209.76,204.41,207.9,1792800,0.0,0.0
2020-05-19,207.06,208.62,202.29,202.56,1542800,0.0,0.0
2020-05-20,204.33,204.93,201.64,202.71,1346600,0.0,0.0
2020-05-21,202.05,203.01,200.05,200.97,1263200,0.0,0.0
2020-05-22,201.3,213.69,200.31,213.54,2812700,0.0,0.0
2020-05-26,218.96,219.04,211.52,214.86,2833600,0.0,0.0
2020-05-27,216.34,222.79,213.01,221.97,2311000,0.0,0.0
2020-05-28,225.15,228.55,223.3,227.36,2190900,0.0,0.0
2020-05-29,226.51,228.11,223.81,227.4,2138600,0.0,0.0
2020-06-01,227.28,234.98,225.07,232.81,2035000,0.0,0.0
2020-06-02,232.99,233.94,228.78,232.17,1809800,0.0,0.0
2020-06-03,233.36,237.16,232.18,235.52,1802200,0.0,0.0
2020-06-04,232.62,235.1,225.94,228.77,1997600,0.0,0.0
2020-06-05,232.3,234.22,229.52,233.32,2336800,0.0,0.0
2020-06-08,233.42,237.05,232.8,235.07,2095800,0.0,0.0
2020-06-09,234.91,235.25,232.84,234.09,2691000,0.0,0.0
2020-06-10,234.75,236.97,231.86,233.72,1603500,0.0,0.0
2020-06-11,231.5,232.17,221.15,221.53,2548900,0.0,0.0
2020-06-12,226.12,228.13,223.69,227.32,1436500,0.0,0.0
2020-06-15,222.06,231.73,221.97,231.21,1532400,0.0,0.0
2020-06-16,236.57,236.76,229.89,233.22,1837500,0.0,0.0
2020-06-17,235.31,236.41,232.34,232.51,1380100,0.0,0.0
2020-06-18,230.42,231.77,226.91,227.85,1776100,1.1,0.0
2020-06-19,231.31,235.16,226.8,234.92,6193100,0.0,0.0
2020-06-22,233.65,236.02,230.96,234.04,2034300,0.0,0.0
2020-06-23,235.39,236.0,231.75,233.95,1941400,0.0,0.0
2020-06-24,231.96,232.78,221.36,224.82,3475300,0.0,0.0
2020-06-25,224.91,226.38,221.64,224.98,2648700,0.0,0.0
2020-06-26,224.73,228.28,215.84,218.01,3268800,0.0,0.0
2020-06-29,221.16,225.07,218.91,224.49,1638200,0.0,0.0
2020-06-30,224.88,229.19,223.89,228.68,1980300,0.0,0.0
2020-07-01,229.37,235.91,228.33,234.74,1207200,0.0,0.0
2020-07-02,237.09,237.6,232.21,233.69,1175700,0.0,0.0
2020-07-06,237.05,237.89,234.01,235.25,1504600,0.0,0.0
2020-07-07,233.53,238.58,232.26,235.25,1289800,0.0,0.0
2020-07-08,236.01,238.26,231.32,234.13,1389000,0.0,0.0
2020-07-09,232.61,236.14,230.33,234.92,1143400,0.0,0.0
2020-07-10,235.72,236.69,232.71,233.82,911400,0.0,0.0
2020-07-13,232.39,234.12,225.11,226.37,1791700,0.0,0.0
2020-07-14,226.64,229.81,224.44,229.03,1877500,0.0,0.0
2020-07-15,232.01,232.04,226.77,227.56,1301000,0.0,0.0
2020-07-16,227.49,227.98,223.91,227.74,1475200,0.0,0.0
2020-07-17,228.64,230.86,225.33,229.18,1291900,0.0,0.0
2020-07-20,230.13,231.87,227.41,230.44,1422200,0.0,0.0
2020-07-21,232.62,232.62,228.18,229.27,1161900,0.0,0.0
2020-07-22,228.27,230.68,227.34,229.12,1355700,0.0,0.0
2020-07-23,229.21,230.32,224.66,228.11,1324900,0.0,0.0
2020-07-24,229.75,230.35,226.3,226.72,1391300,0.0,0.0
2020-07-27,225.17,230.8,225.13,230.25,1417500,0.0,0.0
2020-07-28,230.48,237.67,230.48,235.99,1553800,0.0,0.0
2020-07-29,237.17,240.76,237.02,239.96,1452700,0.0,0.0
2020-07-30,237.05,237.05,227.79,232.17,1959900,0.0,0.0
2020-07-31,231.7,233.92,227.4,231.2,1781200,0.0,0.0
2020-08-03,229.09,231.53,226.54,226.95,1504600,0.0,0.0
2020-08-04,226.68,232.09,226.38,230.12,1782900,0.0,0.0
2020-08-05,230.2,230.3,224.86,225.8,1069200,0.0,0.0
2020-08-06,225.28,226.03,222.89,226.0,1127600,0.0,0.0
2020-08-07,225.05,228.83,224.82,227.86,1023300,0.0,0.0
2020-08-10,227.5,227.95,222.84,224.14,1282400,0.0,0.0
2020-08-11,224.62,224.84,216.88,217.76,2111800,0.0,0.0
2020-08-12,218.48,223.74,218.47,222.28,1381000,0.0,0.0
2020-08-13,221.92,223.78,221.28,221.77,960900,0.0,0.0
2020-08-14,221.86,223.99,219.98,221.23,737000,0.0,0.0
2020-08-17,221.21,222.85,220.61,221.93,1435000,0.0,0.0
2020-08-18,223.05,225.35,222.31,223.38,1896100,0.0,0.0
2020-08-19,223.98,224.29,216.58,216.91,1496500,0.0,0.0
2020-08-20,216.7,220.21,215.28,219.07,1017400,0.0,0.0
2020-08-21,220.85,221.11,217.09,220.54,1139600,0.0,0.0
2020-08-24,219.58,219.69,214.21,217.09,1201400,0.0,0.0
2020-08-25,217.85,218.63,215.39,217.95,1060800,0.0,0.0
2020-08-26,217.28,218.56,215.6,218.45,1479400,0.0,0.0
2020-08-27,218.83,220.33,217.62,219.33,1398200,0.0,0.0
2020-08-28,220.04,220.89,217.07,220.76,1062900,0.0,0.0
2020-08-31,220.24,221.23,218.91,220.37,1307500,0.0,0.0
2020-09-01,219.75,220.9,218.14,219.38,1085000,0.0,0.0
2020-09-02,219.1,227.57,218.5,226.88,2034000,0.0,0.0
2020-09-03,226.04,227.11,220.45,223.18,2094600,0.0,0.0
2020-09-04,222.28,226.63,218.32,221.11,1885100,0.0,0.0
2020-09-08,219.99,220.8,215.02,218.3,1451200,0.0,0.0
2020-09-09,221.67,225.8,220.65,223.27,2202100,0.0,0.0
2020-09-10,222.82,222.82,218.95,219.69,1256800,0.0,0.0
2020-09-11,220.93,223.39,219.56,220.94,1219400,0.0,0.0
2020-09-14,222.11,226.16,221.95,224.58,1333900,0.0,0.0
2020-09-15,226.09,234.59,226.05,233.29,2426700,0.0,0.0
2020-09-16,234.39,237.63,232.45,232.88,2326100,0.0,0.0
2020-09-17,229.63,230.32,220.19,221.77,2341500,0.0,0.0
2020-09-18,219.95,222.24,215.65,217.15,3270500,0.0,0.0
2020-09-21,215.27,216.19,210.77,213.14,2848900,0.0,0.0
2020-09-22,214.04,216.57,212.46,214.0,1702200,0.0,0.0
2020-09-23,214.25,214.25,207.92,208.49,2550300,0.0,0.0
2020-09-24,209.01,212.4,207.95,208.9,2246600,0.0,0.0
2020-09-25,208.87,213.91,208.84,213.14,2861500,1.14,0.0
2020-09-28,216.04,217.24,211.9,213.31,2593500,0.0,0.0
2020-09-29,214.39,215.09,212.53,213.42,3098400,0.0,0.0
2020-09-30,215.03,216.49,213.03,214.85,3345600,0.0,0.0
2020-10-01,215.26,217.75,213.27,215.22,2500800,0.0,0.0
2020-10-02,213.37,216.79,212.41,216.24,2138100,0.0,0.0
2020-10-05,216.2,216.55,211.43,216.27,2130300,0.0,0.0
2020-10-06,216.79,217.23,213.45,214.21,1913500,0.0,0.0
2020-10-07,214.37,216.43,214.37,214.88,2048000,0.0,0.0
2020-10-08,216.65,219.12,215.85,216.47,2501100,0.0,0.0
2020-10-09,217.11,218.99,216.11,217.47,1538700,0.0,0.0
2020-10-12,217.98,220.23,217.16,218.98,1430400,0.0,0.0
2020-10-13,217.89,219.13,214.57,215.45,1622100,0.0,0.0
2020-10-14,215.87,216.23,211.6,211.98,2049300,0.0,0.0
2020-10-15,212.02,215.22,211.09,212.95,1790900,0.0,0.0
2020-10-16,213.04,216.94,212.56,215.73,1480000,0.0,0.0
2020-10-19,216.56,218.38,212.56,212.95,1323600,0.0,0.0
2020-10-20,214.8,218.4,213.87,216.69,1407300,0.0,0.0
2020-10-21,216.3,218.61,214.47,214.86,1100500,0.0,0.0
2020-10-22,214.49,214.74,208.99,209.55,1836600,0.0,0.0
2020-10-23,210.32,212.75,209.45,211.28,1057200,0.0,0.0
2020-10-26,209.36,211.43,207.44,210.75,1657600,0.0,0.0
2020-10-27,212.36,214.18,209.78,209.9,1433200,0.0,0.0
2020-10-28,207.82,210.93,203.76,204.54,2449000,0.0,0.0
2020-10-29,207.51,210.08,205.02,205.89,1693300,0.0,0.0
2020-10-30,204.42,206.64,201.31,204.11,1621300,0.0,0.0
2020-11-02,206.72,207.62,203.77,207.52,1551200,0.0,0.0
2020-11-03,209.35,210.85,207.53,208.18,1268800,0.0,0.0
2020-11-04,208.6,216.19,208.6,210.71,2434000,0.0,0.0
2020-11-05,213.56,215.79,211.37,213.24,1877400,0.0,0.0
2020-11-06,213.23,216.5,212.12,215.22,1181400,0.0,0.0
2020-11-09,221.45,224.94,210.6,211.51,2423600,0.0,0.0
2020-11-10,212.36,212.36,204.62,206.54,2717400,0.0,0.0
2020-11-11,208.71,214.63,207.37,211.93,1573700,0.0,0.0
2020-11-12,212.95,213.58,210.16,211.54,1882600,0.0,0.0
2020-11-13,213.1,216.62,211.26,216.06,1476400,0.0,0.0
2020-11-16,217.54,218.28,212.29,212.5,1433300,0.0,0.0
2020-11-17,212.42,214.08,211.81,212.58,1354200,0.0,0.0
2020-11-18,211.81,215.36,210.83,211.27,1617400,0.0,0.0
2020-11-19,210.72,212.31,207.42,211.91,1636400,0.0,0.0
2020-11-20,211.7,211.91,206.64,206.79,1965500,0.0,0.0
2020-11-23,207.59,207.63,203.2,203.45,2848400,0.0,0.0
2020-11-24,205.35,206.07,202.1,202.7,2635100,0.0,0.0
2020-11-25,203.79,207.42,203.22,207.09,2478800,0.0,0.0
