,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,107.1,107.22,104.4,104.79,92926000,0.0,0.0
2020-02-24,100.15,101.96,99.39,100.46,130940000,0.0,0.0
2020-02-25,101.32,101.73,97.92,98.63,124382000,0.0,0.0
2020-02-26,98.51,100.73,98.02,98.97,104492000,0.0,0.0
2020-02-27,96.71,98.75,94.13,94.21,162880000,0.0,0.0
2020-02-28,90.73,94.48,90.55,94.18,189620000,0.0,0.0
2020-03-02,95.32,97.72,93.5,97.69,135234000,0.0,0.0
2020-03-03,98.76,99.81,94.4,95.44,150690000,0.0,0.0
2020-03-04,97.32,98.9,96.09,98.79,95458000,0.0,0.0
2020-03-05,96.65,98.03,95.5,96.2,94964000,0.0,0.0
2020-03-06,93.75,95.54,93.47,95.05,105472000,0.0,0.0
2020-03-09,88.69,93.13,88.06,90.03,156264000,0.0,0.0
2020-03-10,93.54,94.71,90.9,94.59,142666000,0.0,0.0
2020-03-11,92.89,93.56,90.07,91.04,112496000,0.0,0.0
2020-03-12,86.09,88.25,83.75,83.83,226924000,0.0,0.0
2020-03-13,87.75,89.31,84.03,89.25,176194000,0.0,0.0
2020-03-16,82.07,87.97,81.3,84.45,178346000,0.0,0.0
2020-03-17,88.77,92.88,84.46,90.39,218342000,0.0,0.0
2020-03-18,87.5,92.08,87.25,91.5,192904000,0.0,0.0
2020-03-19,93.0,97.25,91.63,94.04,207998000,0.0,0.0
2020-03-20,96.31,97.84,91.03,92.3,196358000,0.0,0.0
2020-03-23,91.38,95.97,90.59,95.14,156170000,0.0,0.0
2020-03-24,97.57,97.75,95.01,97.0,142942000,0.0,0.0
2020-03-25,96.03,97.51,94.28,94.29,129582000,0.0,0.0
2020-03-26,95.09,97.82,94.46,97.77,124426000,0.0,0.0
2020-03-27,96.54,96.98,94.99,95.0,107758000,0.0,0.0
2020-03-30,96.14,98.68,95.61,98.19,122522000,0.0,0.0
2020-03-31,98.21,99.65,97.2,97.48,102472000,0.0,0.0
2020-04-01,96.64,97.24,94.65,95.38,82438000,0.0,0.0
2020-04-02,95.08,96.37,94.5,95.94,86720000,0.0,0.0
2020-04-03,95.55,96.31,94.45,95.32,72198000,0.0,0.0
2020-04-06,96.8,99.92,96.5,99.87,115464000,0.0,0.0
2020-04-07,100.85,101.78,99.88,100.58,102280000,0.0,0.0
2020-04-08,101.05,102.19,100.55,102.15,79546000,0.0,0.0
2020-04-09,102.21,102.65,100.88,102.13,92930000,0.0,0.0
2020-04-13,102.0,109.0,101.9,108.44,134334000,0.0,0.0
2020-04-14,110.02,114.59,109.31,114.16,161744000,0.0,0.0
2020-04-15,112.88,116.66,112.25,115.38,137332000,0.0,0.0
2020-04-16,117.3,123.05,116.75,120.4,240764000,0.0,0.0
2020-04-17,118.61,120.0,115.8,118.75,158600000,0.0,0.0
2020-04-20,119.49,122.24,119.3,119.68,115414000,0.0,0.0
2020-04-21,120.83,121.41,113.98,116.4,149534000,0.0,0.0
2020-04-22,118.44,119.69,117.55,118.17,84244000,0.0,0.0
2020-04-23,119.99,121.21,119.1,119.97,101332000,0.0,0.0
2020-04-24,120.84,121.02,119.09,120.51,76498000,0.0,0.0
2020-04-27,122.16,122.24,118.15,118.8,112912000,0.0,0.0
2020-04-28,118.6,118.67,115.3,115.7,105388000,0.0,0.0
2020-04-29,116.5,119.59,115.5,118.63,91832000,0.0,0.0
2020-04-30,120.99,123.75,119.8,123.69,190692000,0.0,0.0
2020-05-01,116.83,118.12,112.9,114.3,195452000,0.0,0.0
2020-05-04,112.81,116.34,112.81,115.79,97318000,0.0,0.0
2020-05-05,117.0,117.55,115.35,115.88,64850000,0.0,0.0
2020-05-06,116.47,117.87,116.0,117.56,62356000,0.0,0.0
2020-05-07,118.73,118.8,117.15,118.38,67928000,0.0,0.0
2020-05-08,118.6,119.36,117.84,118.98,64132000,0.0,0.0
2020-05-11,118.73,120.98,118.6,120.44,65184000,0.0,0.0
2020-05-12,120.59,120.94,117.75,117.84,61498000,0.0,0.0
2020-05-13,118.33,120.38,116.88,118.39,95658000,0.0,0.0
2020-05-14,118.05,119.56,117.66,119.44,72962000,0.0,0.0
2020-05-15,118.42,120.55,117.81,120.48,84700000,0.0,0.0
2020-05-18,120.21,121.65,119.2,121.31,87144000,0.0,0.0
2020-05-19,121.49,124.25,121.44,122.46,86410000,0.0,0.0
2020-05-20,123.89,125.0,123.36,124.89,79962000,0.0,0.0
2020-05-21,125.0,126.27,122.12,122.33,102288000,0.0,0.0
2020-05-22,122.75,123.49,121.5,121.84,57342000,0.0,0.0
2020-05-26,122.9,123.09,120.7,121.09,71364000,0.0,0.0
2020-05-27,120.24,120.67,116.5,120.51,101138000,0.0,0.0
2020-05-28,119.21,121.84,118.91,120.05,63804000,0.0,0.0
2020-05-29,120.79,122.11,119.91,122.11,70198000,0.0,0.0
2020-06-01,122.4,123.84,122.2,123.55,58578000,0.0,0.0
2020-06-02,123.34,123.67,122.26,123.62,50598000,0.0,0.0
2020-06-03,123.4,124.4,123.05,123.91,53420000,0.0,0.0
2020-06-04,123.87,125.37,122.5,123.02,58974000,0.0,0.0
2020-06-05,122.22,124.43,121.85,124.15,66128000,0.0,0.0
2020-06-08,125.01,126.5,124.36,126.2,79414000,0.0,0.0
2020-06-09,126.47,131.32,126.25,130.04,103520000,0.0,0.0
2020-06-10,132.25,136.11,131.31,132.37,98920000,0.0,0.0
2020-06-11,130.17,133.56,126.81,127.89,116002000,0.0,0.0
2020-06-12,130.06,131.07,125.16,127.25,108722000,0.0,0.0
2020-06-15,126.33,129.19,125.4,128.63,77302000,0.0,0.0
2020-06-16,131.0,131.0,128.8,130.76,71712000,0.0,0.0
2020-06-17,132.37,132.75,131.59,132.04,59186000,0.0,0.0
2020-06-18,132.35,132.98,131.8,132.69,49756000,0.0,0.0
2020-06-19,133.9,134.87,132.94,133.75,115540000,0.0,0.0
2020-06-22,134.22,135.75,133.44,135.69,64176000,0.0,0.0
2020-06-23,136.3,139.15,135.9,138.22,84634000,0.0,0.0
2020-06-24,139.0,139.8,136.05,136.72,90532000,0.0,0.0
2020-06-25,136.97,137.81,135.6,137.72,59374000,0.0,0.0
2020-06-26,138.75,139.12,134.39,134.64,130016000,0.0,0.0
2020-06-29,134.5,134.83,131.5,134.01,84468000,0.0,0.0
2020-06-30,134.25,138.48,133.75,137.94,75394000,0.0,0.0
2020-07-01,137.89,144.75,137.69,143.93,127268000,0.0,0.0
2020-07-02,145.6,147.77,143.55,144.51,131868000,0.0,0.0
2020-07-06,146.74,152.99,146.5,152.85,137612000,0.0,0.0
2020-07-07,152.92,153.47,149.5,150.0,105150000,0.0,0.0
2020-07-08,151.13,154.19,150.62,154.05,100752000,0.0,0.0
2020-07-09,155.79,159.69,153.69,159.13,127774000,0.0,0.0
2020-07-10,159.58,160.75,156.78,160.0,109720000,0.0,0.0
2020-07-13,162.55,167.21,153.41,155.19,154408000,0.0,0.0
2020-07-14,154.44,156.36,147.5,154.19,144638000,0.0,0.0
2020-07-15,154.01,154.91,148.65,150.44,115778000,0.0,0.0
2020-07-16,148.55,151.6,145.91,149.99,127884000,0.0,0.0
2020-07-17,150.44,151.19,147.42,148.09,95226000,0.0,0.0
2020-07-20,150.0,160.06,149.7,159.84,151964000,0.0,0.0
2020-07-21,161.62,162.02,155.28,156.91,122426000,0.0,0.0
2020-07-22,156.25,157.5,153.26,154.99,82084000,0.0,0.0
2020-07-23,154.91,154.91,148.5,149.32,113138000,0.0,0.0
2020-07-24,146.5,151.57,144.39,150.44,112648000,0.0,0.0
2020-07-27,153.1,154.89,150.78,152.76,83410000,0.0,0.0
2020-07-28,152.71,153.85,149.78,150.01,62534000,0.0,0.0
2020-07-29,151.54,151.95,149.83,151.67,59482000,0.0,0.0
2020-07-30,150.69,154.6,150.25,152.59,122566000,0.0,0.0
2020-07-31,162.19,162.34,157.55,158.23,161710000,0.0,0.0
2020-08-03,159.02,159.19,155.19,155.59,101494000,0.0,0.0
2020-08-04,155.06,158.36,155.06,156.94,93886000,0.0,0.0
2020-08-05,157.18,160.67,156.36,160.25,78330000,0.0,0.0
2020-08-06,159.71,162.37,158.27,161.25,78812000,0.0,0.0
2020-08-07,161.2,162.04,157.03,158.37,78722000,0.0,0.0
2020-08-10,158.51,158.62,155.07,157.4,63346000,0.0,0.0
2020-08-11,155.66,157.96,153.64,154.03,74362000,0.0,0.0
