,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,13.96,14.03,13.76,13.96,15432000,0.0,0.0
2020-02-24,13.12,13.52,13.08,13.35,16489600,0.0,0.0
2020-02-25,13.52,13.59,12.65,12.87,20457600,0.0,0.0
2020-02-26,12.94,13.07,12.67,12.69,13156800,0.0,0.0
2020-02-27,12.44,12.71,12.06,12.07,17584000,0.0,0.0
2020-02-28,11.68,12.25,11.61,12.06,19475200,0.0,0.0
2020-03-02,12.16,12.32,11.88,12.28,14659200,0.0,0.0
2020-03-03,12.28,12.42,11.78,11.98,11180800,0.0,0.0
2020-03-04,12.35,12.61,12.07,12.6,11427200,0.0,0.0
2020-03-05,12.3,12.62,12.24,12.28,8960000,0.0,0.0
2020-03-06,11.97,12.2,11.67,11.92,15444800,0.0,0.0
2020-03-09,11.08,11.85,11.08,11.6,18836800,0.0,0.0
2020-03-10,11.84,12.52,11.52,12.49,21753600,0.0,0.0
2020-03-11,12.16,12.25,11.32,11.38,23360000,0.0,0.0
2020-03-12,10.54,10.88,10.16,10.18,33078400,0.0,0.0
2020-03-13,10.71,11.06,9.83,11.04,17172800,0.0,0.0
2020-03-16,10.07,10.7,9.8,9.81,16475200,0.0,0.0
2020-03-17,10.05,10.76,9.85,10.51,23912000,0.0,0.0
2020-03-18,9.85,11.58,9.85,11.06,31808000,0.0,0.0
2020-03-19,10.98,11.85,10.79,11.11,14928000,0.0,0.0
2020-03-20,11.28,11.73,10.21,10.27,18297600,0.0,0.0
2020-03-23,10.24,10.47,9.78,10.11,15707200,0.0,0.0
2020-03-24,10.73,11.84,10.68,11.65,23580800,0.0,0.0
2020-03-25,11.71,12.29,11.56,11.77,24233600,0.0,0.0
2020-03-26,11.79,12.66,11.65,12.53,18998400,0.0,0.0
2020-03-27,12.07,12.26,11.86,11.95,14644800,0.0,0.0
2020-03-30,11.93,12.93,11.81,12.85,16641600,0.0,0.0
2020-03-31,12.77,13.03,12.45,12.65,18113600,0.0,0.0
2020-04-01,12.16,12.47,11.81,12.04,13763200,0.0,0.0
2020-04-02,11.89,12.38,11.81,12.13,10616000,0.0,0.0
2020-04-03,12.1,12.35,12.01,12.16,13510400,0.0,0.0
2020-04-06,12.51,13.03,12.42,12.97,15972800,0.0,0.0
2020-04-07,13.31,13.46,12.96,13.07,13625600,0.0,0.0
2020-04-08,13.25,13.49,13.14,13.41,12708800,0.0,0.0
2020-04-09,13.2,13.28,12.89,13.11,22150400,0.0,0.0
2020-04-13,13.06,13.18,12.54,12.63,14004800,0.0,0.0
2020-04-14,12.92,13.16,12.81,12.95,11702400,0.0,0.0
2020-04-15,12.76,12.9,12.59,12.76,7635200,0.0,0.0
2020-04-16,12.81,13.17,12.68,12.82,12382400,0.0,0.0
2020-04-17,13.12,13.23,12.84,13.12,11428800,0.0,0.0
2020-04-20,13.07,13.37,13.0,13.24,9662400,0.0,0.0
2020-04-21,13.13,13.17,12.5,12.5,11518400,0.0,0.0
2020-04-22,12.93,13.3,12.81,13.21,9272000,0.0,0.0
2020-04-23,13.2,13.35,13.01,13.07,6240000,0.0,0.0
