,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 19:00:00-05:00,nan,nan,nan
2025-10-22 20:00:00-04:00,nan,nan,nan
2025-07-23 20:00:00-04:00,nan,nan,nan
2025-04-23 20:00:00-04:00,nan,nan,nan
2025-01-30 19:00:00-05:00,4.25,4.42,4.07
2024-10-24 20:00:00-04:00,2.48,2.72,9.82
2024-07-25 20:00:00-04:00,3.08,2.93,-4.94
2024-04-25 20:00:00-04:00,5.91,5.66,-4.29
2024-02-01 19:00:00-05:00,4.06,3.89,-4.29
2023-10-26 20:00:00-04:00,2.21,2.32,4.82
2023-07-27 20:00:00-04:00,2.84,2.76,-2.75
2023-04-27 20:00:00-04:00,5.32,5.17,-2.82
