,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,218.36,221.46,214.65,214.87,1250300,0.0,0.0
2020-02-25,218.8,219.56,213.11,214.04,1562000,0.0,0.0
2020-02-26,215.2,217.76,213.8,214.09,1093700,0.0,0.0
2020-02-27,211.54,213.35,204.04,204.21,1572200,0.0,0.0
2020-02-28,199.22,200.8,194.7,200.15,2363700,0.0,0.0
2020-03-02,200.9,212.88,200.72,212.71,2083000,0.0,0.0
2020-03-03,212.61,214.71,203.57,206.69,1252000,0.0,0.0
2020-03-04,210.4,217.04,208.53,216.97,1204800,0.0,0.0
2020-03-05,212.2,213.29,205.7,208.6,1283600,0.0,0.0
2020-03-06,201.57,207.85,198.67,206.7,1492700,0.0,0.0
2020-03-09,190.9,190.96,166.88,172.17,6143500,0.0,0.0
2020-03-10,177.82,182.51,168.63,176.19,4736400,0.0,0.0
2020-03-11,174.63,182.78,170.95,178.0,4879100,0.0,0.0
2020-03-12,168.81,174.52,163.13,166.94,4328600,0.0,0.0
2020-03-13,174.41,176.18,161.7,170.75,4007000,0.0,0.0
2020-03-16,154.61,169.6,148.68,164.09,3392700,0.0,0.0
2020-03-17,168.42,170.71,154.76,158.26,3626100,0.0,0.0
2020-03-18,150.5,152.94,139.57,150.03,2391100,0.0,0.0
2020-03-19,148.52,149.96,142.41,145.37,2627000,0.0,0.0
2020-03-20,146.84,149.53,140.25,143.9,3037800,0.0,0.0
2020-03-23,141.17,150.45,138.49,139.99,3027700,0.0,0.0
2020-03-24,144.98,161.22,144.58,159.77,2441600,0.0,0.0
2020-03-25,160.01,161.65,154.55,156.99,2845800,0.0,0.0
2020-03-26,157.69,161.12,155.4,159.44,2574300,0.0,0.0
2020-03-27,154.72,165.05,152.25,159.17,2180000,0.0,0.0
2020-03-30,161.25,166.48,155.99,164.57,1996800,0.0,0.0
2020-03-31,161.42,163.58,157.82,158.81,1704000,0.0,0.0
2020-04-01,161.18,161.18,146.35,147.88,1330300,0.0,0.0
2020-04-02,146.6,153.54,146.26,151.32,1524400,0.0,0.0
2020-04-03,149.21,152.32,145.34,148.32,1671100,0.0,0.0
