,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,25.48,25.79,24.92,25.72,3148500,0.0,0.0
2020-02-24,24.41,24.48,23.91,24.22,3025600,0.0,0.0
2020-02-25,24.67,24.71,22.95,23.09,4462000,0.0,0.0
2020-02-26,23.09,23.42,22.09,22.12,5515700,0.0,0.0
2020-02-27,21.56,24.41,21.17,22.7,8817000,0.0,0.0
2020-02-28,21.73,23.11,21.58,22.56,10240400,0.0,0.0
2020-03-02,23.08,23.44,22.32,23.11,8987000,0.0,0.0
2020-03-03,23.27,24.06,22.41,22.63,7364300,0.0,0.0
2020-03-04,22.96,23.2,22.21,22.76,4376200,0.0,0.0
2020-03-05,22.12,22.83,21.76,22.04,5725500,0.0,0.0
2020-03-06,21.21,21.29,18.31,18.74,10198100,0.0,0.0
2020-03-09,12.15,12.4,8.44,8.64,28073200,0.0,0.0
2020-03-10,10.29,10.41,8.51,9.77,22820600,0.0,0.0
2020-03-11,9.14,9.15,7.2,7.47,19670000,0.0,0.0
2020-03-12,6.27,7.51,5.97,7.02,19844700,0.0,0.0
2020-03-13,7.69,7.77,6.29,7.3,24978800,0.0,0.0
2020-03-16,6.09,6.26,4.93,4.94,18546800,0.0,0.0
2020-03-17,5.15,5.17,3.98,4.03,19718000,0.0,0.0
2020-03-18,3.76,4.3,3.44,4.02,16461800,0.0,0.0
2020-03-19,4.12,4.89,3.68,4.48,14530000,0.0,0.0
2020-03-20,4.67,4.95,4.21,4.37,17519800,0.0,0.0
2020-03-23,4.35,4.43,3.89,3.9,14154700,0.0,0.0
2020-03-24,4.35,5.28,4.23,5.05,16021900,0.0,0.0
2020-03-25,5.55,6.04,4.8,5.33,19289700,0.0,0.0
2020-03-26,5.37,5.97,5.08,5.21,18496800,0.0,0.0
2020-03-27,4.87,4.89,4.31,4.4,18508800,0.0,0.0
2020-03-30,4.31,4.32,3.62,3.72,26494600,0.0,0.0
2020-03-31,3.99,4.14,3.72,3.78,31240200,0.0,0.0
2020-04-01,3.65,3.76,3.49,3.64,22611200,0.0,0.0
2020-04-02,4.3,4.8,3.9,4.24,53258000,0.0,0.0
2020-04-03,4.92,5.09,4.12,4.87,51801400,0.0,0.0
2020-04-06,4.7,5.43,4.64,5.31,28007900,0.0,0.0
2020-04-07,5.97,6.55,5.76,5.9,39030500,0.0,0.0
2020-04-08,6.18,6.9,6.08,6.86,35954800,0.0,0.0
2020-04-09,8.25,9.12,6.45,7.42,92502300,0.0,0.0
2020-04-13,7.96,8.14,7.27,7.58,35821100,0.0,0.0
2020-04-14,7.42,7.52,6.9,7.31,26955200,0.0,0.0
2020-04-15,6.44,7.3,6.41,7.19,24475600,0.0,0.0
2020-04-16,7.2,7.22,6.68,6.78,13095000,0.0,0.0
2020-04-17,6.74,7.69,6.72,7.68,26718200,0.0,0.0
2020-04-20,6.91,8.01,6.8,7.68,26625900,0.0,0.0
2020-04-21,7.43,8.0,7.32,7.78,22556500,0.02,0.0
2020-04-22,8.17,8.73,8.03,8.55,26440900,0.0,0.0
2020-04-23,8.92,9.96,8.9,9.53,38583000,0.0,0.0
2020-04-24,10.1,10.4,9.22,9.71,39965400,0.0,0.0
2020-04-27,9.26,9.81,8.85,9.53,25852700,0.0,0.0
2020-04-28,9.85,9.94,9.27,9.69,19229600,0.0,0.0
2020-04-29,10.28,11.94,10.11,11.85,35121000,0.0,0.0
2020-04-30,12.12,12.76,11.06,11.88,39879500,0.0,0.0
2020-05-01,11.28,11.59,10.09,10.24,24359500,0.0,0.0
2020-05-04,9.73,10.96,9.53,10.95,18185500,0.0,0.0
2020-05-05,11.79,11.97,10.56,10.7,26477400,0.0,0.0
2020-05-06,10.72,11.02,10.27,10.54,20242500,0.0,0.0
2020-05-07,10.39,11.24,10.31,10.79,19899300,0.0,0.0
2020-05-08,11.12,11.39,10.94,11.3,19455300,0.0,0.0
2020-05-11,11.12,11.3,10.72,10.92,14496300,0.0,0.0
2020-05-12,11.08,11.25,10.68,10.7,14729200,0.0,0.0
2020-05-13,10.6,10.6,9.53,9.74,17266900,0.0,0.0
2020-05-14,9.38,10.02,8.78,9.41,20150300,0.0,0.0
2020-05-15,9.28,9.91,9.18,9.63,18137500,0.0,0.0
2020-05-18,10.53,11.1,10.41,10.82,22482800,0.0,0.0
