,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,226.53,226.84,225.17,226.29,1587000,0.0,0.0
2020-02-24,221.67,222.85,217.16,217.91,1330700,0.0,0.0
2020-02-25,217.92,218.68,208.41,209.0,1423700,0.0,0.0
2020-02-26,209.41,213.16,208.67,209.03,1310200,0.0,0.0
2020-02-27,205.8,207.04,198.8,198.89,1410300,0.0,0.0
2020-02-28,192.94,197.72,189.76,194.91,2353600,0.0,0.0
2020-03-02,196.22,204.88,195.81,204.71,1625400,0.0,0.0
2020-03-03,205.1,210.54,199.29,201.79,1607800,0.0,0.0
2020-03-04,205.39,210.73,203.94,210.52,1213900,0.0,0.0
2020-03-05,204.57,208.33,203.38,207.68,1548200,0.0,0.0
2020-03-06,200.78,205.49,200.08,203.87,2175000,0.0,0.0
2020-03-09,190.81,190.81,181.71,182.07,2393700,0.0,0.0
2020-03-10,187.2,190.44,181.6,190.44,1962500,0.0,0.0
2020-03-11,186.38,189.16,180.57,184.43,1470600,0.0,0.0
2020-03-12,175.64,182.98,158.4,166.61,2288700,0.0,0.0
2020-03-13,174.97,183.29,167.45,183.15,2180400,0.0,0.0
2020-03-16,151.01,169.69,148.6,160.06,1809000,0.0,0.0
2020-03-17,164.5,182.62,161.16,182.03,2284700,0.0,0.0
2020-03-18,169.26,187.74,162.26,178.9,2582200,0.0,0.0
2020-03-19,177.06,181.82,167.37,169.55,1818200,0.0,0.0
2020-03-20,169.49,172.05,161.79,167.87,2155600,0.0,0.0
2020-03-23,165.44,172.72,154.35,156.85,2162800,0.0,0.0
2020-03-24,164.69,178.14,159.11,172.55,2161600,0.0,0.0
2020-03-25,171.61,181.6,168.38,169.65,2165300,0.0,0.0
2020-03-26,171.27,179.99,168.61,178.69,1512800,0.0,0.0
2020-03-27,173.34,176.75,169.82,171.44,1173100,0.0,0.0
2020-03-30,176.15,185.13,174.93,183.3,1281800,0.0,0.0
2020-03-31,181.08,183.92,176.4,178.31,2372800,1.34,0.0
2020-04-01,171.52,176.34,168.43,169.09,1566500,0.0,0.0
2020-04-02,167.61,177.98,166.56,173.75,1963500,0.0,0.0
2020-04-03,172.76,174.19,165.49,166.69,1943700,0.0,0.0
2020-04-06,173.86,177.06,170.27,173.18,2090400,0.0,0.0
2020-04-07,177.42,183.79,177.1,180.48,1383800,0.0,0.0
2020-04-08,181.76,194.37,179.62,192.74,1804000,0.0,0.0
2020-04-09,192.18,198.85,192.18,195.92,1744000,0.0,0.0
2020-04-13,194.92,196.52,190.73,193.13,1096700,0.0,0.0
2020-04-14,198.0,200.35,195.18,197.24,965400,0.0,0.0
2020-04-15,195.88,195.88,189.41,191.01,1042400,0.0,0.0
2020-04-16,191.56,192.3,188.98,190.17,974400,0.0,0.0
2020-04-17,194.26,199.96,191.72,197.87,1755600,0.0,0.0
2020-04-20,196.07,197.58,190.47,191.5,800500,0.0,0.0
2020-04-21,187.56,187.7,183.5,185.27,1498500,0.0,0.0
2020-04-22,190.86,192.41,188.29,191.56,1318100,0.0,0.0
2020-04-23,194.94,196.34,187.3,188.73,1113900,0.0,0.0
2020-04-24,190.54,194.14,189.59,193.65,811900,0.0,0.0
2020-04-27,193.36,198.72,192.52,198.55,1194300,0.0,0.0
2020-04-28,201.37,202.96,197.53,199.76,1093400,0.0,0.0
2020-04-29,201.87,207.14,201.03,206.06,1323800,0.0,0.0
2020-04-30,201.81,204.12,200.24,201.51,1284000,0.0,0.0
2020-05-01,196.88,199.12,195.52,198.54,827200,0.0,0.0
2020-05-04,197.91,200.56,196.1,199.52,1345100,0.0,0.0
2020-05-05,201.0,203.51,199.68,200.37,1106400,0.0,0.0
2020-05-06,199.86,202.34,199.15,199.55,1314400,0.0,0.0
2020-05-07,202.02,204.06,199.35,202.6,761700,0.0,0.0
2020-05-08,206.43,208.64,204.74,208.57,808700,0.0,0.0
2020-05-11,204.57,208.62,203.58,207.85,852300,0.0,0.0
2020-05-12,207.82,209.17,205.53,205.7,1062800,0.0,0.0
2020-05-13,205.33,208.01,199.47,201.75,1128400,0.0,0.0
2020-05-14,198.06,201.68,196.1,201.55,958900,0.0,0.0
2020-05-15,200.75,203.78,198.78,203.71,1441300,0.0,0.0
2020-05-18,210.76,215.58,210.69,213.46,1159300,0.0,0.0
2020-05-19,212.33,213.7,210.64,210.85,720400,0.0,0.0
2020-05-20,214.09,216.42,213.08,214.22,781700,0.0,0.0
2020-05-21,213.49,214.62,210.1,210.41,736200,0.0,0.0
2020-05-22,209.45,210.73,208.3,209.35,775100,0.0,0.0
2020-05-26,213.45,214.86,211.93,212.43,1043100,0.0,0.0
2020-05-27,214.62,214.98,207.62,210.07,1025700,0.0,0.0
2020-05-28,213.58,216.95,211.42,215.0,930100,0.0,0.0
2020-05-29,215.56,217.05,213.99,215.87,1241800,0.0,0.0
2020-06-01,216.28,218.52,213.89,216.72,711700,0.0,0.0
2020-06-02,216.67,219.25,216.01,219.13,933700,0.0,0.0
2020-06-03,220.61,223.88,219.2,221.95,849100,0.0,0.0
2020-06-04,220.96,222.28,217.18,217.94,1210300,0.0,0.0
