,EPS Estimate,Reported EPS,Surprise(%)
2025-02-05 19:00:00-05:00,1.65,1.74,5.52
2024-10-30 20:00:00-04:00,1.68,1.83,8.86
2024-07-31 20:00:00-04:00,1.42,1.58,11.34
2024-05-01 20:00:00-04:00,1.01,1.16,14.31
2024-01-30 19:00:00-05:00,1.33,1.4,5.09
2023-11-01 20:00:00-04:00,1.23,1.3,5.8
2023-08-02 20:00:00-04:00,1.01,1.25,23.16
2023-05-03 20:00:00-04:00,0.9,0.91,1.07
2023-02-01 19:00:00-05:00,1.22,1.27,4.38
2022-11-02 20:00:00-04:00,0.99,1.28,28.75
2022-08-03 20:00:00-04:00,0.58,0.22,-62.02
2022-05-04 20:00:00-04:00,0.61,0.63,3.31
