,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,90.15,90.45,88.91,90.06,1203900,0.0,0.0
2020-02-24,86.73,87.18,83.72,83.98,2084100,0.0,0.0
2020-02-25,84.76,84.83,79.91,81.11,2525200,0.0,0.0
2020-02-26,82.11,83.44,80.8,81.09,1691700,0.0,0.0
2020-02-27,80.51,81.7,77.34,77.98,3477200,0.0,0.0
2020-02-28,75.31,79.38,73.8,78.11,3533900,0.0,0.0
2020-03-02,78.7,82.18,77.62,82.16,2572200,0.0,0.0
2020-03-03,82.41,84.87,79.83,80.56,2685700,0.0,0.0
2020-03-04,82.15,83.15,80.26,83.09,1901000,0.0,0.0
2020-03-05,80.34,81.66,77.93,78.5,1699200,0.0,0.0
2020-03-06,75.36,77.95,74.3,76.29,2398700,0.0,0.0
2020-03-09,70.59,71.56,68.12,68.91,2767600,0.0,0.0
2020-03-10,72.29,73.34,69.62,72.83,2677300,0.0,0.0
2020-03-11,70.58,71.62,66.97,67.23,2660700,0.0,0.0
2020-03-12,62.86,64.79,58.97,59.4,3380300,0.0,0.0
2020-03-13,62.79,66.5,60.15,66.47,2733900,0.0,0.0
2020-03-16,59.0,59.0,51.08,51.11,3218300,0.0,0.0
2020-03-17,52.38,52.86,45.65,48.31,4193500,0.0,0.0
2020-03-18,44.38,45.7,29.21,33.54,5891300,0.0,0.0
2020-03-19,33.22,45.36,29.32,40.58,7382000,0.0,0.0
2020-03-20,42.04,49.61,41.72,45.16,5598800,0.0,0.0
2020-03-23,44.36,48.63,42.11,46.5,4476600,0.0,0.0
2020-03-24,50.18,52.11,47.54,49.52,2802800,0.0,0.0
2020-03-25,51.16,53.43,47.56,50.72,2224900,0.0,0.0
2020-03-26,51.79,55.88,50.02,55.27,2293400,0.0,0.0
2020-03-27,51.95,52.81,49.4,51.27,2569400,0.0,0.0
2020-03-30,50.27,51.81,48.02,49.91,2676200,0.0,0.0
2020-03-31,50.24,52.2,48.43,49.24,2607300,0.0,0.0
2020-04-01,44.61,47.47,44.11,45.91,2548400,0.0,0.0
2020-04-02,44.72,48.79,44.25,45.59,2460800,0.0,0.0
2020-04-03,45.91,46.45,43.04,43.29,2168300,0.0,0.0
2020-04-06,47.0,50.7,45.7,49.93,3110400,0.0,0.0
2020-04-07,54.09,56.22,52.43,53.5,3549300,0.0,0.0
2020-04-08,54.72,60.38,54.29,60.2,3670400,0.0,0.0
2020-04-09,63.13,66.65,62.0,62.22,3607000,0.0,0.0
2020-04-13,61.56,61.84,58.18,60.74,1275300,0.0,0.0
2020-04-14,62.04,64.63,61.38,62.81,1829800,0.0,0.0
2020-04-15,58.63,61.22,58.5,60.86,1730900,0.0,0.0
2020-04-16,60.38,61.29,57.79,59.36,1426800,0.0,0.0
2020-04-17,62.86,64.76,62.38,63.91,2965500,0.0,0.0
2020-04-20,61.43,62.41,58.72,59.52,2225900,0.0,0.0
2020-04-21,56.29,59.72,56.04,58.34,1741200,0.0,0.0
2020-04-22,60.02,61.22,59.02,60.5,1425300,0.0,0.0
2020-04-23,61.43,62.65,60.65,60.72,1096000,0.0,0.0
2020-04-24,62.38,63.74,61.31,62.74,1167700,0.0,0.0
2020-04-27,62.68,65.91,62.5,65.51,1514900,0.0,0.0
2020-04-28,68.04,69.76,66.48,66.68,1770800,0.0,0.0
2020-04-29,68.86,72.41,68.33,71.66,1807300,0.0,0.0
2020-04-30,68.5,71.02,68.19,69.55,2128700,0.0,0.0
2020-05-01,67.4,67.4,64.08,65.75,1743200,0.0,0.0
2020-05-04,64.09,65.43,63.25,64.26,2212900,0.0,0.0
2020-05-05,65.25,67.05,64.66,65.63,2323200,0.0,0.0
2020-05-06,68.33,68.38,64.83,65.18,1158000,0.0,0.0
2020-05-07,66.48,68.19,65.08,65.23,1283000,0.0,0.0
2020-05-08,67.12,68.68,66.44,68.15,1114200,0.0,0.0
2020-05-11,66.73,68.13,65.02,66.7,1548500,0.0,0.0
2020-05-12,67.45,67.75,64.44,64.5,1139900,0.0,0.0
2020-05-13,64.5,64.5,60.13,60.79,1775900,0.0,0.0
2020-05-14,58.84,63.18,57.25,63.15,1676100,0.0,0.0
2020-05-15,62.27,64.4,61.5,64.06,1225400,0.0,0.0
2020-05-18,67.41,70.8,67.41,70.18,1642700,0.0,0.0
2020-05-19,71.0,74.22,69.94,70.0,2335600,0.0,0.0
2020-05-20,71.79,73.33,71.26,71.7,2137500,0.0,0.0
2020-05-21,72.47,74.4,71.34,71.52,2130600,0.0,0.0
2020-05-22,71.33,72.12,70.11,71.88,1481600,0.0,0.0
2020-05-26,75.62,76.37,74.44,75.68,2014600,0.0,0.0
2020-05-27,78.9,81.95,75.56,77.62,2683000,0.0,0.0
2020-05-28,77.7,78.19,73.55,73.62,2682400,0.0,0.0
2020-05-29,74.19,75.62,73.2,75.34,2572800,0.0,0.0
