,EPS Estimate,Reported EPS,Surprise(%)
2026-01-25 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-26 19:00:00-05:00,0.92,-0.38,-141.48
2024-10-20 20:00:00-04:00,0.9,0.96,7.14
2024-07-21 20:00:00-04:00,0.8,0.25,-68.87
2024-04-21 20:00:00-04:00,0.81,0.97,20.5
2024-01-28 19:00:00-05:00,0.56,-0.54,-196.0
2023-10-22 20:00:00-04:00,1.14,0.13,-88.62
2023-07-23 20:00:00-04:00,0.64,0.51,-19.69
2023-04-23 20:00:00-04:00,0.78,0.44,-43.55
