,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-08-04 20:00:00-04:00,nan,nan,nan
2025-05-05 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,2.19,2.23,1.64
2024-11-17 19:00:00-05:00,0.8,0.83,3.23
2024-11-05 19:00:00-05:00,0.8,nan,nan
2024-08-06 20:00:00-04:00,1.05,1.08,2.79
2024-05-07 20:00:00-04:00,2.61,2.85,9.28
2024-02-05 19:00:00-05:00,2.05,2.08,1.54
2023-11-07 19:00:00-05:00,0.72,0.8,11.09
2023-08-01 20:00:00-04:00,0.99,0.94,-5.45
