,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,105.22,105.95,104.96,105.11,967000,0.57,0.0
2020-02-24,104.43,104.74,102.8,102.92,967100,0.0,0.0
2020-02-25,103.27,103.7,100.68,100.72,830200,0.0,0.0
2020-02-26,100.93,102.05,99.22,99.26,1023200,0.0,0.0
2020-02-27,98.98,100.17,94.93,94.93,1163000,0.0,0.0
2020-02-28,92.83,93.57,90.09,91.43,2349500,0.0,0.0
2020-03-02,91.84,95.91,91.48,95.54,1877500,0.0,0.0
2020-03-03,95.3,96.85,93.59,94.34,1146700,0.0,0.0
2020-03-04,95.58,100.2,95.58,99.98,1106300,0.0,0.0
2020-03-05,98.31,99.09,97.58,98.41,1204600,0.0,0.0
2020-03-06,95.28,98.89,94.31,98.52,1557800,0.0,0.0
2020-03-09,94.85,95.17,91.5,93.1,1519800,0.0,0.0
2020-03-10,94.63,95.03,89.58,93.36,1418500,0.0,0.0
2020-03-11,91.39,92.03,89.02,91.08,1295900,0.0,0.0
2020-03-12,85.13,90.97,80.15,83.84,1667100,0.0,0.0
2020-03-13,87.5,89.15,82.84,89.15,1463000,0.0,0.0
2020-03-16,82.24,86.76,80.73,82.96,1546200,0.0,0.0
2020-03-17,85.19,95.93,84.82,95.72,1887700,0.0,0.0
2020-03-18,90.89,97.36,84.36,93.72,1574400,0.0,0.0
2020-03-19,94.2,94.2,81.63,87.23,1472900,0.0,0.0
2020-03-20,87.53,87.68,75.77,76.33,1884000,0.0,0.0
2020-03-23,75.73,75.77,69.0,71.28,1491700,0.0,0.0
2020-03-24,73.68,79.08,71.91,78.45,1351700,0.0,0.0
2020-03-25,77.86,83.05,70.38,79.96,1183500,0.0,0.0
2020-03-26,79.87,85.97,79.87,85.25,810100,0.0,0.0
2020-03-27,82.16,88.93,80.77,86.26,879600,0.0,0.0
2020-03-30,87.24,91.55,86.66,91.05,1058000,0.0,0.0
2020-03-31,90.01,90.55,87.28,87.87,944000,0.0,0.0
2020-04-01,84.66,88.58,81.76,83.81,999500,0.0,0.0
2020-04-02,82.81,87.3,82.81,86.22,565400,0.0,0.0
2020-04-03,84.94,86.04,82.36,83.38,684200,0.0,0.0
2020-04-06,86.62,92.94,86.55,91.77,794900,0.0,0.0
2020-04-07,93.83,93.83,86.85,87.15,1085000,0.0,0.0
2020-04-08,87.93,91.58,86.58,90.9,822000,0.0,0.0
2020-04-09,92.06,96.0,91.57,93.16,1263800,0.0,0.0
2020-04-13,92.12,92.8,90.15,91.45,639700,0.0,0.0
2020-04-14,93.58,96.21,92.42,95.74,791100,0.0,0.0
2020-04-15,94.05,95.3,93.34,94.18,819500,0.0,0.0
2020-04-16,94.43,95.02,91.79,93.06,622000,0.0,0.0
2020-04-17,94.44,98.6,93.63,98.03,1061100,0.0,0.0
2020-04-20,96.43,96.89,90.43,90.79,764800,0.0,0.0
2020-04-21,89.06,91.46,88.81,89.25,575000,0.0,0.0
2020-04-22,91.0,91.43,89.79,90.61,514300,0.0,0.0
2020-04-23,91.37,91.45,88.93,89.73,875200,0.0,0.0
2020-04-24,90.89,92.73,89.58,92.46,881800,0.0,0.0
2020-04-27,93.03,93.96,91.87,93.47,730500,0.0,0.0
2020-04-28,94.54,95.57,93.0,94.89,917400,0.0,0.0
2020-04-29,96.75,96.75,92.32,92.86,735300,0.0,0.0
2020-04-30,92.51,92.97,89.69,90.3,1322200,0.0,0.0
2020-05-01,89.54,89.54,87.51,88.64,626700,0.0,0.0
2020-05-04,88.26,89.42,87.38,89.22,885300,0.0,0.0
2020-05-05,90.01,91.17,89.54,90.12,952800,0.0,0.0
2020-05-06,90.46,90.46,85.09,85.5,1122300,0.0,0.0
2020-05-07,86.9,89.7,85.1,85.35,1119000,0.0,0.0
2020-05-08,86.24,86.67,85.15,86.19,868200,0.0,0.0
2020-05-11,85.55,86.49,83.81,85.7,1321700,0.0,0.0
2020-05-12,85.93,86.34,84.93,85.34,951100,0.0,0.0
2020-05-13,84.91,85.57,84.05,85.4,865100,0.0,0.0
2020-05-14,84.41,84.81,81.92,84.03,991400,0.0,0.0
2020-05-15,83.35,84.79,80.83,84.22,3166400,0.0,0.0
2020-05-18,87.22,87.9,86.2,87.24,793200,0.0,0.0
2020-05-19,86.61,88.15,85.22,85.28,805900,0.0,0.0
2020-05-20,86.61,88.85,86.32,88.03,1128600,0.0,0.0
2020-05-21,87.69,88.59,86.51,86.59,642300,0.0,0.0
2020-05-22,86.76,87.63,86.66,87.59,602600,0.57,0.0
2020-05-26,88.69,89.42,86.75,86.94,611800,0.0,0.0
2020-05-27,88.57,88.73,86.46,88.35,772000,0.0,0.0
2020-05-28,89.88,91.38,89.75,90.57,810600,0.0,0.0
2020-05-29,89.96,92.63,89.58,91.55,3602100,0.0,0.0
2020-06-01,91.92,92.52,90.92,91.7,861300,0.0,0.0
2020-06-02,92.36,92.44,91.14,91.97,718900,0.0,0.0
2020-06-03,92.36,94.22,92.03,93.32,785500,0.0,0.0
2020-06-04,92.6,93.18,90.72,92.84,1876500,0.0,0.0
2020-06-05,93.35,94.14,92.62,93.11,1391600,0.0,0.0
2020-06-08,93.0,94.86,92.0,94.45,838200,0.0,0.0
2020-06-09,93.74,93.74,91.68,92.93,628700,0.0,0.0
2020-06-10,92.61,93.68,92.07,92.41,570100,0.0,0.0
2020-06-11,90.86,91.39,87.59,88.43,1073500,0.0,0.0
2020-06-12,90.6,90.6,88.16,89.46,946200,0.0,0.0
2020-06-15,87.51,90.64,87.05,90.04,1540100,0.0,0.0
2020-06-16,92.35,93.37,90.48,91.09,1206700,0.0,0.0
2020-06-17,91.3,91.56,89.55,90.13,569900,0.0,0.0
2020-06-18,89.37,91.04,89.37,90.37,564400,0.0,0.0
2020-06-19,91.72,92.03,88.61,88.83,2081700,0.0,0.0
2020-06-22,88.31,89.58,87.65,89.18,670400,0.0,0.0
2020-06-23,90.2,90.43,87.73,88.04,1040100,0.0,0.0
2020-06-24,87.31,88.22,86.45,88.15,1549000,0.0,0.0
2020-06-25,87.71,87.9,84.89,86.47,1119900,0.0,0.0
2020-06-26,86.54,87.55,85.6,86.81,2046600,0.0,0.0
2020-06-29,87.39,87.79,86.22,87.63,726000,0.0,0.0
2020-06-30,87.71,89.35,87.51,88.7,926600,0.0,0.0
2020-07-01,88.85,90.27,88.85,89.69,606200,0.0,0.0
2020-07-02,90.14,91.01,89.84,90.13,405800,0.0,0.0
2020-07-06,90.95,91.64,89.73,90.18,730000,0.0,0.0
2020-07-07,89.41,90.03,88.78,89.14,655000,0.0,0.0
2020-07-08,89.09,89.4,87.91,88.52,619200,0.0,0.0
2020-07-09,87.94,88.01,86.48,87.02,819000,0.0,0.0
2020-07-10,87.02,88.84,86.9,88.27,498300,0.0,0.0
2020-07-13,88.71,89.68,88.2,88.8,743200,0.0,0.0
2020-07-14,88.85,90.0,88.36,89.46,764400,0.0,0.0
2020-07-15,90.31,91.19,89.5,89.65,667700,0.0,0.0
2020-07-16,89.64,90.26,89.16,89.57,555700,0.0,0.0
2020-07-17,89.99,90.56,89.49,90.02,645500,0.0,0.0
2020-07-20,89.8,90.25,88.61,88.91,920000,0.0,0.0
2020-07-21,89.45,91.14,88.97,90.99,681300,0.0,0.0
2020-07-22,90.71,92.95,90.2,92.67,697400,0.0,0.0
2020-07-23,92.68,93.09,91.7,92.37,800600,0.0,0.0
2020-07-24,92.78,93.35,91.29,91.75,648800,0.0,0.0
2020-07-27,91.73,92.41,91.05,91.37,641400,0.0,0.0
2020-07-28,91.04,93.66,91.04,93.17,819100,0.0,0.0
2020-07-29,93.56,94.4,93.56,94.12,910400,0.0,0.0
2020-07-30,93.36,94.22,93.26,93.91,566100,0.0,0.0
2020-07-31,93.82,95.02,93.21,94.41,1333400,0.0,0.0
2020-08-03,94.07,94.11,92.68,93.81,543700,0.0,0.0
2020-08-04,92.76,94.07,92.75,93.36,754600,0.0,0.0
2020-08-05,93.35,94.4,91.97,92.36,820800,0.0,0.0
2020-08-06,94.51,94.51,92.06,93.26,717700,0.0,0.0
2020-08-07,92.54,94.97,92.54,94.16,567500,0.0,0.0
