,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,190.68,192.46,190.63,191.58,811800,0.0,0.0
2020-02-24,190.37,192.48,188.62,189.71,726700,0.0,0.0
2020-02-25,190.46,191.07,185.67,186.03,855900,0.0,0.0
2020-02-26,186.45,187.55,185.04,185.87,907500,0.0,0.0
2020-02-27,183.86,184.72,174.35,174.48,1120900,0.0,0.0
2020-02-28,171.54,171.68,164.32,168.53,1702900,0.0,0.0
2020-03-02,169.52,176.16,167.88,176.16,1275700,0.0,0.0
2020-03-03,176.16,181.96,174.24,175.37,1099200,0.0,0.0
2020-03-04,177.88,183.19,177.13,182.93,990200,0.0,0.0
2020-03-05,180.43,181.88,177.05,179.22,801400,0.0,0.0
2020-03-06,175.16,176.53,170.44,175.65,919000,0.0,0.0
2020-03-09,168.45,171.07,165.66,165.66,1306000,0.0,0.0
2020-03-10,169.24,175.6,164.67,175.47,1354400,0.0,0.0
2020-03-11,170.74,170.77,163.84,164.55,1101600,0.0,0.0
2020-03-12,153.12,165.22,150.49,152.9,1766900,0.0,0.0
2020-03-13,159.55,162.94,150.52,162.29,1343500,0.0,0.0
2020-03-16,147.74,149.76,137.35,137.35,1463000,0.0,0.0
2020-03-17,140.52,153.27,136.16,152.57,1992200,0.0,0.0
2020-03-18,142.63,148.5,123.57,129.29,1562900,0.0,0.0
2020-03-19,128.96,130.71,122.09,123.15,1292700,0.0,0.0
2020-03-20,124.11,126.83,108.03,110.58,1569000,0.0,0.0
2020-03-23,110.58,110.58,99.28,101.73,2070100,0.0,0.0
2020-03-24,106.02,108.67,103.34,107.09,2236300,0.0,0.0
2020-03-25,105.51,125.41,103.93,118.28,1937900,0.0,0.0
2020-03-26,118.18,127.64,116.23,126.92,1761900,0.0,0.0
2020-03-27,122.68,138.57,122.4,134.66,1374300,0.0,0.0
2020-03-30,135.97,137.17,122.35,129.07,2100300,1.59,0.0
2020-03-31,127.66,129.19,121.15,124.89,2165100,0.0,0.0
2020-04-01,118.51,119.19,110.99,117.12,2248000,0.0,0.0
2020-04-02,114.57,120.58,111.96,114.85,1555300,0.0,0.0
2020-04-03,113.42,117.16,110.55,112.2,1147600,0.0,0.0
2020-04-06,118.57,124.13,118.17,123.11,1175800,0.0,0.0
2020-04-07,130.11,131.01,123.85,125.04,998700,0.0,0.0
