,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,26.78,26.86,26.24,26.43,24522000,0.0,0.0
2020-02-24,25.53,25.93,25.17,25.31,36849000,0.0,0.0
2020-02-25,25.53,25.67,24.39,24.53,31892000,0.0,0.0
2020-02-26,24.68,25.01,24.65,24.81,23074000,0.0,0.0
2020-02-27,24.33,24.76,23.74,23.78,34837000,0.0,0.0
2020-02-28,22.85,23.79,22.8,23.66,44586000,0.0,0.0
2020-03-02,24.02,24.77,23.53,24.73,31976000,0.0,0.0
2020-03-03,24.71,25.04,23.57,23.8,29930000,0.0,0.0
2020-03-04,24.09,24.8,23.85,24.77,23477000,0.0,0.0
2020-03-05,24.06,24.57,23.65,23.78,24374000,0.0,0.0
2020-03-06,23.17,23.51,22.78,23.39,30169000,0.0,0.0
2020-03-09,21.79,22.59,21.2,21.5,43934000,0.0,0.0
2020-03-10,22.27,22.88,21.12,22.82,55071000,0.0,0.0
2020-03-11,22.03,22.26,21.05,21.35,36030000,0.0,0.0
2020-03-12,19.7,21.07,18.77,18.99,64281000,0.0,0.0
2020-03-13,19.57,20.35,17.46,20.33,84714000,0.0,0.0
2020-03-16,18.07,18.99,15.64,16.28,76935000,0.0,0.0
2020-03-17,16.65,17.36,15.75,17.31,70662000,0.0,0.0
2020-03-18,16.11,16.27,13.51,14.57,98993000,0.0,0.0
2020-03-19,14.55,18.01,14.32,16.87,74438000,0.0,0.0
2020-03-20,17.83,18.42,16.58,16.96,74044000,0.32,0.0
2020-03-23,17.02,17.3,15.69,17.08,46921000,0.0,0.0
2020-03-24,18.15,19.3,17.77,18.78,62970000,0.0,0.0
2020-03-25,18.73,21.54,18.47,19.2,64442000,0.0,0.0
2020-03-26,19.95,21.61,19.95,21.46,60213000,0.0,0.0
2020-03-27,20.57,21.37,20.3,20.36,39448000,0.0,0.0
2020-03-30,20.49,21.3,20.16,21.19,52343000,0.0,0.0
2020-03-31,21.01,22.31,20.84,20.93,50191000,0.0,0.0
2020-04-01,20.12,20.69,19.39,19.74,41858000,0.0,0.0
2020-04-02,19.63,21.0,19.55,20.92,45049000,0.0,0.0
2020-04-03,20.89,21.41,20.35,20.68,28960000,0.0,0.0
2020-04-06,21.59,22.37,21.5,22.28,38868000,0.0,0.0
2020-04-07,23.11,23.43,22.29,22.35,45892000,0.0,0.0
2020-04-08,22.66,23.14,22.39,23.05,27565000,0.0,0.0
2020-04-09,23.46,23.61,22.18,22.45,34828000,0.0,0.0
2020-04-13,22.38,23.08,22.31,22.94,25729000,0.0,0.0
2020-04-14,23.49,23.69,23.15,23.62,23094000,0.0,0.0
2020-04-15,23.04,23.15,22.61,22.72,25926000,0.0,0.0
2020-04-16,23.1,23.1,22.43,22.8,26896000,0.0,0.0
2020-04-17,23.23,23.6,22.86,23.47,34089000,0.0,0.0
2020-04-20,22.95,23.41,22.76,22.8,23801000,0.0,0.0
2020-04-21,22.47,22.49,21.78,21.86,29138000,0.0,0.0
2020-04-22,22.49,23.14,22.13,22.95,35438000,0.0,0.0
2020-04-23,22.97,23.41,22.82,22.85,21659000,0.0,0.0
2020-04-24,22.93,23.4,22.85,23.37,23373000,0.0,0.0
2020-04-27,23.33,23.94,23.33,23.69,16588000,0.0,0.0
2020-04-28,24.21,24.4,23.31,23.37,18988000,0.0,0.0
2020-04-29,23.93,24.45,23.76,24.36,28871000,0.0,0.0
2020-04-30,24.14,24.19,23.73,23.97,23379000,0.0,0.0
2020-05-01,23.48,23.64,22.79,22.92,26836000,0.0,0.0
2020-05-04,22.88,23.16,22.54,23.15,17046000,0.0,0.0
2020-05-05,23.53,23.74,23.28,23.38,26462000,0.0,0.0
2020-05-06,23.68,23.87,23.27,23.32,22727000,0.0,0.0
2020-05-07,23.83,23.87,23.48,23.63,18238000,0.0,0.0
2020-05-08,24.03,24.32,23.83,24.28,16757000,0.0,0.0
2020-05-11,24.13,24.43,23.99,24.31,20851000,0.0,0.0
2020-05-12,24.41,24.51,23.67,23.69,18764000,0.0,0.0
2020-05-13,23.84,23.86,22.89,23.23,21927000,0.0,0.0
2020-05-14,23.03,23.56,22.49,23.53,19912000,0.0,0.0
2020-05-15,22.9,23.31,22.66,22.99,21650000,0.0,0.0
2020-05-18,23.71,24.43,23.66,24.14,26531000,0.0,0.0
2020-05-19,24.14,24.36,23.97,24.0,18702000,0.0,0.0
2020-05-20,24.45,24.83,24.37,24.6,18605000,0.0,0.0
2020-05-21,24.62,24.67,24.24,24.26,14847000,0.0,0.0
2020-05-22,24.16,24.47,23.88,24.42,17452000,0.0,0.0
2020-05-26,25.16,25.34,24.84,24.89,23573000,0.0,0.0
2020-05-27,24.98,25.4,24.71,25.38,22812000,0.0,0.0
2020-05-28,25.16,25.54,24.93,24.99,18543000,0.0,0.0
2020-05-29,24.97,25.77,24.88,25.71,27300000,0.0,0.0
2020-06-01,25.63,25.69,25.37,25.6,18444000,0.0,0.0
2020-06-02,25.69,26.33,25.61,26.31,31847000,0.0,0.0
2020-06-03,26.57,27.44,26.53,27.32,31926000,0.0,0.0
2020-06-04,26.99,27.63,26.67,27.27,34997000,0.0,0.0
2020-06-05,28.22,28.96,27.81,27.99,50958000,0.0,0.0
2020-06-08,28.03,28.14,27.66,28.03,23916000,0.0,0.0
2020-06-09,27.54,28.15,27.5,27.83,22335000,0.0,0.0
2020-06-10,27.95,28.18,27.78,27.81,25914000,0.0,0.0
2020-06-11,27.15,27.24,25.9,25.93,45115000,0.0,0.0
2020-06-12,26.73,26.83,25.84,26.5,39439000,0.0,0.0
2020-06-15,26.04,27.08,25.81,26.84,29824000,0.0,0.0
2020-06-16,27.36,27.76,26.83,27.43,30387000,0.0,0.0
2020-06-17,27.66,27.96,27.52,27.67,20279000,0.0,0.0
2020-06-18,27.55,28.17,27.5,28.13,33625000,0.0,0.0
2020-06-19,28.33,28.37,27.0,27.0,58465000,0.32,0.0
2020-06-22,27.24,28.02,27.07,27.96,27195000,0.0,0.0
2020-06-23,28.1,28.31,27.76,27.76,22419000,0.0,0.0
2020-06-24,27.57,27.73,27.16,27.37,19096000,0.0,0.0
2020-06-25,27.29,27.6,27.02,27.54,15029000,0.0,0.0
2020-06-26,27.96,28.16,27.03,27.41,31425000,0.0,0.0
2020-06-29,27.47,27.68,27.15,27.63,14516000,0.0,0.0
2020-06-30,27.64,28.28,27.36,28.15,25125000,0.0,0.0
2020-07-01,28.1,28.26,27.82,27.89,15661000,0.0,0.0
2020-07-02,28.34,28.48,28.06,28.13,16638000,0.0,0.0
2020-07-06,28.54,28.63,28.3,28.43,17561000,0.0,0.0
2020-07-07,28.3,28.37,27.87,27.92,16150000,0.0,0.0
2020-07-08,28.19,28.52,28.01,28.5,18023000,0.0,0.0
2020-07-09,28.54,28.92,28.11,28.67,25225000,0.0,0.0
2020-07-10,28.71,28.8,28.13,28.49,13280000,0.0,0.0
2020-07-13,28.69,28.85,27.7,27.76,21549000,0.0,0.0
2020-07-14,27.55,28.2,27.22,28.1,18363000,0.0,0.0
2020-07-15,28.18,28.34,27.66,27.98,15253000,0.0,0.0
2020-07-16,27.7,27.99,27.58,27.76,12929000,0.0,0.0
2020-07-17,28.02,28.11,27.65,27.89,13354000,0.0,0.0
2020-07-20,27.81,28.33,27.67,28.28,14323000,0.0,0.0
2020-07-21,28.47,28.47,27.88,28.03,14312000,0.0,0.0
2020-07-22,28.09,28.15,27.68,27.98,14404000,0.0,0.0
2020-07-23,27.95,28.19,27.5,27.62,19417000,0.0,0.0
2020-07-24,27.34,27.73,27.13,27.27,15631000,0.0,0.0
2020-07-27,27.49,27.91,27.42,27.88,20646000,0.0,0.0
2020-07-28,27.75,27.83,27.3,27.41,13974000,0.0,0.0
2020-07-29,27.51,27.75,27.42,27.54,16562000,0.0,0.0
2020-07-30,27.29,27.91,27.29,27.83,21259000,0.0,0.0
2020-07-31,28.06,28.39,27.77,28.25,24719000,0.0,0.0
2020-08-03,28.36,28.85,28.29,28.65,20796000,0.0,0.0
2020-08-04,28.58,29.3,28.57,29.29,25258000,0.0,0.0
2020-08-05,29.27,29.57,29.05,29.39,22299000,0.0,0.0
2020-08-06,29.23,29.51,29.02,29.35,14193000,0.0,0.0
