,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,119.81,119.81,116.81,117.45,799800,0.0,0.0
2020-02-25,117.86,117.86,111.74,112.0,889900,0.0,0.0
2020-02-26,113.04,114.53,110.45,110.45,921700,0.0,0.0
2020-02-27,107.93,110.95,106.07,106.08,873300,0.0,0.0
2020-02-28,102.78,106.33,102.02,105.52,1002300,0.0,0.0
2020-03-02,105.74,110.65,103.89,110.61,951400,0.0,0.0
2020-03-03,110.39,113.3,108.18,109.25,811100,0.58,0.0
2020-03-04,110.91,112.84,108.48,112.77,636700,0.0,0.0
2020-03-05,108.51,111.95,108.17,110.32,1044200,0.0,0.0
2020-03-06,106.91,112.57,106.91,111.9,802400,0.0,0.0
2020-03-09,105.6,109.31,104.29,106.93,1039800,0.0,0.0
2020-03-10,110.06,111.76,105.65,111.47,923100,0.0,0.0
2020-03-11,108.11,108.72,102.25,102.75,1088200,0.0,0.0
2020-03-12,96.71,100.1,92.8,96.52,1149400,0.0,0.0
2020-03-13,101.35,102.28,92.01,98.25,784500,0.0,0.0
2020-03-16,86.59,96.37,86.59,89.85,839600,0.0,0.0
2020-03-17,92.0,99.99,88.77,98.83,850200,0.0,0.0
2020-03-18,90.52,98.03,90.38,97.67,732700,0.0,0.0
2020-03-19,96.74,97.91,89.92,95.44,639500,0.0,0.0
2020-03-20,95.77,95.77,81.51,84.09,906600,0.0,0.0
2020-03-23,82.98,83.46,71.28,72.93,925600,0.0,0.0
2020-03-24,76.38,91.64,75.09,89.61,994700,0.0,0.0
2020-03-25,89.16,92.57,86.39,90.54,1125200,0.0,0.0
2020-03-26,91.43,99.32,90.88,94.46,711600,0.0,0.0
2020-03-27,91.09,94.75,89.61,92.9,543300,0.0,0.0
2020-03-30,93.51,97.33,90.42,97.03,657300,0.0,0.0
2020-03-31,95.36,96.74,93.49,94.35,1230200,0.0,0.0
2020-04-01,90.78,92.47,88.15,88.85,809200,0.0,0.0
2020-04-02,87.97,93.38,87.05,88.82,794600,0.0,0.0
2020-04-03,87.8,91.31,86.4,86.7,827800,0.0,0.0
2020-04-06,91.65,94.61,90.46,93.0,661000,0.0,0.0
2020-04-07,95.86,99.67,93.26,96.47,691700,0.0,0.0
2020-04-08,97.76,102.53,96.66,102.07,544300,0.0,0.0
2020-04-09,102.75,108.06,102.75,106.54,688800,0.0,0.0
2020-04-13,105.72,106.49,100.05,100.75,580400,0.0,0.0
2020-04-14,102.8,104.54,101.78,102.37,376200,0.0,0.0
2020-04-15,98.93,100.61,97.9,99.08,425700,0.0,0.0
2020-04-16,99.71,100.35,94.15,96.95,539800,0.0,0.0
2020-04-17,99.32,101.88,98.51,101.28,405600,0.0,0.0
2020-04-20,99.89,99.89,96.7,97.15,370700,0.0,0.0
2020-04-21,95.17,96.07,94.3,95.63,506500,0.0,0.0
2020-04-22,96.75,98.43,95.84,97.59,429700,0.0,0.0
2020-04-23,98.64,100.9,98.33,98.85,494200,0.0,0.0
2020-04-24,100.06,101.13,98.29,100.53,400600,0.0,0.0
2020-04-27,100.92,105.81,99.8,105.58,470700,0.0,0.0
2020-04-28,107.79,110.59,106.09,106.21,640500,0.0,0.0
2020-04-29,107.78,110.72,103.9,105.73,859900,0.0,0.0
2020-04-30,102.82,103.79,100.53,102.24,620700,0.0,0.0
2020-05-01,100.4,100.58,97.39,100.09,469200,0.0,0.0
2020-05-04,99.7,100.02,97.81,99.02,378200,0.0,0.0
2020-05-05,99.63,100.37,98.3,98.63,444300,0.0,0.0
2020-05-06,99.19,99.96,97.57,97.94,333500,0.0,0.0
2020-05-07,99.13,99.77,96.13,96.62,628500,0.0,0.0
2020-05-08,98.5,101.44,98.11,101.19,379400,0.0,0.0
2020-05-11,100.17,101.23,97.67,100.78,409900,0.0,0.0
2020-05-12,101.12,101.77,96.71,96.75,415800,0.0,0.0
2020-05-13,95.73,97.42,93.65,94.71,551100,0.0,0.0
2020-05-14,93.75,94.71,91.54,94.67,500600,0.0,0.0
2020-05-15,93.71,94.32,91.93,93.06,499600,0.0,0.0
2020-05-18,96.58,98.6,96.58,96.77,576100,0.0,0.0
2020-05-19,96.13,96.79,94.99,95.22,380500,0.0,0.0
2020-05-20,96.23,98.94,96.23,97.94,484200,0.0,0.0
2020-05-21,97.26,98.22,95.5,98.09,464100,0.0,0.0
2020-05-22,97.99,99.68,97.87,98.59,577700,0.0,0.0
2020-05-26,101.31,103.77,100.41,103.22,615100,0.0,0.0
2020-05-27,105.14,106.36,103.11,105.04,677200,0.0,0.0
2020-05-28,106.13,106.13,103.73,103.91,397500,0.0,0.0
2020-05-29,103.42,104.22,101.19,102.5,1155800,0.0,0.0
2020-06-01,103.08,105.38,102.95,104.63,493200,0.0,0.0
2020-06-02,104.81,108.46,104.81,107.59,643200,0.58,0.0
2020-06-03,109.15,111.92,108.31,111.48,629400,0.0,0.0
2020-06-04,110.28,111.71,109.39,110.54,432700,0.0,0.0
2020-06-05,114.23,116.99,113.39,114.8,739100,0.0,0.0
2020-06-08,114.46,116.96,114.36,116.0,441200,0.0,0.0
2020-06-09,114.78,115.05,113.0,113.97,363300,0.0,0.0
2020-06-10,113.9,113.9,110.82,113.07,656900,0.0,0.0
2020-06-11,110.7,110.7,104.19,104.27,710500,0.0,0.0
2020-06-12,107.97,108.87,104.27,105.66,429900,0.0,0.0
2020-06-15,102.76,108.27,101.54,107.54,376100,0.0,0.0
2020-06-16,111.48,111.61,106.75,108.31,547400,0.0,0.0
2020-06-17,108.6,109.08,107.36,107.76,260400,0.0,0.0
2020-06-18,107.7,108.69,106.94,108.43,412900,0.0,0.0
2020-06-19,110.42,110.42,106.6,106.61,542300,0.0,0.0
2020-06-22,105.62,106.42,104.66,105.91,403900,0.0,0.0
2020-06-23,107.17,107.88,105.6,107.5,605300,0.0,0.0
2020-06-24,106.48,106.9,104.25,104.53,908100,0.0,0.0
2020-06-25,104.32,104.32,101.85,103.68,826900,0.0,0.0
2020-06-26,103.46,104.52,101.83,102.24,1504400,0.0,0.0
2020-06-29,103.18,105.26,102.73,104.21,337900,0.0,0.0
2020-06-30,104.07,107.14,104.01,106.21,594900,0.0,0.0
2020-07-01,106.44,106.83,104.54,106.15,492500,0.0,0.0
2020-07-02,107.23,109.44,106.72,108.92,728400,0.0,0.0
2020-07-06,111.18,111.8,108.65,110.02,629400,0.0,0.0
2020-07-07,108.64,108.77,107.31,107.85,480300,0.0,0.0
2020-07-08,107.5,108.03,104.72,105.15,673600,0.0,0.0
2020-07-09,104.73,104.93,102.39,102.97,573400,0.0,0.0
2020-07-10,103.15,104.12,102.41,103.37,970800,0.0,0.0
2020-07-13,104.45,106.21,103.99,104.4,946100,0.0,0.0
2020-07-14,104.38,107.82,103.74,107.82,784400,0.0,0.0
2020-07-15,109.9,111.35,109.22,110.77,761700,0.0,0.0
2020-07-16,110.68,112.25,110.22,111.17,675300,0.0,0.0
2020-07-17,111.96,113.26,110.6,112.89,595400,0.0,0.0
2020-07-20,112.18,112.65,111.4,111.61,310400,0.0,0.0
2020-07-21,111.82,113.03,111.71,112.17,400500,0.0,0.0
2020-07-22,111.83,113.76,111.65,113.76,358600,0.0,0.0
2020-07-23,113.82,115.06,112.09,112.56,362800,0.0,0.0
2020-07-24,112.69,114.24,111.63,112.09,1467700,0.0,0.0
2020-07-27,112.14,112.55,105.77,107.86,1203800,0.0,0.0
2020-07-28,109.15,110.21,108.26,109.48,968500,0.0,0.0
2020-07-29,110.04,111.13,109.16,109.81,746700,0.0,0.0
2020-07-30,108.31,108.93,106.69,107.18,457900,0.0,0.0
2020-07-31,106.78,107.09,104.36,105.51,400300,0.0,0.0
2020-08-03,106.16,106.49,104.77,105.02,480700,0.0,0.0
2020-08-04,104.56,106.29,104.08,105.98,657800,0.0,0.0
2020-08-05,106.56,108.75,106.56,108.07,608900,0.0,0.0
2020-08-06,107.93,108.78,106.25,106.55,580900,0.0,0.0
2020-08-07,105.87,107.83,105.56,107.82,379700,0.0,0.0
2020-08-10,108.32,109.1,107.37,108.16,343300,0.0,0.0
2020-08-11,110.02,111.67,109.69,110.18,625900,0.0,0.0
2020-08-12,111.66,112.48,110.88,112.14,419600,0.0,0.0
2020-08-13,110.88,110.95,109.72,110.25,366700,0.0,0.0
2020-08-14,109.39,109.82,108.32,108.54,378600,0.0,0.0
2020-08-17,109.32,109.32,107.46,107.86,354200,0.0,0.0
2020-08-18,107.71,107.9,106.27,106.44,403300,0.0,0.0
2020-08-19,107.1,108.06,105.89,106.36,333900,0.0,0.0
2020-08-20,105.28,105.75,104.46,105.61,441500,0.0,0.0
2020-08-21,105.48,107.1,104.91,106.67,360700,0.0,0.0
2020-08-24,107.5,108.28,106.85,107.41,240700,0.0,0.0
2020-08-25,108.08,108.27,106.54,107.91,438400,0.0,0.0
2020-08-26,107.64,108.02,106.7,107.76,371100,0.0,0.0
2020-08-27,107.37,109.04,107.3,108.26,349800,0.0,0.0
2020-08-28,108.58,110.19,107.45,110.02,314500,0.0,0.0
2020-08-31,110.02,110.02,106.73,107.42,544300,0.0,0.0
2020-09-01,106.81,110.13,105.78,110.09,521800,0.58,0.0
2020-09-02,110.2,113.71,110.0,113.36,553600,0.0,0.0
2020-09-03,113.41,113.52,109.51,111.42,561100,0.0,0.0
2020-09-04,112.67,112.92,110.08,111.42,574400,0.0,0.0
2020-09-08,110.76,110.76,106.25,106.72,606400,0.0,0.0
2020-09-09,107.22,109.49,107.22,108.86,439300,0.0,0.0
2020-09-10,109.66,110.45,108.45,108.57,546200,0.0,0.0
2020-09-11,109.69,113.04,109.39,112.08,807200,0.0,0.0
2020-09-14,113.48,115.87,113.33,113.97,723700,0.0,0.0
2020-09-15,115.24,120.44,115.24,119.78,956500,0.0,0.0
2020-09-16,120.1,121.39,119.78,120.07,1137400,0.0,0.0
2020-09-17,118.83,121.38,116.64,120.41,708800,0.0,0.0
2020-09-18,119.8,120.49,116.55,117.4,741900,0.0,0.0
2020-09-21,115.18,116.26,111.86,113.4,630100,0.0,0.0
2020-09-22,113.13,114.7,113.07,114.16,672200,0.0,0.0
2020-09-23,114.42,114.55,110.61,111.07,696000,0.0,0.0
2020-09-24,110.42,111.92,109.23,109.81,614100,0.0,0.0
2020-09-25,108.72,112.04,108.32,111.62,429400,0.0,0.0
2020-09-28,112.99,115.89,112.77,115.09,565200,0.0,0.0
2020-09-29,115.68,117.27,115.31,116.57,662700,0.0,0.0
2020-09-30,117.29,121.07,117.0,119.61,886400,0.0,0.0
2020-10-01,120.43,121.17,116.31,116.63,679900,0.0,0.0
2020-10-02,114.89,117.61,114.67,116.33,718300,0.0,0.0
