,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,125.36,126.02,125.09,125.69,1222200,0.0,0.0
2020-02-24,124.85,125.67,124.03,124.56,1219400,0.0,0.0
2020-02-25,124.72,124.85,121.13,121.42,1056500,0.0,0.0
2020-02-26,121.29,123.1,120.96,121.37,1118600,0.0,0.0
2020-02-27,121.13,122.6,116.52,116.57,1277700,0.0,0.0
2020-02-28,113.22,114.77,110.04,112.81,3988800,0.0,0.0
2020-03-02,113.43,119.46,113.2,119.36,1860400,0.0,0.0
2020-03-03,119.71,122.93,119.15,119.89,1639200,0.0,0.0
2020-03-04,121.4,128.02,121.4,128.0,1528700,0.0,0.0
2020-03-05,126.37,128.17,124.71,127.14,1218400,0.0,0.0
2020-03-06,124.08,129.27,122.82,128.63,1492800,0.0,0.0
2020-03-09,121.47,127.52,121.02,125.16,2322200,0.0,0.0
2020-03-10,126.03,128.41,119.78,125.63,2185400,0.0,0.0
2020-03-11,123.48,124.65,117.03,118.3,2157100,0.0,0.0
2020-03-12,111.49,116.27,104.26,107.62,2494900,0.0,0.0
2020-03-13,110.72,117.07,106.32,117.04,1667000,0.0,0.0
2020-03-16,105.37,120.75,105.23,108.39,2367600,0.0,0.0
2020-03-17,110.69,127.99,109.93,126.35,2364400,0.0,0.0
2020-03-18,118.24,121.54,111.87,118.67,2661200,0.0,0.0
2020-03-19,117.69,118.84,104.06,105.02,2393300,0.0,0.0
2020-03-20,105.02,105.02,89.63,91.86,3441000,0.0,0.0
2020-03-23,91.58,91.58,83.93,88.56,2780900,0.0,0.0
2020-03-24,91.88,96.05,88.15,94.83,2167300,0.0,0.0
2020-03-25,94.67,104.25,92.46,100.76,1757000,0.0,0.0
2020-03-26,99.01,111.18,99.01,108.85,1634100,0.0,0.0
2020-03-27,106.53,114.06,104.91,110.18,1169900,0.0,0.0
2020-03-30,112.08,116.11,111.18,115.61,1584200,0.0,0.0
2020-03-31,113.96,115.41,106.91,109.07,2831000,0.0,0.0
2020-04-01,104.91,107.64,100.86,102.91,1355700,0.0,0.0
2020-04-02,101.76,108.06,101.22,107.32,944800,0.0,0.0
2020-04-03,108.01,108.38,102.72,103.38,1187700,0.0,0.0
2020-04-06,106.01,112.49,106.01,110.86,1224000,0.0,0.0
2020-04-07,113.12,113.99,106.57,107.9,1261400,0.0,0.0
2020-04-08,108.8,115.25,107.33,114.36,952800,0.0,0.0
2020-04-09,115.3,121.22,114.58,120.2,1177300,0.0,0.0
2020-04-13,118.41,119.04,114.41,116.08,764900,0.0,0.0
2020-04-14,119.6,121.99,118.15,121.89,904400,0.0,0.0
