,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,1077.17,1082.41,1062.65,1068.03,212200,0.0,0.0
2020-02-24,1051.9,1062.98,1043.0,1056.64,333800,0.0,0.0
2020-02-25,1059.72,1063.33,1031.38,1032.68,307800,0.0,0.0
2020-02-26,1039.54,1045.27,1010.77,1014.05,295300,0.0,0.0
2020-02-27,998.9,1033.5,994.54,1004.97,322700,0.0,0.0
2020-02-28,983.09,1037.05,977.05,1032.51,597800,0.0,0.0
2020-03-02,1042.0,1051.29,1013.34,1046.89,487800,0.0,0.0
2020-03-03,1003.98,1082.3,997.89,1024.7,828100,0.0,0.0
2020-03-04,1040.0,1063.25,1008.66,1058.23,501200,0.0,0.0
2020-03-05,1037.71,1043.25,1006.61,1029.86,347900,0.0,0.0
2020-03-06,1008.5,1066.7,1002.03,1060.31,375800,0.0,0.0
2020-03-09,1013.58,1126.0,1011.77,1113.68,576400,0.0,0.0
2020-03-10,1137.57,1166.2,1112.4,1148.3,612700,0.0,0.0
2020-03-11,1133.46,1133.46,1073.13,1089.03,424400,0.0,0.0
2020-03-12,1040.13,1045.8,976.9,978.19,422800,0.0,0.0
2020-03-13,1020.65,1020.65,939.64,1012.72,458600,0.0,0.0
2020-03-16,910.0,945.15,840.9,851.33,435100,0.0,0.0
2020-03-17,870.51,927.02,846.67,913.91,438900,0.0,0.0
2020-03-18,867.0,873.75,756.03,808.5,421500,0.0,0.0
2020-03-19,799.46,834.78,730.0,827.28,463100,0.0,0.0
2020-03-20,830.25,831.65,720.88,728.13,470100,0.0,0.0
2020-03-23,711.65,741.86,684.9,723.21,435100,0.0,0.0
2020-03-24,755.64,824.98,751.84,808.42,416900,0.0,0.0
2020-03-25,821.35,884.05,805.23,844.42,360000,0.0,0.0
2020-03-26,870.17,895.41,857.03,884.98,362600,0.0,0.0
2020-03-27,852.27,882.13,827.5,851.63,251000,0.0,0.0
2020-03-30,834.9,883.64,832.91,873.98,265300,0.0,0.0
2020-03-31,861.07,878.03,835.35,846.0,509300,0.0,0.0
2020-04-01,809.78,834.17,774.9,776.85,414000,0.0,0.0
2020-04-02,776.85,797.13,757.17,794.65,358000,0.0,0.0
2020-04-03,783.48,793.97,764.44,790.55,362000,0.0,0.0
2020-04-06,829.84,892.34,811.01,875.09,625700,0.0,0.0
