,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-23 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,0.8,0.84,5.0
2024-10-30 20:00:00-04:00,0.85,0.91,6.95
2024-07-31 20:00:00-04:00,0.7,0.74,5.18
2024-04-25 20:00:00-04:00,0.56,0.68,20.92
2024-01-31 19:00:00-05:00,0.74,0.78,5.13
2023-11-01 20:00:00-04:00,0.81,0.83,2.82
2023-08-02 20:00:00-04:00,0.62,0.61,-1.68
2023-05-03 20:00:00-04:00,0.5,0.69,36.79
