,EPS Estimate,Reported EPS,Surprise(%)
2025-11-23 19:00:00-05:00,nan,nan,nan
2025-08-26 20:00:00-04:00,nan,nan,nan
2025-05-27 20:00:00-04:00,nan,nan,nan
2025-02-25 19:00:00-05:00,nan,nan,nan
2024-11-25 19:00:00-05:00,1.29,1.26,-2.65
2024-08-28 20:00:00-04:00,1.16,1.34,15.8
2024-05-29 20:00:00-04:00,1.08,1.2,11.53
2024-02-28 19:00:00-05:00,2.52,2.72,7.88
2023-11-20 19:00:00-05:00,1.18,1.29,8.91
2023-08-28 20:00:00-04:00,1.06,1.22,14.73
2023-05-24 20:00:00-04:00,1.11,1.15,3.53
2023-03-01 19:00:00-05:00,2.11,2.61,23.95
