,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,75.71,75.94,74.28,74.81,1877800,0.0,0.0
2020-02-24,71.42,72.94,70.49,70.87,2880900,0.0,0.0
2020-02-25,71.82,71.91,67.69,67.87,2900900,0.0,0.0
2020-02-26,68.65,70.31,68.09,68.11,3465900,0.0,0.0
2020-02-27,65.89,68.35,64.65,64.91,5770800,0.0,0.0
2020-02-28,63.04,64.63,60.79,62.7,4756400,0.0,0.0
2020-03-02,63.2,65.99,61.59,65.98,3898300,0.0,0.0
2020-03-03,65.64,67.49,62.84,63.45,2731400,0.0,0.0
2020-03-04,65.06,66.7,63.89,66.65,3110300,0.0,0.0
2020-03-05,64.51,65.78,63.83,64.54,2771400,0.0,0.0
2020-03-06,62.45,63.56,59.73,61.18,3047400,0.0,0.0
2020-03-09,56.14,57.79,54.75,55.42,3959200,0.0,0.0
2020-03-10,57.51,58.52,55.05,58.12,2767700,0.0,0.0
2020-03-11,56.23,56.39,52.91,54.18,3652400,0.0,0.0
2020-03-12,49.72,49.93,45.75,45.92,3948400,0.0,0.0
2020-03-13,48.9,50.96,45.08,50.61,4209700,0.0,0.0
2020-03-16,44.76,47.57,40.62,47.49,5346600,0.0,0.0
2020-03-17,48.34,50.75,45.85,49.99,7026600,0.0,0.0
2020-03-18,46.17,48.47,41.74,45.17,5066800,0.55,0.0
2020-03-19,43.92,49.53,40.24,45.79,4186700,0.0,0.0
2020-03-20,46.51,48.51,43.15,43.2,3851900,0.0,0.0
2020-03-23,42.22,44.33,40.99,42.4,4753100,0.0,0.0
2020-03-24,45.3,50.91,44.56,49.52,3909400,0.0,0.0
2020-03-25,49.99,54.35,47.28,50.65,3706300,0.0,0.0
2020-03-26,51.65,53.83,50.61,52.6,2567500,0.0,0.0
2020-03-27,50.6,54.18,49.89,52.25,2589100,0.0,0.0
2020-03-30,51.68,52.05,48.86,49.98,4584200,0.0,0.0
2020-03-31,49.96,50.8,47.17,47.68,4804200,0.0,0.0
2020-04-01,45.75,47.04,44.35,45.08,3620800,0.0,0.0
2020-04-02,44.44,46.05,43.25,44.13,3455400,0.0,0.0
2020-04-03,43.79,45.32,43.34,44.73,2390200,0.0,0.0
2020-04-06,47.63,50.76,46.76,50.31,2634200,0.0,0.0
2020-04-07,54.12,54.63,51.53,51.65,2623600,0.0,0.0
2020-04-08,52.8,54.65,52.31,53.91,3348600,0.0,0.0
2020-04-09,55.16,56.95,54.16,55.2,2729200,0.0,0.0
2020-04-13,54.87,57.49,54.13,57.16,3104900,0.0,0.0
