,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,19.14,19.5,19.02,19.09,5771700,0.0,0.0
2020-02-25,19.27,19.3,18.57,18.6,5792900,0.0,0.0
2020-02-26,18.71,18.79,18.15,18.16,5036600,0.0,0.0
2020-02-27,17.74,18.81,17.51,17.86,7901100,0.0,0.0
2020-02-28,17.25,17.47,16.85,17.17,10490300,0.0,0.0
2020-03-02,17.32,18.43,17.14,18.42,8850900,0.0,0.0
2020-03-03,18.31,18.94,18.12,18.46,15145100,0.0,0.0
2020-03-04,18.57,18.68,18.08,18.48,8539300,0.0,0.0
2020-03-05,17.71,17.86,17.13,17.46,7152800,0.0,0.0
2020-03-06,16.77,17.74,16.7,17.08,7709500,0.0,0.0
2020-03-09,15.56,16.25,15.38,15.39,7533000,0.0,0.0
2020-03-10,16.15,16.32,14.77,15.9,6393900,0.0,0.0
2020-03-11,15.43,15.56,14.45,14.83,6941300,0.0,0.0
2020-03-12,13.72,14.03,12.96,13.22,6361300,0.0,0.0
2020-03-13,14.04,14.5,13.25,14.29,7078100,0.0,0.0
2020-03-16,12.39,14.45,12.07,14.01,7486800,0.0,0.0
2020-03-17,14.34,15.91,13.94,15.91,7188900,0.0,0.0
2020-03-18,14.87,17.39,14.6,15.62,10336300,0.0,0.0
2020-03-19,15.29,16.91,15.27,15.33,8122400,0.0,0.0
2020-03-20,15.33,15.33,13.18,13.33,9294700,0.0,0.0
2020-03-23,13.28,13.53,12.06,12.07,7236200,0.0,0.0
2020-03-24,12.74,13.34,12.31,13.06,6294200,0.0,0.0
2020-03-25,13.14,14.13,12.53,13.25,5600000,0.0,0.0
2020-03-26,13.33,14.41,13.06,14.37,5650000,0.0,0.0
2020-03-27,14.03,14.35,13.47,13.69,4515800,0.0,0.0
2020-03-30,13.78,14.35,13.51,14.23,4361400,0.27,0.0
2020-03-31,14.06,14.18,13.28,13.38,3800300,0.0,0.0
2020-04-01,12.87,12.99,12.54,12.71,4354100,0.0,0.0
2020-04-02,12.69,13.42,12.63,12.87,5109500,0.0,0.0
2020-04-03,12.87,13.22,12.29,12.51,3697100,0.0,0.0
2020-04-06,13.01,13.55,12.97,13.42,4413800,0.0,0.0
2020-04-07,13.71,14.06,13.29,13.34,4032800,0.0,0.0
2020-04-08,13.48,13.99,12.97,13.78,4899700,0.0,0.0
2020-04-09,13.83,14.22,13.31,13.47,5304200,0.0,0.0
2020-04-13,13.5,13.53,12.74,12.89,4672900,0.0,0.0
2020-04-14,13.3,13.51,12.89,13.08,4572100,0.0,0.0
2020-04-15,12.7,12.73,12.19,12.27,3864500,0.0,0.0
2020-04-16,12.37,12.44,11.95,12.36,3634900,0.0,0.0
2020-04-17,12.9,13.19,12.65,13.09,4684000,0.0,0.0
2020-04-20,12.88,13.29,12.69,13.05,4004400,0.0,0.0
2020-04-21,12.72,13.0,12.63,12.81,3562700,0.0,0.0
2020-04-22,13.08,13.17,12.82,12.93,3436500,0.0,0.0
2020-04-23,12.95,13.3,12.59,12.71,4032200,0.0,0.0
2020-04-24,12.83,12.98,12.59,12.76,5640700,0.0,0.0
2020-04-27,12.91,13.64,12.75,13.5,4818300,0.0,0.0
2020-04-28,13.89,14.22,13.8,13.94,4401000,0.0,0.0
2020-04-29,14.43,14.87,14.09,14.82,6927600,0.0,0.0
2020-04-30,14.82,15.51,14.25,15.1,14451800,0.0,0.0
2020-05-01,14.53,14.61,13.85,14.45,5329900,0.0,0.0
2020-05-04,14.24,14.73,14.0,14.69,4729400,0.0,0.0
2020-05-05,14.87,15.06,14.35,14.39,3599400,0.0,0.0
2020-05-06,14.52,14.72,13.93,14.22,3434600,0.0,0.0
2020-05-07,14.47,14.93,14.43,14.54,2450900,0.0,0.0
2020-05-08,14.72,15.43,14.71,15.39,3150800,0.0,0.0
2020-05-11,15.17,15.76,15.05,15.68,4098500,0.0,0.0
2020-05-12,15.6,15.76,14.43,14.43,3816900,0.0,0.0
2020-05-13,14.27,14.35,13.7,13.89,5766900,0.0,0.0
2020-05-14,13.61,14.49,13.15,14.45,5156900,0.0,0.0
2020-05-15,14.1,14.28,13.91,14.23,9869800,0.0,0.0
2020-05-18,14.93,15.19,14.63,14.7,5871900,0.0,0.0
2020-05-19,14.63,14.75,14.31,14.37,3688600,0.0,0.0
2020-05-20,14.61,14.87,14.51,14.59,2882900,0.0,0.0
2020-05-21,14.53,14.73,14.37,14.39,2140300,0.0,0.0
2020-05-22,14.45,14.55,14.02,14.34,2771000,0.0,0.0
2020-05-26,14.86,15.42,14.84,15.2,3653500,0.0,0.0
2020-05-27,15.9,15.9,15.36,15.51,3722600,0.0,0.0
2020-05-28,15.64,15.64,15.09,15.16,3708100,0.0,0.0
2020-05-29,14.94,15.3,14.8,15.12,7218700,0.0,0.0
2020-06-01,15.2,15.8,15.11,15.62,3388500,0.0,0.0
2020-06-02,15.7,16.12,15.7,15.87,3229400,0.0,0.0
2020-06-03,16.17,17.05,16.14,16.9,4560800,0.0,0.0
2020-06-04,16.78,17.32,16.44,17.3,3309700,0.0,0.0
2020-06-05,18.43,18.98,18.07,18.19,4136700,0.0,0.0
2020-06-08,18.51,19.5,18.51,19.42,6483600,0.0,0.0
2020-06-09,18.83,19.06,18.34,18.96,3708700,0.0,0.0
2020-06-10,18.99,18.99,17.92,18.07,3605800,0.0,0.0
2020-06-11,16.89,17.46,16.64,16.71,3446800,0.0,0.0
2020-06-12,17.43,17.58,16.91,17.46,3698000,0.0,0.0
2020-06-15,17.03,18.16,16.84,17.82,4422600,0.0,0.0
2020-06-16,18.55,18.55,17.74,18.03,3276100,0.0,0.0
2020-06-17,18.02,18.42,17.86,18.03,2278400,0.0,0.0
2020-06-18,17.82,18.42,17.69,18.08,3199900,0.0,0.0
2020-06-19,18.49,18.49,17.59,17.59,13766200,0.0,0.0
2020-06-22,17.46,17.69,17.31,17.38,2626800,0.0,0.0
2020-06-23,17.7,17.74,17.25,17.27,3635000,0.0,0.0
2020-06-24,17.23,17.23,16.61,16.69,4216900,0.0,0.0
2020-06-25,16.63,17.07,16.45,16.89,2661100,0.0,0.0
2020-06-26,16.61,16.66,15.94,16.06,3973000,0.0,0.0
2020-06-29,16.27,16.43,16.13,16.38,3282000,0.0,0.0
2020-06-30,16.27,16.91,16.25,16.81,5676700,0.0,0.0
2020-07-01,16.84,16.84,16.17,16.19,2999200,0.0,0.0
2020-07-02,16.63,16.83,16.28,16.33,2559600,0.0,0.0
2020-07-06,16.78,17.03,16.65,16.77,2316100,0.0,0.0
2020-07-07,16.53,16.77,16.49,16.57,2770500,0.0,0.0
2020-07-08,16.64,17.02,16.53,16.93,2681900,0.0,0.0
2020-07-09,16.85,16.92,16.18,16.25,2785900,0.0,0.0
2020-07-10,16.25,16.96,16.25,16.91,4200800,0.0,0.0
2020-07-13,17.1,17.15,16.65,16.72,3632700,0.0,0.0
2020-07-14,16.69,16.93,16.51,16.86,2194800,0.27,0.0
2020-07-15,17.3,17.52,16.94,17.47,2468200,0.0,0.0
2020-07-16,17.3,17.73,17.17,17.3,1700800,0.0,0.0
2020-07-17,17.36,17.55,17.04,17.09,2142000,0.0,0.0
2020-07-20,16.95,16.97,16.48,16.56,3621800,0.0,0.0
2020-07-21,16.68,17.26,16.65,17.26,3827300,0.0,0.0
2020-07-22,17.2,17.32,16.87,16.98,2890800,0.0,0.0
2020-07-23,16.85,17.04,16.62,16.89,4056100,0.0,0.0
2020-07-24,16.95,17.13,16.69,16.73,3001800,0.0,0.0
2020-07-27,16.6,17.19,16.58,17.07,4181600,0.0,0.0
2020-07-28,16.86,16.88,16.06,16.69,7233300,0.0,0.0
2020-07-29,16.86,17.2,16.68,17.15,5442800,0.0,0.0
2020-07-30,16.8,16.94,16.62,16.78,3363700,0.0,0.0
2020-07-31,16.74,17.1,16.65,17.09,13424200,0.0,0.0
2020-08-03,17.09,17.55,16.98,17.43,3111300,0.0,0.0
2020-08-04,17.3,17.47,17.09,17.22,2346700,0.0,0.0
2020-08-05,17.35,18.06,17.35,18.01,3137400,0.0,0.0
2020-08-06,17.9,18.05,17.71,17.74,2363600,0.0,0.0
2020-08-07,17.61,18.17,17.56,18.12,2108800,0.0,0.0
2020-08-10,18.2,18.25,17.94,18.17,2345800,0.0,0.0
2020-08-11,18.44,18.89,18.32,18.41,3962000,0.0,0.0
2020-08-12,18.69,18.91,17.69,17.87,3520900,0.0,0.0
2020-08-13,17.71,18.04,17.6,17.77,2031400,0.0,0.0
2020-08-14,17.67,17.92,17.47,17.82,1613600,0.0,0.0
2020-08-17,17.78,17.91,17.51,17.7,2036500,0.0,0.0
2020-08-18,17.7,17.89,17.61,17.64,2131700,0.0,0.0
2020-08-19,17.6,17.85,17.51,17.6,1849400,0.0,0.0
2020-08-20,17.42,17.51,17.19,17.19,2058500,0.0,0.0
2020-08-21,17.15,17.31,16.88,17.04,2795800,0.0,0.0
2020-08-24,17.08,17.52,17.0,17.51,2492000,0.0,0.0
2020-08-25,17.68,17.77,17.38,17.43,1218900,0.0,0.0
2020-08-26,17.38,17.4,17.19,17.3,1904900,0.0,0.0
2020-08-27,17.31,17.52,17.12,17.34,2383800,0.0,0.0
2020-08-28,17.47,17.47,17.1,17.32,2000800,0.0,0.0
2020-08-31,17.33,17.35,16.96,17.1,2796500,0.0,0.0
2020-09-01,16.95,17.15,16.85,17.07,1952400,0.0,0.0
2020-09-02,17.05,17.76,16.99,17.68,3627400,0.0,0.0
2020-09-03,17.69,18.03,17.37,17.47,2798100,0.0,0.0
2020-09-04,17.72,17.84,17.29,17.3,2854200,0.0,0.0
2020-09-08,17.16,17.21,16.59,16.69,3195200,0.0,0.0
2020-09-09,16.79,16.82,16.46,16.56,3017200,0.0,0.0
2020-09-10,16.46,16.59,16.26,16.3,3931900,0.0,0.0
2020-09-11,16.31,16.55,16.27,16.43,2852100,0.0,0.0
2020-09-14,16.51,16.75,16.42,16.54,2438600,0.0,0.0
2020-09-15,16.58,16.73,16.54,16.56,2501200,0.0,0.0
2020-09-16,16.57,17.36,16.54,17.1,2439500,0.0,0.0
2020-09-17,16.86,17.08,16.75,17.05,2173000,0.0,0.0
2020-09-18,17.01,17.38,16.96,17.23,5448600,0.0,0.0
2020-09-21,16.8,17.06,16.26,16.32,4215000,0.0,0.0
2020-09-22,16.29,16.47,15.88,16.13,2695400,0.0,0.0
2020-09-23,16.16,16.54,15.9,15.9,2798800,0.0,0.0
2020-09-24,15.86,15.92,15.52,15.65,2818400,0.0,0.0
2020-09-25,15.56,16.03,15.55,15.95,2664800,0.0,0.0
2020-09-28,16.24,16.71,16.23,16.62,2903100,0.0,0.0
2020-09-29,16.53,16.6,16.28,16.49,2218900,0.27,0.0
2020-09-30,16.56,16.91,16.51,16.74,2446900,0.0,0.0
2020-10-01,16.71,16.78,16.32,16.45,2204200,0.0,0.0
2020-10-02,16.24,16.94,16.22,16.88,2501400,0.0,0.0
2020-10-05,17.1,17.36,17.05,17.11,2927300,0.0,0.0
2020-10-06,17.27,17.77,17.13,17.21,4209100,0.0,0.0
2020-10-07,17.16,17.98,17.16,17.89,3692100,0.0,0.0
2020-10-08,18.28,18.68,18.24,18.37,6786300,0.0,0.0
2020-10-09,19.07,19.17,18.5,18.59,6501200,0.0,0.0
2020-10-12,18.59,18.95,18.54,18.9,3181700,0.0,0.0
2020-10-13,18.9,19.36,18.87,19.06,2854300,0.0,0.0
2020-10-14,19.01,19.53,19.0,19.26,2850600,0.0,0.0
2020-10-15,18.96,19.47,18.9,19.44,2619100,0.0,0.0
2020-10-16,19.48,19.61,19.24,19.33,2480700,0.0,0.0
2020-10-19,19.72,19.72,19.01,19.09,3682000,0.0,0.0
2020-10-20,19.3,19.32,18.9,18.91,3186800,0.0,0.0
2020-10-21,18.86,18.99,18.68,18.73,2965000,0.0,0.0
2020-10-22,18.76,19.11,18.55,19.07,2869500,0.0,0.0
2020-10-23,19.16,19.26,19.02,19.11,3217600,0.0,0.0
2020-10-26,18.84,18.88,18.29,18.79,4765100,0.0,0.0
2020-10-27,18.6,18.6,16.18,16.23,11141900,0.0,0.0
2020-10-28,15.85,16.05,15.19,15.34,7277300,0.0,0.0
2020-10-29,15.11,15.49,14.79,15.34,5961300,0.0,0.0
2020-10-30,15.25,15.48,15.03,15.43,6194100,0.0,0.0
2020-11-02,15.67,16.12,15.59,16.12,4590000,0.0,0.0
2020-11-03,16.42,16.65,16.36,16.46,4171600,0.0,0.0
2020-11-04,16.18,16.37,15.72,15.83,3853200,0.0,0.0
2020-11-05,16.05,16.6,15.91,16.56,3157700,0.0,0.0
2020-11-06,16.59,16.64,15.81,15.97,3496900,0.0,0.0
2020-11-09,17.3,17.72,16.74,16.8,6654200,0.0,0.0
2020-11-10,16.8,17.13,16.61,17.08,4538000,0.0,0.0
2020-11-11,17.18,17.29,16.65,16.75,4277000,0.0,0.0
2020-11-12,16.64,16.7,16.06,16.3,5805700,0.0,0.0
2020-11-13,16.51,16.93,16.48,16.88,3202000,0.0,0.0
