,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,2.24,2.13,-5.0
2024-10-29 20:00:00-04:00,2.15,2.29,6.53
2024-07-30 20:00:00-04:00,1.8,1.73,-3.64
2024-04-23 20:00:00-04:00,2.53,3.04,20.11
2024-02-06 19:00:00-05:00,2.81,3.7,31.89
2023-10-25 20:00:00-04:00,2.5,2.99,19.75
2023-08-01 20:00:00-04:00,2.69,3.72,38.35
2023-05-02 20:00:00-04:00,3.24,3.26,0.51
