,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,46.89,47.09,46.33,46.54,579700,0.0,0.0
2020-02-24,46.12,46.49,45.65,46.35,1212000,0.0,0.0
2020-02-25,46.26,46.31,44.25,44.6,1263800,0.0,0.0
2020-02-26,44.8,45.41,44.17,44.17,1324800,0.0,0.0
2020-02-27,43.62,43.7,41.53,41.83,1615500,0.0,0.0
2020-02-28,40.81,41.57,39.91,41.04,2186500,0.0,0.0
2020-03-02,41.27,43.0,41.15,42.86,1794300,0.0,0.0
2020-03-03,42.76,43.62,42.0,42.45,1125200,0.0,0.0
2020-03-04,43.12,43.97,43.06,43.46,1650600,0.0,0.0
2020-03-05,42.46,42.92,41.88,42.33,1028000,0.0,0.0
2020-03-06,41.34,41.56,40.11,40.96,1529800,0.0,0.0
2020-03-09,38.4,39.93,36.88,38.1,2266300,0.0,0.0
2020-03-10,39.08,39.15,35.62,37.89,1660500,0.0,0.0
2020-03-11,36.86,37.07,34.37,34.88,1944000,0.0,0.0
2020-03-12,32.76,33.68,29.82,31.6,3126200,0.0,0.0
2020-03-13,33.22,34.43,31.47,33.71,1727800,0.0,0.0
2020-03-16,31.44,32.89,29.13,29.41,1704700,0.0,0.0
2020-03-17,30.61,31.92,29.41,30.85,2583900,0.0,0.0
2020-03-18,28.85,29.28,25.91,26.44,2399700,0.0,0.0
2020-03-19,26.22,29.68,25.35,28.62,2221500,0.0,0.0
2020-03-20,29.21,30.65,27.71,27.78,2263000,0.0,0.0
2020-03-23,27.64,29.54,26.87,28.62,2095000,0.0,0.0
2020-03-24,30.33,31.13,29.83,30.6,1834400,0.0,0.0
2020-03-25,31.09,34.05,30.8,32.02,2054000,0.0,0.0
2020-03-26,32.48,33.92,31.75,32.9,1544000,0.0,0.0
2020-03-27,31.74,32.63,30.73,31.64,1688600,0.0,0.0
2020-03-30,31.92,35.13,31.16,34.61,1772400,0.0,0.0
2020-03-31,34.71,36.24,34.7,35.87,1988800,0.0,0.0
2020-04-01,34.61,35.35,32.81,33.54,1729400,0.0,0.0
2020-04-02,33.52,34.78,33.04,34.16,1592000,0.0,0.0
2020-04-03,33.7,34.16,32.02,32.49,1225600,0.0,0.0
2020-04-06,33.81,34.35,33.18,33.46,1534000,0.0,0.0
2020-04-07,34.57,36.07,33.21,33.24,1360400,0.0,0.0
2020-04-08,33.65,34.79,33.38,34.48,1625300,0.0,0.0
2020-04-09,34.84,36.2,34.56,35.69,1360500,0.0,0.0
2020-04-13,35.72,35.97,34.0,34.05,1026300,0.0,0.0
2020-04-14,34.94,35.6,33.9,34.5,1397100,0.0,0.0
2020-04-15,33.64,33.68,31.79,32.28,1497600,0.0,0.0
2020-04-16,32.28,33.56,31.81,33.32,1487200,0.0,0.0
2020-04-17,34.03,35.06,33.75,35.05,1789800,0.0,0.0
2020-04-20,34.53,35.08,33.89,33.99,1142000,0.0,0.0
2020-04-21,33.33,33.48,31.55,31.58,1434900,0.0,0.0
2020-04-22,32.18,33.32,31.86,33.04,1641500,0.0,0.0
2020-04-23,33.22,34.41,33.22,34.21,1087800,0.0,0.0
2020-04-24,34.77,34.82,33.87,34.63,1093300,0.0,0.0
2020-04-27,34.71,34.97,34.24,34.7,1706700,0.0,0.0
2020-04-28,35.41,35.59,34.59,35.34,1018800,0.0,0.0
2020-04-29,35.88,36.78,35.75,36.41,1107200,0.0,0.0
2020-04-30,36.03,36.22,34.57,34.68,1063200,0.0,0.0
2020-05-01,34.17,34.48,32.87,33.12,1001900,0.0,0.0
2020-05-04,32.83,33.3,32.48,32.95,1517900,0.0,0.0
2020-05-05,33.22,33.74,33.07,33.17,995500,0.0,0.0
2020-05-06,30.6,30.96,28.57,29.9,5259600,0.0,0.0
2020-05-07,30.16,32.13,30.16,31.79,2962500,0.0,0.0
2020-05-08,32.43,32.73,31.51,31.93,1632400,0.0,0.0
2020-05-11,31.61,31.84,30.26,30.31,1805400,0.0,0.0
2020-05-12,30.86,31.14,30.19,30.27,1397900,0.0,0.0
2020-05-13,30.65,30.81,29.56,30.03,1610300,0.0,0.0
2020-05-14,29.66,30.47,28.92,30.4,1446800,0.0,0.0
2020-05-15,30.17,30.87,29.92,30.45,1424100,0.5,0.0
2020-05-18,31.42,31.84,31.15,31.42,1794400,0.0,0.0
2020-05-19,31.49,31.9,31.02,31.17,1291100,0.0,0.0
2020-05-20,31.45,31.89,31.2,31.57,1325500,0.0,0.0
2020-05-21,31.35,31.67,31.04,31.51,1246300,0.0,0.0
2020-05-22,31.4,31.58,30.66,31.38,1406100,0.0,0.0
2020-05-26,32.98,33.79,32.75,33.46,2626600,0.0,0.0
2020-05-27,34.04,35.35,33.98,34.91,3097300,0.0,0.0
2020-05-28,35.21,35.38,34.28,34.48,1436000,0.0,0.0
2020-05-29,34.11,34.88,33.62,34.61,3154000,0.0,0.0
2020-06-01,34.49,35.32,34.3,34.79,1622400,0.0,0.0
2020-06-02,35.45,35.47,34.53,35.36,1743200,0.0,0.0
2020-06-03,35.87,36.96,35.82,36.71,1493300,0.0,0.0
2020-06-04,36.53,37.13,36.02,36.63,967300,0.0,0.0
2020-06-05,37.96,39.79,37.55,37.67,1519300,0.0,0.0
2020-06-08,38.49,39.35,38.41,38.86,1744000,0.0,0.0
2020-06-09,38.14,38.4,37.34,38.06,1055700,0.0,0.0
2020-06-10,38.0,38.22,35.82,35.85,1543600,0.0,0.0
2020-06-11,35.38,35.45,34.33,34.48,2285200,0.0,0.0
2020-06-12,35.49,35.69,34.27,34.94,1743300,0.0,0.0
2020-06-15,33.74,35.57,33.54,35.32,1308600,0.0,0.0
2020-06-16,36.37,36.78,35.45,36.44,1216200,0.0,0.0
2020-06-17,36.43,36.46,35.55,35.84,1124300,0.0,0.0
2020-06-18,35.45,36.68,35.22,36.55,1489800,0.0,0.0
2020-06-19,37.25,37.25,36.04,36.04,2544500,0.0,0.0
2020-06-22,36.06,36.29,35.5,35.82,1071500,0.0,0.0
2020-06-23,36.09,36.87,35.85,36.44,1580000,0.0,0.0
2020-06-24,35.95,37.4,35.21,36.53,2608100,0.0,0.0
2020-06-25,36.62,37.78,36.55,37.71,2062500,0.0,0.0
2020-06-26,37.59,37.59,35.66,35.67,2111800,0.0,0.0
2020-06-29,35.98,36.68,35.87,36.2,908000,0.0,0.0
2020-06-30,36.23,36.69,35.74,36.48,1095600,0.0,0.0
2020-07-01,36.45,36.6,35.51,35.59,1560900,0.0,0.0
2020-07-02,36.45,36.84,35.24,35.28,1555000,0.0,0.0
2020-07-06,35.79,36.13,35.43,35.91,1297900,0.0,0.0
2020-07-07,35.51,35.51,34.92,35.16,1011600,0.0,0.0
2020-07-08,35.16,35.54,34.45,34.76,893000,0.0,0.0
2020-07-09,34.53,34.59,33.7,33.91,904600,0.0,0.0
2020-07-10,33.91,35.5,33.91,35.38,975800,0.0,0.0
2020-07-13,35.98,36.49,35.25,35.92,1169200,0.0,0.0
2020-07-14,35.75,37.22,35.6,37.16,1169900,0.0,0.0
2020-07-15,37.67,38.57,37.27,38.34,1876800,0.0,0.0
2020-07-16,38.18,38.93,37.8,38.0,1009300,0.0,0.0
2020-07-17,38.22,38.55,37.93,38.19,874200,0.0,0.0
2020-07-20,37.9,38.18,36.87,37.17,927300,0.0,0.0
2020-07-21,37.31,38.4,37.31,38.04,1116800,0.0,0.0
2020-07-22,37.95,38.68,37.81,38.47,803300,0.0,0.0
2020-07-23,38.44,40.04,38.44,39.72,1142900,0.0,0.0
2020-07-24,39.65,39.9,39.03,39.32,895900,0.0,0.0
2020-07-27,38.94,39.93,38.72,39.91,1038200,0.0,0.0
2020-07-28,39.87,40.41,39.12,39.56,1001400,0.0,0.0
2020-07-29,40.59,41.41,38.9,40.07,2377500,0.0,0.0
2020-07-30,39.58,40.48,39.53,39.92,1256200,0.0,0.0
2020-07-31,39.59,39.86,38.01,38.53,1418200,0.0,0.0
2020-08-03,38.72,39.61,38.48,39.05,1236300,0.0,0.0
2020-08-04,39.05,39.33,38.24,39.3,1035300,0.0,0.0
2020-08-05,39.62,39.9,39.29,39.77,1012500,0.0,0.0
2020-08-06,39.56,40.05,39.56,39.65,788500,0.0,0.0
2020-08-07,39.4,40.44,39.36,40.32,808700,0.0,0.0
2020-08-10,40.34,41.72,40.3,41.51,1038800,0.0,0.0
2020-08-11,42.1,42.38,41.4,41.44,828000,0.0,0.0
2020-08-12,41.91,42.03,41.41,41.52,744500,0.0,0.0
2020-08-13,41.69,41.69,41.08,41.22,900500,0.0,0.0
