,EPS Estimate,Reported EPS,Surprise(%)
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,35.82,nan,nan
2024-10-29 20:00:00-04:00,77.52,83.89,8.22
2024-07-31 20:00:00-04:00,38.37,41.9,9.2
2024-05-01 20:00:00-04:00,14.09,20.39,44.74
2024-02-21 19:00:00-05:00,29.86,32.0,7.17
2023-11-01 20:00:00-04:00,67.61,72.32,6.97
2023-08-02 20:00:00-04:00,28.9,37.62,30.17
2023-05-03 20:00:00-04:00,10.61,11.6,9.29
2023-02-23 19:00:00-05:00,22.23,24.74,11.29
