,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,1947.73,1950.8,1905.26,1911.76,358500,0.0,0.0
2020-02-24,1814.83,1819.36,1762.25,1776.78,886000,0.0,0.0
2020-02-25,1787.15,1795.39,1695.97,1711.4,958300,0.0,0.0
2020-02-26,1716.0,1727.62,1645.05,1663.45,903300,0.0,0.0
2020-02-27,1598.8,1714.79,1578.45,1645.26,1338000,0.0,0.0
2020-02-28,1629.19,1702.9,1620.17,1680.75,977000,0.0,0.0
2020-03-02,1694.72,1717.69,1637.24,1713.78,869200,0.0,0.0
2020-03-03,1711.45,1734.61,1632.45,1668.22,704300,0.0,0.0
2020-03-04,1682.23,1721.62,1656.55,1716.9,593500,0.0,0.0
2020-03-05,1648.37,1665.27,1618.23,1632.96,788800,0.0,0.0
2020-03-06,1589.0,1669.2,1570.07,1597.92,1077500,0.0,0.0
2020-03-09,1470.94,1574.7,1463.53,1514.37,770300,0.0,0.0
2020-03-10,1575.97,1600.8,1486.75,1545.29,742000,0.0,0.0
2020-03-11,1508.91,1515.09,1408.07,1429.82,829800,0.0,0.0
2020-03-12,1285.6,1357.94,1268.75,1269.14,1282100,0.0,0.0
2020-03-13,1325.05,1409.17,1259.7,1408.83,1153100,0.0,0.0
2020-03-16,1263.79,1399.42,1241.21,1278.33,986900,0.0,0.0
2020-03-17,1298.05,1358.47,1241.89,1356.23,1080100,0.0,0.0
2020-03-18,1266.62,1315.42,1154.78,1222.9,933400,0.0,0.0
2020-03-19,1200.51,1225.77,1139.89,1181.0,980600,0.0,0.0
2020-03-20,1205.65,1288.52,1147.23,1167.08,1146500,0.0,0.0
2020-03-23,1156.72,1215.36,1097.55,1142.11,859900,0.0,0.0
2020-03-24,1207.91,1267.75,1190.02,1248.4,854000,0.0,0.0
2020-03-25,1248.4,1436.74,1235.99,1353.84,998700,0.0,0.0
2020-03-26,1368.19,1416.91,1341.62,1393.64,616500,0.0,0.0
2020-03-27,1333.05,1343.54,1242.59,1244.11,701500,0.0,0.0
2020-03-30,1250.18,1310.27,1206.28,1296.73,600800,0.0,0.0
2020-03-31,1291.55,1378.17,1284.62,1333.49,770300,0.0,0.0
2020-04-01,1282.43,1316.66,1237.21,1260.45,562800,0.0,0.0
2020-04-02,1259.8,1323.25,1230.31,1248.92,573800,0.0,0.0
2020-04-03,1233.24,1267.91,1192.5,1219.86,442300,0.0,0.0
2020-04-06,1291.82,1351.36,1281.44,1344.75,751500,0.0,0.0
2020-04-07,1399.6,1481.86,1354.77,1364.27,783400,0.0,0.0
2020-04-08,1370.49,1416.16,1348.05,1360.0,780900,0.0,0.0
2020-04-09,1412.23,1437.25,1390.66,1408.15,1032800,0.0,0.0
2020-04-13,1400.77,1415.45,1356.36,1408.52,404400,0.0,0.0
2020-04-14,1447.25,1457.04,1411.48,1436.68,579000,0.0,0.0
2020-04-15,1395.46,1427.34,1378.44,1412.08,452800,0.0,0.0
2020-04-16,1419.76,1419.76,1378.79,1395.03,488400,0.0,0.0
2020-04-17,1456.08,1471.61,1437.44,1457.94,691300,0.0,0.0
2020-04-20,1449.2,1457.08,1397.6,1399.22,459200,0.0,0.0
2020-04-21,1370.65,1375.54,1305.82,1330.42,652700,0.0,0.0
2020-04-22,1353.01,1367.86,1330.2,1343.09,356600,0.0,0.0
2020-04-23,1342.14,1376.78,1338.91,1348.04,372700,0.0,0.0
