,EPS Estimate,Reported EPS,Surprise(%)
2026-01-25 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-26 19:00:00-05:00,0.77,0.86,12.13
2024-10-27 20:00:00-04:00,0.88,0.91,3.96
2024-07-21 20:00:00-04:00,0.88,0.93,5.92
2024-04-21 20:00:00-04:00,1.05,1.14,8.45
2024-01-22 19:00:00-05:00,0.53,0.58,9.23
2023-10-22 20:00:00-04:00,0.62,0.71,14.84
2023-07-23 20:00:00-04:00,0.59,0.68,14.3
2023-04-23 20:00:00-04:00,0.82,0.84,2.77
