,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,0.66,0.7,6.71
2024-10-22 20:00:00-04:00,0.59,0.63,7.34
2024-07-23 20:00:00-04:00,0.58,0.62,6.85
2024-04-23 20:00:00-04:00,0.51,0.56,9.19
2024-01-30 19:00:00-05:00,0.51,0.55,7.37
2023-10-25 20:00:00-04:00,0.48,0.5,4.85
2023-07-26 20:00:00-04:00,0.49,0.53,8.27
2023-04-25 20:00:00-04:00,0.44,0.47,7.61
