,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,42.25,42.84,42.04,42.61,7282400,0.0,0.0
2020-02-24,41.47,41.9,40.91,41.08,6536700,0.0,0.0
2020-02-25,41.15,41.31,39.7,39.9,8745400,0.0,0.0
2020-02-26,40.36,40.59,39.36,39.38,10062300,0.0,0.0
2020-02-27,38.61,39.58,37.88,37.91,15338000,0.0,0.0
2020-02-28,37.09,37.54,36.25,37.38,19870200,0.0,0.0
2020-03-02,37.59,38.27,36.7,38.27,14333700,0.0,0.0
2020-03-03,38.29,39.36,36.56,37.22,13875500,0.0,0.0
2020-03-04,38.04,38.77,37.22,38.75,10112500,0.0,0.0
2020-03-05,37.99,37.99,36.34,37.45,20434800,0.0,0.0
2020-03-06,36.13,37.7,35.88,37.59,17949100,0.0,0.0
2020-03-09,34.91,35.09,33.66,34.09,15378700,0.0,0.0
2020-03-10,35.91,35.91,33.72,35.18,13372200,0.0,0.0
2020-03-11,34.16,34.79,33.47,33.86,20113200,0.0,0.0
2020-03-12,31.62,33.52,30.56,31.0,23545300,0.0,0.0
2020-03-13,32.54,32.7,29.35,32.33,17420900,0.0,0.0
2020-03-16,28.71,29.22,27.15,27.54,17232100,0.0,0.0
2020-03-17,28.1,29.04,26.34,28.79,18097200,0.0,0.0
2020-03-18,26.97,27.7,25.4,27.23,18167500,0.0,0.0
2020-03-19,26.73,28.87,25.51,28.27,12088500,0.0,0.0
2020-03-20,28.62,28.78,27.1,27.23,11222900,0.0,0.0
2020-03-23,26.89,27.19,24.1,25.82,17190500,0.0,0.0
2020-03-24,26.8,28.62,26.77,28.21,16752800,0.0,0.0
2020-03-25,28.12,31.23,27.28,29.92,19681700,0.0,0.0
2020-03-26,30.3,31.81,30.05,31.42,13137400,0.0,0.0
2020-03-27,30.31,31.38,29.46,30.61,11232700,0.0,0.0
2020-03-30,30.77,31.85,29.55,31.63,12192900,0.0,0.0
2020-03-31,31.54,33.25,31.03,32.63,14174100,0.0,0.0
2020-04-01,31.62,31.87,29.93,30.19,9990600,0.0,0.0
2020-04-02,30.01,31.45,29.64,31.04,12401900,0.0,0.0
2020-04-03,30.81,31.52,30.62,31.17,10895500,0.0,0.0
2020-04-06,32.9,33.18,32.49,32.88,13647100,0.0,0.0
2020-04-07,34.33,35.72,33.38,33.68,21342400,0.0,0.0
2020-04-08,33.99,35.7,33.7,35.13,13608500,0.0,0.0
2020-04-09,35.25,37.24,34.99,36.83,19098700,0.0,0.0
2020-04-13,36.58,36.75,34.4,35.2,11990400,0.0,0.0
2020-04-14,35.81,36.45,35.43,35.91,12337200,0.0,0.0
2020-04-15,35.18,35.24,34.18,34.79,9994300,0.0,0.0
2020-04-16,35.02,35.58,34.81,35.45,8086400,0.0,0.0
2020-04-17,36.65,38.47,36.65,38.29,19998000,0.0,0.0
2020-04-20,37.81,38.47,37.25,37.25,10392400,0.0,0.0
2020-04-21,36.18,36.63,35.0,35.04,11514900,0.0,0.0
2020-04-22,35.52,35.88,34.36,35.49,10398000,0.0,0.0
2020-04-23,35.88,36.75,35.81,36.4,8425200,0.0,0.0
2020-04-24,36.77,37.27,36.45,36.9,8100900,0.0,0.0
2020-04-27,37.18,37.43,36.63,37.0,10040400,0.0,0.0
2020-04-28,37.41,37.5,35.84,35.93,8984200,0.0,0.0
2020-04-29,36.79,37.88,36.29,37.43,12659900,0.0,0.0
2020-04-30,36.88,37.77,36.68,37.47,11143100,0.0,0.0
2020-05-01,36.95,36.97,35.75,35.99,7484800,0.0,0.0
2020-05-04,35.7,36.06,35.43,35.83,5631400,0.0,0.0
2020-05-05,36.06,37.36,36.06,36.81,7002200,0.0,0.0
2020-05-06,37.0,37.11,35.86,35.88,6826300,0.0,0.0
2020-05-07,36.54,37.09,36.38,37.0,8829200,0.0,0.0
2020-05-08,37.5,38.36,37.15,38.18,10191900,0.0,0.0
2020-05-11,37.86,38.33,37.0,37.77,7992300,0.0,0.0
2020-05-12,37.9,37.95,36.97,36.97,8027300,0.0,0.0
2020-05-13,36.84,36.93,35.47,35.77,8053500,0.0,0.0
2020-05-14,35.31,35.83,34.52,35.5,6564800,0.0,0.0
2020-05-15,35.27,35.31,34.22,34.83,10291500,0.0,0.0
2020-05-18,35.75,36.86,35.75,36.41,13687100,0.0,0.0
2020-05-19,36.38,36.56,35.4,35.43,11366700,0.0,0.0
2020-05-20,35.91,37.49,35.77,37.18,10708500,0.0,0.0
2020-05-21,35.52,36.13,34.45,34.79,24248300,0.0,0.0
2020-05-22,35.56,36.31,35.27,35.9,28426100,0.0,0.0
2020-05-26,37.02,37.02,35.86,36.18,12272300,0.0,0.0
2020-05-27,36.36,37.18,36.0,37.13,9472800,0.0,0.0
2020-05-28,37.45,37.99,37.11,37.47,8924300,0.0,0.0
2020-05-29,37.68,38.04,36.7,37.99,10062600,0.0,0.0
2020-06-01,37.7,38.18,37.41,37.5,6174600,0.0,0.0
2020-06-02,37.61,37.93,37.45,37.54,10371200,0.0,0.0
2020-06-03,37.75,38.02,37.24,37.9,12471900,0.0,0.0
2020-06-04,37.84,37.84,37.22,37.41,6797000,0.0,0.0
2020-06-05,38.15,39.33,38.0,38.83,12623000,0.0,0.0
2020-06-08,38.68,39.29,38.66,39.11,8499800,0.0,0.0
2020-06-09,38.86,38.86,38.13,38.25,11969600,0.0,0.0
2020-06-10,38.36,38.36,36.99,37.49,10655100,0.0,0.0
2020-06-11,36.43,36.7,34.68,35.04,16345600,0.0,0.0
2020-06-12,35.95,36.4,34.65,35.34,13770400,0.0,0.0
2020-06-15,34.7,36.13,34.09,35.86,11279700,0.0,0.0
2020-06-16,37.06,37.43,36.43,36.7,11106100,0.0,0.0
2020-06-17,36.68,37.2,36.43,36.88,7938700,0.0,0.0
2020-06-18,36.65,36.91,36.4,36.68,6465400,0.0,0.0
2020-06-19,37.31,37.34,36.47,36.59,20440300,0.0,0.0
2020-06-22,36.43,36.52,35.59,35.97,9613300,0.0,0.0
2020-06-23,36.31,36.7,36.2,36.25,7283200,0.0,0.0
2020-06-24,35.97,35.97,33.31,33.84,21114700,0.0,0.0
2020-06-25,33.72,33.99,33.13,33.88,12503100,0.0,0.0
2020-06-26,33.77,33.9,33.09,33.27,35515700,0.0,0.0
2020-06-29,33.56,34.65,33.0,34.65,13311000,0.0,0.0
2020-06-30,34.61,35.31,34.22,35.11,12027300,0.0,0.0
2020-07-01,35.16,35.52,34.75,35.27,7642700,0.0,0.0
2020-07-02,35.65,36.04,35.27,35.38,4738200,0.0,0.0
2020-07-06,35.86,35.95,35.34,35.59,6481400,0.0,0.0
2020-07-07,35.22,35.52,34.58,34.63,9826400,0.0,0.0
2020-07-08,34.66,34.72,34.2,34.54,13840400,0.0,0.0
2020-07-09,34.56,34.75,33.77,34.5,12329300,0.0,0.0
2020-07-10,34.43,34.75,34.27,34.68,9757300,0.0,0.0
2020-07-13,35.09,35.24,34.27,34.43,10120900,0.0,0.0
2020-07-14,34.38,35.27,34.24,35.22,10133200,0.0,0.0
2020-07-15,35.93,36.84,35.86,36.7,9442600,0.0,0.0
2020-07-16,36.86,37.04,36.18,36.36,9383300,0.0,0.0
2020-07-17,36.5,37.91,36.27,37.7,8714200,0.0,0.0
2020-07-20,37.56,37.9,36.79,37.16,8015100,0.0,0.0
2020-07-21,37.25,37.84,37.16,37.47,5777300,0.0,0.0
2020-07-22,37.56,38.75,37.5,38.38,7846200,0.0,0.0
2020-07-23,38.29,38.81,38.13,38.43,6623900,0.0,0.0
2020-07-24,38.52,38.65,38.11,38.59,6673300,0.0,0.0
2020-07-27,38.61,38.68,38.15,38.34,9552700,0.0,0.0
2020-07-28,38.22,38.68,37.95,38.27,8617300,0.0,0.0
2020-07-29,40.0,40.5,39.15,39.81,15966300,0.0,0.0
2020-07-30,39.15,39.33,38.38,38.93,7300800,0.0,0.0
2020-07-31,38.84,38.9,37.95,38.56,7060400,0.0,0.0
2020-08-03,38.68,38.88,37.99,38.0,6145500,0.0,0.0
2020-08-04,37.77,37.99,37.08,37.15,7749600,0.0,0.0
2020-08-05,37.29,38.02,37.16,37.72,6395800,0.0,0.0
2020-08-06,37.72,37.93,37.34,37.88,4367800,0.0,0.0
2020-08-07,37.77,38.99,37.63,38.97,8645400,0.0,0.0
2020-08-10,38.99,39.15,38.77,38.97,4329200,0.0,0.0
2020-08-11,39.45,39.86,39.24,39.31,7954900,0.0,0.0
2020-08-12,39.45,40.22,39.36,39.95,6500100,0.0,0.0
2020-08-13,39.74,39.91,39.31,39.75,4636600,0.0,0.0
2020-08-14,39.36,39.5,38.95,39.15,5708900,0.0,0.0
2020-08-17,39.11,39.75,39.11,39.34,4785900,0.0,0.0
2020-08-18,39.5,39.59,39.15,39.33,5267300,0.0,0.0
2020-08-19,39.4,39.74,39.25,39.34,5697500,0.0,0.0
2020-08-20,39.0,39.31,38.81,38.86,4661200,0.0,0.0
2020-08-21,38.7,38.72,37.95,38.43,8239400,0.0,0.0
2020-08-24,38.59,38.97,38.41,38.93,7824900,0.0,0.0
2020-08-25,39.31,39.74,39.11,39.63,8218200,0.0,0.0
2020-08-26,39.68,39.68,38.7,39.34,4574200,0.0,0.0
2020-08-27,39.4,41.0,39.4,40.77,8959500,0.0,0.0
2020-08-28,40.7,41.04,40.43,41.02,4542200,0.0,0.0
2020-08-31,40.93,41.24,40.74,41.02,7473600,0.0,0.0
2020-09-01,40.7,41.49,40.7,41.47,7997300,0.0,0.0
2020-09-02,41.5,42.29,41.47,42.22,9847100,0.0,0.0
2020-09-03,42.15,42.36,41.13,41.49,9762800,0.0,0.0
2020-09-04,41.59,41.95,40.84,41.47,9232500,0.0,0.0
2020-09-08,41.06,41.29,40.61,40.91,7104900,0.0,0.0
