,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,49.02,50.08,46.78,49.18,7372000,0.0,0.0
2020-02-25,49.63,49.74,47.03,47.43,6361900,0.0,0.0
2020-02-26,47.05,48.44,47.01,47.03,5732500,0.0,0.0
2020-02-27,45.52,46.74,44.11,44.75,10451400,0.0,0.0
2020-02-28,41.76,45.39,41.19,45.22,12953900,0.0,0.0
2020-03-02,45.77,47.65,45.09,47.06,8285200,0.0,0.0
2020-03-03,47.18,48.74,45.91,47.11,6414800,0.0,0.0
2020-03-04,48.22,49.0,47.11,48.79,4747500,0.0,0.0
2020-03-05,48.16,49.07,47.67,48.53,5009500,0.0,0.0
2020-03-06,46.3,46.58,44.24,45.4,10219300,0.0,0.0
2020-03-09,39.92,42.29,39.43,39.45,11938100,0.0,0.0
2020-03-10,41.87,42.64,40.06,42.53,7672600,0.0,0.0
2020-03-11,40.76,41.97,38.76,39.77,7451600,0.0,0.0
2020-03-12,33.7,37.33,31.46,33.64,17469200,0.0,0.0
2020-03-13,36.9,39.41,33.85,39.24,11798000,0.0,0.0
2020-03-16,31.91,35.74,31.74,34.04,14338600,0.0,0.0
2020-03-17,34.2,35.57,29.86,34.8,18713600,0.0,0.0
2020-03-18,31.49,34.27,27.71,34.23,16652000,0.0,0.0
2020-03-19,32.6,35.27,30.33,35.26,10469000,0.0,0.0
2020-03-20,35.32,35.59,30.32,31.63,10999100,0.0,0.0
2020-03-23,30.29,31.23,27.92,30.27,12461600,0.0,0.0
2020-03-24,32.75,35.14,32.08,33.52,10436200,0.0,0.0
2020-03-25,34.04,39.22,33.17,35.96,12177000,0.0,0.0
2020-03-26,36.91,41.44,36.75,40.31,12233000,0.0,0.0
2020-03-27,38.19,40.3,37.22,38.71,7467800,0.0,0.0
2020-03-30,38.68,40.1,37.17,39.71,5128800,0.0,0.0
2020-03-31,39.39,39.6,37.08,38.27,7005600,0.0,0.0
2020-04-01,35.73,35.84,33.97,34.26,9616800,0.0,0.0
2020-04-02,33.94,35.82,32.96,34.59,7443300,0.0,0.0
2020-04-03,34.64,35.43,34.47,35.05,7238200,0.0,0.0
2020-04-06,36.69,39.38,36.62,39.11,9093400,0.0,0.0
2020-04-07,41.99,44.25,38.16,38.32,8906500,0.0,0.0
2020-04-08,39.04,40.85,38.56,39.45,5547400,0.0,0.0
2020-04-09,41.16,43.33,40.73,41.29,9419900,0.0,0.0
2020-04-13,41.28,41.55,38.12,39.96,6844100,0.0,0.0
2020-04-14,41.25,42.24,40.26,40.28,7166500,0.0,0.0
2020-04-15,39.01,39.69,37.92,38.21,8482300,0.0,0.0
2020-04-16,38.79,40.44,38.22,40.28,5456600,0.0,0.0
2020-04-17,41.53,42.21,40.08,42.0,8384400,0.0,0.0
2020-04-20,40.8,41.07,39.81,40.46,5052500,0.0,0.0
2020-04-21,38.5,39.08,37.83,38.21,6509000,0.0,0.0
2020-04-22,39.19,39.68,38.72,38.91,3354000,0.0,0.0
2020-04-23,39.66,41.8,39.11,40.67,6846900,0.0,0.0
2020-04-24,41.54,41.54,40.1,40.67,4756800,0.0,0.0
2020-04-27,41.08,43.3,41.02,43.16,5761800,0.0,0.0
2020-04-28,44.09,44.8,42.76,43.17,4277800,0.0,0.0
2020-04-29,44.12,46.28,44.07,45.45,6621000,0.0,0.0
2020-04-30,44.66,45.37,43.19,43.87,4710700,0.0,0.0
2020-05-01,42.56,43.02,42.02,42.66,3921300,0.39,0.0
2020-05-04,41.29,42.13,41.01,41.84,4106300,0.0,0.0
2020-05-05,42.52,43.7,42.39,42.87,3753000,0.0,0.0
2020-05-06,43.15,43.61,42.59,43.31,7279500,0.0,0.0
2020-05-07,44.08,45.11,44.0,44.67,4840700,0.0,0.0
2020-05-08,44.95,45.18,44.47,44.74,3787300,0.0,0.0
2020-05-11,44.42,45.12,44.07,44.98,5513300,0.0,0.0
2020-05-12,45.27,45.72,44.39,44.4,5022000,0.0,0.0
2020-05-13,44.13,44.32,41.64,42.41,5878200,0.0,0.0
2020-05-14,41.51,42.89,40.45,42.81,5316000,0.0,0.0
2020-05-15,42.43,43.5,41.96,43.21,3422200,0.0,0.0
2020-05-18,44.85,45.67,44.51,45.33,4486500,0.0,0.0
2020-05-19,45.18,46.7,44.73,44.73,3690000,0.0,0.0
2020-05-20,45.69,46.11,45.3,45.91,3487400,0.0,0.0
