,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,50.24,50.87,49.98,50.18,2105300,0.0,0.0
2020-02-25,50.49,50.75,47.69,47.85,2764400,0.0,0.0
2020-02-26,47.86,48.98,47.46,47.48,3160700,0.0,0.0
2020-02-27,46.81,47.79,45.08,45.09,4825700,0.0,0.0
2020-02-28,43.65,45.01,42.71,44.98,6367000,0.0,0.0
2020-03-02,45.15,46.62,44.68,46.62,4630300,0.0,0.0
2020-03-03,46.59,47.37,44.45,45.71,3434500,0.0,0.0
2020-03-04,47.29,48.41,45.94,47.15,4431300,0.0,0.0
2020-03-05,45.92,46.74,44.72,45.29,3369700,0.0,0.0
2020-03-06,43.89,45.02,43.18,44.25,2889200,0.0,0.0
2020-03-09,41.43,42.93,40.66,41.36,4876900,0.0,0.0
2020-03-10,42.46,43.0,40.48,42.9,3013700,0.0,0.0
2020-03-11,41.82,42.57,41.09,41.99,3576300,0.0,0.0
2020-03-12,39.48,39.7,36.56,36.58,4218300,0.0,0.0
2020-03-13,38.3,41.21,36.73,41.1,4410300,0.0,0.0
2020-03-16,36.76,40.45,36.38,38.16,3499900,0.0,0.0
2020-03-17,38.77,41.9,37.63,41.22,3982900,0.0,0.0
2020-03-18,38.92,42.45,35.81,39.44,3776200,0.0,0.0
2020-03-19,38.97,39.98,36.35,37.79,2538300,0.0,0.0
2020-03-20,38.69,39.76,36.51,37.39,3900000,0.0,0.0
2020-03-23,37.02,37.11,33.7,35.38,3344700,0.0,0.0
2020-03-24,36.07,38.13,35.36,37.58,3275000,0.0,0.0
2020-03-25,37.68,39.86,36.19,36.46,3625900,0.0,0.0
2020-03-26,36.78,39.41,36.08,39.18,3516200,0.0,0.0
2020-03-27,37.97,39.31,37.25,38.3,3046600,0.0,0.0
2020-03-30,39.91,42.0,39.58,41.8,3754800,0.0,0.0
2020-03-31,42.56,43.75,40.96,41.79,6194700,0.48,0.0
2020-04-01,40.23,41.94,40.1,41.59,3426400,0.0,0.0
2020-04-02,40.92,41.45,38.86,40.46,3265600,0.0,0.0
2020-04-03,39.91,41.13,39.73,40.63,2567900,0.0,0.0
2020-04-06,42.19,43.36,41.28,43.02,3545500,0.0,0.0
2020-04-07,43.99,44.26,41.66,41.74,2407300,0.0,0.0
2020-04-08,42.15,43.44,41.31,43.06,2659300,0.0,0.0
