,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,133.73,136.27,132.24,134.55,2092400,0.0,0.0
2020-02-25,135.11,135.81,131.37,131.85,2038500,0.0,0.0
2020-02-26,132.43,133.59,131.29,131.58,2293700,0.0,0.0
2020-02-27,120.3,126.37,118.89,120.02,5822200,0.0,0.0
2020-02-28,117.38,119.68,113.8,115.89,6204100,0.0,0.0
2020-03-02,116.41,126.59,116.32,126.36,4077800,0.0,0.0
2020-03-03,126.84,131.42,125.9,127.89,4248500,0.0,0.0
2020-03-04,129.91,132.82,128.15,132.28,2384700,0.0,0.0
2020-03-05,130.06,132.74,129.49,131.22,2513900,0.0,0.0
2020-03-06,128.81,130.69,125.14,130.07,3109400,0.0,0.0
2020-03-09,123.73,125.57,120.36,121.54,3291300,0.0,0.0
2020-03-10,124.24,128.94,120.22,128.88,2944400,0.0,0.0
2020-03-11,125.43,126.26,122.36,124.43,3287100,0.0,0.0
2020-03-12,116.72,122.56,108.16,116.17,3854100,1.2,0.0
2020-03-13,121.97,128.79,116.7,126.42,3769000,0.0,0.0
2020-03-16,113.25,120.12,110.07,110.71,3833900,0.0,0.0
2020-03-17,113.06,124.93,112.66,119.72,4441300,0.0,0.0
2020-03-18,115.06,121.19,106.87,112.74,4357000,0.0,0.0
2020-03-19,112.42,112.59,103.73,106.58,4548200,0.0,0.0
2020-03-20,105.4,111.27,102.38,104.39,5346100,0.0,0.0
2020-03-23,103.36,104.9,94.27,95.35,4029300,0.0,0.0
2020-03-24,99.31,101.4,93.07,100.84,4397100,0.0,0.0
2020-03-25,100.24,110.03,99.18,104.3,3121700,0.0,0.0
2020-03-26,104.34,117.17,104.34,116.13,4092400,0.0,0.0
2020-03-27,113.65,115.59,110.18,111.58,3220000,0.0,0.0
2020-03-30,114.53,121.18,113.55,120.69,2934600,0.0,0.0
2020-03-31,118.97,120.49,115.58,117.71,3078400,0.0,0.0
2020-04-01,112.22,114.31,109.07,112.15,2519000,0.0,0.0
2020-04-02,112.08,119.8,110.91,119.31,3240000,0.0,0.0
2020-04-03,118.07,120.26,116.25,118.7,2117600,0.0,0.0
2020-04-06,120.96,122.27,117.98,121.25,3275700,0.0,0.0
2020-04-07,125.16,125.92,119.25,119.45,2645600,0.0,0.0
2020-04-08,120.64,128.82,119.65,128.27,2153800,0.0,0.0
2020-04-09,129.0,134.31,128.65,133.8,4349400,0.0,0.0
2020-04-13,133.02,133.33,127.42,128.02,1725500,0.0,0.0
2020-04-14,130.66,135.23,129.72,135.13,2460700,0.0,0.0
2020-04-15,135.33,135.57,131.63,132.43,2697900,0.0,0.0
2020-04-16,134.04,134.52,131.2,131.89,2038600,0.0,0.0
2020-04-17,134.69,136.81,133.5,136.17,2058900,0.0,0.0
2020-04-20,134.71,135.74,132.38,132.4,1883500,0.0,0.0
2020-04-21,130.56,131.16,128.91,130.15,2103500,0.0,0.0
2020-04-22,131.94,134.65,131.69,133.01,1649400,0.0,0.0
2020-04-23,132.66,133.5,130.2,130.87,1537200,0.0,0.0
2020-04-24,131.73,132.26,129.22,131.73,1475000,0.0,0.0
2020-04-27,132.87,134.27,132.03,133.52,1626500,0.0,0.0
2020-04-28,132.89,135.31,131.2,131.45,2059900,0.0,0.0
2020-04-29,133.2,133.26,126.4,126.71,3280000,0.0,0.0
2020-04-30,122.76,130.34,122.76,129.96,3669500,0.0,0.0
2020-05-01,127.96,128.79,126.41,127.5,1553200,0.0,0.0
2020-05-04,128.1,128.63,124.14,128.57,1803800,0.0,0.0
2020-05-05,128.46,130.41,128.29,129.35,1174900,0.0,0.0
2020-05-06,129.76,130.37,126.33,126.34,1581600,0.0,0.0
2020-05-07,127.42,128.74,125.89,126.09,2337300,0.0,0.0
2020-05-08,128.24,128.99,127.03,128.55,1370000,0.0,0.0
2020-05-11,127.02,131.1,126.81,130.25,2017700,0.0,0.0
2020-05-12,130.41,130.63,123.66,125.71,1961200,0.0,0.0
2020-05-13,125.66,129.25,124.36,124.87,2143700,0.0,0.0
2020-05-14,124.52,124.56,121.88,123.93,1718500,0.0,0.0
2020-05-15,123.44,124.47,120.28,122.38,2593900,0.0,0.0
2020-05-18,124.92,128.34,124.69,127.49,2565900,0.0,0.0
2020-05-19,126.92,127.18,124.31,124.36,1349800,0.0,0.0
2020-05-20,125.14,125.69,123.38,124.19,1816900,0.0,0.0
2020-05-21,124.06,124.52,120.95,122.95,2254200,0.0,0.0
2020-05-22,123.53,127.88,122.23,127.32,1874000,0.0,0.0
2020-05-26,131.09,131.38,127.81,130.09,2657200,0.0,0.0
2020-05-27,130.29,132.93,128.87,132.92,1690800,0.0,0.0
2020-05-28,134.52,137.92,133.65,137.59,2437000,0.0,0.0
2020-05-29,137.04,140.64,135.77,140.34,3286300,0.0,0.0
2020-06-01,139.99,143.16,138.25,141.65,2907100,0.0,0.0
2020-06-02,142.58,143.42,140.33,142.28,3183300,0.0,0.0
2020-06-03,143.92,144.16,141.78,142.29,1917600,0.0,0.0
2020-06-04,141.45,142.06,135.4,136.66,1941800,0.0,0.0
2020-06-05,138.36,139.02,135.73,137.43,3265800,0.0,0.0
2020-06-08,136.94,141.16,136.94,140.88,1958300,0.0,0.0
2020-06-09,140.5,143.96,140.27,142.11,1717800,0.0,0.0
2020-06-10,142.01,143.25,139.94,141.91,1858300,0.0,0.0
2020-06-11,139.58,140.87,131.71,131.92,3072000,1.2,0.0
2020-06-12,135.26,136.01,133.38,134.91,1941300,0.0,0.0
2020-06-15,132.43,137.75,132.31,137.54,3733600,0.0,0.0
2020-06-16,141.18,141.18,136.79,139.2,2053000,0.0,0.0
2020-06-17,140.65,141.37,139.02,139.08,2422700,0.0,0.0
2020-06-18,138.03,138.62,134.88,135.64,1982300,0.0,0.0
