,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,2.32,2.48,6.71
2024-10-29 20:00:00-04:00,2.85,2.63,-7.88
2024-07-30 20:00:00-04:00,2.53,2.5,-1.16
2024-04-30 20:00:00-04:00,2.15,1.92,-10.64
2024-02-06 19:00:00-05:00,2.56,2.57,0.39
2023-10-31 20:00:00-04:00,2.6,2.72,4.75
2023-08-01 20:00:00-04:00,2.33,2.56,9.79
2023-05-02 20:00:00-04:00,2.01,2.03,1.25
