,EPS Estimate,Reported EPS,Surprise(%)
2026-02-15 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-05-05 20:00:00-04:00,nan,nan,nan
2025-02-17 19:00:00-05:00,1.2,1.45,20.73
2024-11-03 19:00:00-05:00,2.85,2.44,-14.43
2024-07-31 20:00:00-04:00,2.71,2.38,-12.12
2024-05-07 20:00:00-04:00,1.91,2.08,8.72
2024-02-19 19:00:00-05:00,2.31,2.24,-2.88
2023-11-05 19:00:00-05:00,2.23,2.5,12.12
2023-08-06 20:00:00-04:00,2.48,2.17,-12.5
2023-05-08 20:00:00-04:00,1.64,2.01,22.79
