,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,97.37,97.55,96.51,97.23,652300,0.0,0.0
2020-02-24,94.12,94.45,92.53,93.61,764100,0.0,0.0
2020-02-25,94.17,94.17,87.93,88.08,1328100,0.0,0.0
2020-02-26,88.99,90.02,87.22,87.23,1691800,0.0,0.0
2020-02-27,85.01,86.72,82.58,82.6,1169900,0.0,0.0
2020-02-28,79.94,84.65,79.31,84.41,2435400,0.0,0.0
2020-03-02,84.73,86.99,83.49,86.78,1434700,0.0,0.0
2020-03-03,86.44,87.83,83.67,85.23,1216300,0.0,0.0
2020-03-04,86.77,88.34,83.67,88.14,1091200,0.0,0.0
2020-03-05,85.09,86.19,84.06,85.32,915000,0.0,0.0
2020-03-06,82.42,85.57,81.71,83.07,1365600,0.0,0.0
2020-03-09,77.31,81.94,70.62,71.52,1155600,0.0,0.0
2020-03-10,75.01,77.74,72.21,77.68,1297200,0.0,0.0
2020-03-11,75.27,75.47,70.53,72.64,1768800,0.0,0.0
2020-03-12,67.75,69.94,63.28,65.98,1971000,0.0,0.0
2020-03-13,70.33,71.6,65.15,70.61,1574800,0.0,0.0
2020-03-16,63.44,66.82,59.54,59.55,1129500,0.0,0.0
2020-03-17,61.36,63.63,58.03,63.42,1788100,0.0,0.0
2020-03-18,58.38,58.91,47.45,53.23,1365600,0.0,0.0
2020-03-19,52.41,65.09,50.84,57.48,1863500,0.0,0.0
2020-03-20,58.57,62.48,55.85,58.29,1807300,0.0,0.0
2020-03-23,57.91,58.82,54.32,56.01,1517800,0.0,0.0
2020-03-24,60.47,62.4,58.65,60.25,1476100,0.0,0.0
2020-03-25,60.66,68.12,59.06,65.62,1440400,0.0,0.0
2020-03-26,65.73,68.33,63.03,68.01,1575000,0.0,0.0
2020-03-27,64.98,65.54,63.33,64.18,826300,0.0,0.0
2020-03-30,65.38,67.47,62.74,66.72,853000,0.0,0.0
2020-03-31,66.68,67.73,64.89,66.09,1006400,0.0,0.0
2020-04-01,62.95,64.15,60.79,61.28,1117100,0.0,0.0
2020-04-02,61.37,65.02,59.91,61.77,1593700,0.0,0.0
2020-04-03,61.54,64.32,60.31,60.42,1110200,0.0,0.0
2020-04-06,63.74,66.18,63.54,65.26,1177400,0.0,0.0
2020-04-07,68.5,70.24,67.08,68.29,1174900,0.0,0.0
2020-04-08,69.17,74.27,68.56,73.82,1116900,0.0,0.0
2020-04-09,73.7,78.25,73.07,75.56,1096700,0.0,0.0
2020-04-13,74.8,75.48,72.38,73.93,815500,0.0,0.0
2020-04-14,75.44,75.67,72.41,73.22,1099800,0.0,0.0
2020-04-15,69.64,69.86,67.11,67.7,907900,0.0,0.0
2020-04-16,67.98,70.43,64.31,65.07,1575400,0.0,0.0
2020-04-17,67.49,71.13,67.12,70.38,1106200,0.0,0.0
2020-04-20,69.2,70.45,67.36,68.45,742600,0.0,0.0
2020-04-21,66.45,67.63,65.63,66.15,509500,0.0,0.0
2020-04-22,68.12,69.08,66.27,67.99,572500,0.0,0.0
2020-04-23,68.45,71.43,68.45,70.25,570900,0.0,0.0
2020-04-24,71.53,72.06,70.04,71.52,1363700,0.62,0.0
2020-04-27,71.26,75.71,71.23,74.98,1147000,0.0,0.0
2020-04-28,76.65,78.89,72.21,74.38,1766600,0.0,0.0
2020-04-29,73.6,79.01,73.6,78.37,910300,0.0,0.0
2020-04-30,76.52,77.05,74.68,75.4,878600,0.0,0.0
2020-05-01,73.79,73.79,71.64,71.99,898900,0.0,0.0
2020-05-04,71.04,71.07,69.27,70.65,853600,0.0,0.0
2020-05-05,71.92,73.89,70.65,70.81,677900,0.0,0.0
2020-05-06,71.83,72.16,70.14,70.42,542200,0.0,0.0
2020-05-07,71.24,73.49,71.24,72.93,862600,0.0,0.0
2020-05-08,74.43,75.68,74.1,75.08,591600,0.0,0.0
2020-05-11,73.26,73.5,71.94,72.62,653000,0.0,0.0
2020-05-12,73.03,74.39,70.62,70.66,605800,0.0,0.0
2020-05-13,70.03,70.09,66.41,67.05,674800,0.0,0.0
2020-05-14,65.56,69.14,63.26,69.1,1130800,0.0,0.0
2020-05-15,68.72,71.17,68.61,69.59,2725000,0.0,0.0
2020-05-18,72.48,77.3,72.48,76.53,1003500,0.0,0.0
2020-05-19,75.82,76.91,74.43,76.14,885500,0.0,0.0
2020-05-20,77.49,78.78,77.38,78.15,1154000,0.0,0.0
2020-05-21,77.7,78.76,76.35,78.17,947800,0.0,0.0
2020-05-22,78.05,78.27,76.46,77.59,847200,0.0,0.0
2020-05-26,80.39,83.04,80.27,82.94,902800,0.0,0.0
2020-05-27,84.91,87.16,84.24,85.41,1462700,0.0,0.0
2020-05-28,86.58,86.58,83.24,83.82,851300,0.0,0.0
2020-05-29,82.51,82.51,79.96,81.61,2508900,0.0,0.0
2020-06-01,82.03,82.44,80.7,81.09,1037900,0.0,0.0
2020-06-02,81.13,84.15,81.13,84.08,1010600,0.0,0.0
2020-06-03,85.53,87.82,85.28,86.98,609500,0.0,0.0
2020-06-04,86.19,87.5,84.83,87.49,692200,0.0,0.0
2020-06-05,91.69,92.69,88.32,88.7,1088200,0.0,0.0
2020-06-08,88.6,89.92,88.25,89.62,750700,0.0,0.0
2020-06-09,88.41,88.73,86.49,88.05,678800,0.0,0.0
2020-06-10,88.13,88.81,85.71,85.84,831000,0.0,0.0
2020-06-11,81.52,82.51,77.18,77.66,994100,0.0,0.0
2020-06-12,81.32,82.15,77.9,80.35,751000,0.0,0.0
2020-06-15,77.28,81.51,76.38,80.78,1013100,0.0,0.0
2020-06-16,84.47,85.74,81.0,81.6,1074700,0.0,0.0
2020-06-17,82.26,82.32,80.3,80.84,810800,0.0,0.0
2020-06-18,80.35,80.86,79.33,80.0,665700,0.0,0.0
2020-06-19,81.77,82.1,77.48,78.72,1863500,0.0,0.0
2020-06-22,78.74,79.48,77.03,78.4,1182900,0.0,0.0
2020-06-23,79.77,79.77,77.46,77.94,866000,0.0,0.0
2020-06-24,76.84,76.84,74.65,75.3,1064400,0.0,0.0
2020-06-25,74.86,77.34,74.09,77.24,771000,0.0,0.0
2020-06-26,77.0,77.0,74.93,75.14,922700,0.0,0.0
2020-06-29,76.04,78.01,75.5,77.51,614100,0.0,0.0
2020-06-30,76.85,78.89,76.47,78.37,833900,0.0,0.0
2020-07-01,79.01,79.48,77.13,77.82,956300,0.0,0.0
2020-07-02,79.25,81.49,79.25,80.3,885200,0.0,0.0
2020-07-06,81.67,82.06,80.05,81.57,826100,0.0,0.0
2020-07-07,80.57,80.78,79.26,79.87,701000,0.0,0.0
2020-07-08,79.55,79.9,77.04,77.83,664900,0.0,0.0
2020-07-09,77.73,78.0,75.42,76.31,611800,0.0,0.0
2020-07-10,76.74,78.85,76.24,78.47,566200,0.0,0.0
2020-07-13,79.57,80.4,78.91,79.05,752600,0.0,0.0
2020-07-14,79.09,80.78,78.77,80.64,720200,0.0,0.0
2020-07-15,82.29,84.03,81.95,83.42,641400,0.0,0.0
2020-07-16,82.99,83.82,81.71,82.23,1197100,0.0,0.0
2020-07-17,82.59,83.46,81.21,81.27,657700,0.0,0.0
2020-07-20,83.17,86.66,82.72,83.32,1226400,0.0,0.0
2020-07-21,84.06,85.69,83.82,84.99,878500,0.0,0.0
2020-07-22,84.63,85.12,83.94,85.02,724700,0.0,0.0
2020-07-23,84.8,86.08,84.09,85.46,794600,0.0,0.0
2020-07-24,85.43,85.71,84.16,84.45,846200,0.62,0.0
2020-07-27,84.87,86.99,84.35,86.99,981800,0.0,0.0
2020-07-28,86.33,87.29,84.46,85.19,1260600,0.0,0.0
2020-07-29,86.18,89.37,85.3,88.78,1760400,0.0,0.0
2020-07-30,89.27,89.46,87.42,89.17,1212400,0.0,0.0
2020-07-31,89.52,90.24,86.99,88.81,1062000,0.0,0.0
2020-08-03,88.76,89.11,86.94,88.16,1120200,0.0,0.0
2020-08-04,87.86,89.75,86.74,89.08,1145400,0.0,0.0
2020-08-05,89.9,91.91,89.89,90.68,1016200,0.0,0.0
2020-08-06,89.84,91.0,89.32,90.43,908300,0.0,0.0
2020-08-07,89.54,92.37,89.54,92.27,818500,0.0,0.0
2020-08-10,92.33,94.27,92.13,94.25,629300,0.0,0.0
2020-08-11,95.58,97.8,94.1,94.11,1050200,0.0,0.0
2020-08-12,95.19,95.42,92.97,93.2,1022400,0.0,0.0
2020-08-13,92.4,93.46,91.99,92.32,531100,0.0,0.0
2020-08-14,91.49,93.43,91.42,92.72,444500,0.0,0.0
2020-08-17,93.33,93.93,90.62,92.07,459600,0.0,0.0
2020-08-18,92.17,92.63,91.58,91.66,510700,0.0,0.0
2020-08-19,91.68,92.75,91.07,91.61,379500,0.0,0.0
2020-08-20,90.53,91.76,90.1,91.34,549800,0.0,0.0
2020-08-21,90.96,91.64,90.3,91.2,574800,0.0,0.0
2020-08-24,91.99,94.29,91.66,94.17,592500,0.0,0.0
2020-08-25,94.36,95.44,92.81,93.35,682700,0.0,0.0
2020-08-26,93.22,94.6,92.5,93.92,543300,0.0,0.0
2020-08-27,94.43,94.65,93.07,94.09,473900,0.0,0.0
2020-08-28,94.32,95.15,93.31,94.97,357000,0.0,0.0
2020-08-31,94.78,94.78,92.35,92.42,927200,0.0,0.0
2020-09-01,91.97,96.11,91.39,96.1,917100,0.0,0.0
2020-09-02,96.21,97.26,95.56,97.01,1314900,0.0,0.0
2020-09-03,97.86,97.86,93.7,94.79,1041700,0.0,0.0
2020-09-04,95.92,97.13,95.02,97.02,1403800,0.0,0.0
2020-09-08,95.42,95.89,93.86,95.17,1118900,0.0,0.0
2020-09-09,95.68,97.87,95.68,97.26,693500,0.0,0.0
2020-09-10,97.38,97.89,95.99,96.03,612200,0.0,0.0
2020-09-11,96.78,98.07,96.09,97.38,551300,0.0,0.0
2020-09-14,98.15,100.39,97.91,99.97,663900,0.0,0.0
2020-09-15,100.26,101.4,99.96,100.81,514300,0.0,0.0
2020-09-16,101.42,104.46,101.07,103.65,1097100,0.0,0.0
2020-09-17,102.57,105.11,101.62,104.37,1082900,0.0,0.0
2020-09-18,103.53,104.79,103.02,104.0,1290000,0.0,0.0
2020-09-21,101.35,101.86,99.01,100.09,908600,0.0,0.0
2020-09-22,100.63,101.3,98.81,99.74,603400,0.0,0.0
2020-09-23,99.48,100.1,96.76,96.9,845800,0.0,0.0
2020-09-24,96.85,97.98,95.14,96.36,599300,0.0,0.0
2020-09-25,95.44,97.3,95.12,96.98,478600,0.0,0.0
2020-09-28,98.72,100.45,98.3,99.23,718900,0.0,0.0
2020-09-29,99.13,99.8,97.29,97.66,476300,0.0,0.0
2020-09-30,98.33,99.89,97.91,98.18,727600,0.0,0.0
2020-10-01,98.86,100.09,96.48,96.89,733700,0.0,0.0
2020-10-02,95.31,99.88,94.39,98.91,775200,0.0,0.0
2020-10-05,99.78,102.17,99.7,101.15,859600,0.0,0.0
2020-10-06,102.06,104.95,101.51,101.58,874600,0.0,0.0
2020-10-07,104.87,107.02,104.12,106.41,778600,0.0,0.0
2020-10-08,107.1,107.93,106.02,107.77,516800,0.0,0.0
2020-10-09,108.91,109.65,107.07,107.67,791300,0.0,0.0
2020-10-12,108.32,108.32,106.71,107.17,704000,0.0,0.0
2020-10-13,106.4,106.99,105.02,106.33,638000,0.0,0.0
2020-10-14,106.6,108.73,106.6,108.28,505900,0.0,0.0
2020-10-15,106.81,109.2,105.23,109.19,538700,0.0,0.0
2020-10-16,109.66,110.26,109.01,109.74,723500,0.0,0.0
2020-10-19,109.85,111.26,107.19,107.55,726900,0.0,0.0
2020-10-20,108.44,109.27,107.23,107.23,451300,0.0,0.0
2020-10-21,106.69,108.21,105.91,106.17,594300,0.0,0.0
2020-10-22,106.82,108.23,106.25,107.88,472300,0.0,0.0
2020-10-23,108.95,109.91,108.44,109.81,1085100,0.0,0.0
2020-10-26,107.46,107.89,104.51,106.08,974000,0.62,0.0
2020-10-27,105.21,106.24,102.83,102.97,741000,0.0,0.0
2020-10-28,100.32,103.77,100.24,102.42,872300,0.0,0.0
2020-10-29,101.68,105.51,101.48,104.51,741700,0.0,0.0
2020-10-30,103.74,104.59,102.29,104.25,752900,0.0,0.0
2020-11-02,106.05,108.62,105.55,107.92,1161100,0.0,0.0
2020-11-03,109.77,109.77,108.05,108.95,631500,0.0,0.0
2020-11-04,108.07,108.74,105.7,105.78,668400,0.0,0.0
2020-11-05,107.26,111.42,106.93,109.91,780100,0.0,0.0
2020-11-06,110.68,111.45,109.43,109.93,619800,0.0,0.0
2020-11-09,116.74,123.03,114.4,115.96,1012100,0.0,0.0
2020-11-10,116.2,119.28,116.14,117.45,987700,0.0,0.0
2020-11-11,117.55,118.37,116.2,117.75,1089800,0.0,0.0
2020-11-12,116.88,117.56,113.22,114.28,819500,0.0,0.0
2020-11-13,115.16,118.04,114.84,117.94,856000,0.0,0.0
2020-11-16,119.8,122.12,119.57,121.98,885200,0.0,0.0
2020-11-17,120.45,121.72,119.13,121.61,933400,0.0,0.0
2020-11-18,122.07,124.67,121.17,122.35,1228000,0.0,0.0
2020-11-19,121.17,123.41,118.48,122.66,1074500,0.0,0.0
2020-11-20,122.24,123.48,120.81,121.16,1117000,0.0,0.0
2020-11-23,122.4,124.31,122.4,123.43,688800,0.0,0.0
2020-11-24,125.33,127.03,124.78,126.23,976000,0.0,0.0
2020-11-25,125.35,125.35,122.07,122.17,938300,0.0,0.0
2020-11-27,122.93,123.24,122.01,122.78,429600,0.0,0.0
2020-11-30,121.15,122.05,118.56,118.79,1864400,0.0,0.0
2020-12-01,121.04,122.32,119.37,119.69,993800,0.0,0.0
2020-12-02,119.41,120.63,118.35,120.0,1153100,0.0,0.0
2020-12-03,120.44,120.77,118.73,119.13,847800,0.0,0.0
2020-12-04,120.04,122.65,119.87,121.83,1634100,0.0,0.0
2020-12-07,121.41,121.75,118.99,119.2,710200,0.0,0.0
2020-12-08,118.67,120.05,118.47,119.91,525600,0.0,0.0
2020-12-09,120.95,121.82,118.69,119.91,1038900,0.0,0.0
2020-12-10,119.66,120.75,119.02,120.29,1190100,0.0,0.0
2020-12-11,119.35,120.53,118.06,120.32,846200,0.0,0.0
2020-12-14,121.54,122.33,118.38,118.47,798000,0.0,0.0
2020-12-15,119.87,120.63,118.46,120.33,703100,0.0,0.0
2020-12-16,120.89,121.45,119.21,119.42,664800,0.0,0.0
2020-12-17,120.46,120.9,118.97,120.28,757500,0.0,0.0
2020-12-18,120.09,121.47,119.02,121.02,1946700,0.0,0.0
2020-12-21,119.02,120.26,118.27,120.1,524600,0.0,0.0
2020-12-22,120.53,120.53,119.39,119.59,557700,0.0,0.0
2020-12-23,120.3,121.34,118.81,118.84,574100,0.0,0.0
2020-12-24,118.31,119.77,118.01,119.26,195700,0.0,0.0
2020-12-28,120.0,120.23,117.32,117.35,518700,0.0,0.0
2020-12-29,117.99,118.55,115.92,117.11,435900,0.0,0.0
2020-12-30,117.14,119.51,117.14,119.03,690700,0.0,0.0
2020-12-31,119.24,120.25,118.04,119.35,424700,0.0,0.0
2021-01-04,120.19,120.19,115.6,115.66,753800,0.0,0.0
2021-01-05,116.92,121.1,116.76,120.87,1815200,0.0,0.0
2021-01-06,122.77,128.67,122.51,125.42,1407700,0.0,0.0
2021-01-07,126.72,128.48,125.79,128.05,809800,0.0,0.0
2021-01-08,128.05,128.26,124.31,125.66,582700,0.0,0.0
2021-01-11,124.01,126.49,123.33,125.82,837500,0.0,0.0
2021-01-12,125.82,127.69,124.83,127.44,834400,0.0,0.0
2021-01-13,127.35,128.33,125.09,125.65,732200,0.0,0.0
2021-01-14,126.24,127.8,125.66,126.35,567200,0.0,0.0
2021-01-15,125.15,125.55,122.48,123.15,759000,0.0,0.0
2021-01-19,124.01,124.94,121.65,121.73,694700,0.0,0.0
2021-01-20,122.7,122.7,120.22,121.58,633100,0.0,0.0
2021-01-21,122.01,123.19,120.55,121.54,847500,0.0,0.0
2021-01-22,120.46,121.24,119.4,120.69,623300,0.0,0.0
2021-01-25,119.94,120.59,116.56,117.91,902000,0.0,0.0
2021-01-26,119.29,120.12,115.15,115.41,777100,0.0,0.0
2021-01-27,113.27,113.7,109.35,109.64,1515300,0.0,0.0
2021-01-28,110.87,113.83,110.08,111.76,1373800,0.0,0.0
2021-01-29,107.46,113.54,106.01,112.19,1912500,0.0,0.0
2021-02-01,113.56,114.51,111.07,112.67,1330000,0.0,0.0
2021-02-02,114.16,115.49,112.08,114.83,1281200,0.0,0.0
2021-02-03,114.38,116.8,114.28,115.96,1224300,0.0,0.0
2021-02-04,116.11,117.33,115.17,115.78,981300,0.0,0.0
2021-02-05,116.99,118.32,116.01,116.94,682900,0.0,0.0
2021-02-08,117.9,120.3,117.73,120.08,680700,0.68,0.0
2021-02-09,119.77,120.54,119.17,119.47,631300,0.0,0.0
2021-02-10,120.32,120.65,118.53,119.26,783400,0.0,0.0
2021-02-11,119.79,121.21,118.65,120.48,850700,0.0,0.0
2021-02-12,120.55,122.57,120.55,122.56,696800,0.0,0.0
2021-02-16,123.32,124.35,120.97,121.08,690600,0.0,0.0
2021-02-17,120.58,122.33,119.36,122.28,797900,0.0,0.0
2021-02-18,121.25,121.95,120.26,121.33,648200,0.0,0.0
2021-02-19,122.08,125.52,122.08,124.86,695300,0.0,0.0
2021-02-22,124.25,128.38,124.01,126.99,849000,0.0,0.0
2021-02-23,126.99,127.17,124.65,126.47,795200,0.0,0.0
2021-02-24,127.2,131.77,126.71,130.39,913100,0.0,0.0
2021-02-25,130.2,131.54,127.48,128.18,677200,0.0,0.0
2021-02-26,128.41,129.75,125.38,128.27,1143200,0.0,0.0
2021-03-01,130.71,133.33,130.24,131.59,729000,0.0,0.0
2021-03-02,131.49,133.76,131.49,131.79,775000,0.0,0.0
2021-03-03,132.19,133.99,131.53,132.58,693300,0.0,0.0
2021-03-04,132.36,134.09,128.74,130.93,859900,0.0,0.0
2021-03-05,132.57,137.37,132.3,136.53,811800,0.0,0.0
2021-03-08,136.09,140.91,136.09,138.6,955900,0.0,0.0
2021-03-09,138.6,139.06,133.9,134.23,1091700,0.0,0.0
2021-03-10,134.37,137.21,134.19,136.26,756500,0.0,0.0
2021-03-11,137.47,138.04,135.43,135.74,955400,0.0,0.0
2021-03-12,136.32,137.39,135.99,136.66,764100,0.0,0.0
2021-03-15,136.14,136.86,132.75,134.73,664900,0.0,0.0
2021-03-16,134.56,134.96,131.5,132.69,836100,0.0,0.0
2021-03-17,133.75,135.33,132.66,135.32,752900,0.0,0.0
2021-03-18,136.22,139.53,135.96,137.28,689900,0.0,0.0
