,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,1.11,1.21,8.72
2024-10-29 20:00:00-04:00,1.15,1.28,11.76
2024-07-30 20:00:00-04:00,0.96,1.15,19.95
2024-04-30 20:00:00-04:00,0.62,0.86,37.96
2024-01-30 19:00:00-05:00,0.81,0.5,-38.2
2023-10-31 20:00:00-04:00,0.82,0.84,2.79
2023-08-01 20:00:00-04:00,0.91,0.9,-1.6
2023-04-25 20:00:00-04:00,0.99,0.98,-1.1
