,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,97.92,98.25,96.92,97.4,682500,0.0,0.0
2020-02-24,96.19,96.89,94.03,94.04,775100,0.0,0.0
2020-02-25,94.43,94.76,91.55,91.63,933700,0.0,0.0
2020-02-26,92.16,92.91,90.21,90.24,1182500,0.0,0.0
2020-02-27,89.5,89.76,85.39,85.45,1742400,0.0,0.0
2020-02-28,83.59,84.13,80.59,81.58,2197100,0.0,0.0
2020-03-02,82.25,88.92,80.62,88.69,1528700,0.0,0.0
2020-03-03,88.02,89.81,86.41,87.3,1343500,0.0,0.0
2020-03-04,88.93,91.72,88.22,91.37,868700,0.0,0.0
2020-03-05,89.16,89.98,87.3,88.5,993700,0.0,0.0
2020-03-06,85.19,86.6,83.55,85.93,1241200,0.0,0.0
2020-03-09,80.79,81.81,78.03,79.36,1397500,0.0,0.0
2020-03-10,82.32,84.03,79.76,83.99,1405800,0.0,0.0
2020-03-11,80.94,82.41,77.61,78.75,1343600,0.0,0.0
2020-03-12,72.68,74.5,69.43,70.49,1276200,0.0,0.0
2020-03-13,74.36,79.27,73.58,79.26,1517600,0.0,0.0
2020-03-16,72.82,77.6,68.29,68.7,1414800,0.0,0.0
2020-03-17,70.51,75.35,64.46,74.93,1556700,0.6,0.0
2020-03-18,70.26,75.56,67.93,75.27,1273900,0.0,0.0
2020-03-19,74.11,75.34,67.89,72.24,1390300,0.0,0.0
2020-03-20,72.27,72.27,64.43,66.15,1491500,0.0,0.0
2020-03-23,64.45,66.36,57.92,58.88,1461700,0.0,0.0
2020-03-24,61.3,69.83,61.3,68.79,1465300,0.0,0.0
2020-03-25,69.42,70.47,64.4,65.45,1262000,0.0,0.0
2020-03-26,66.41,70.16,63.77,69.41,1072800,0.0,0.0
2020-03-27,66.43,69.72,65.62,66.97,800500,0.0,0.0
2020-03-30,66.88,71.03,65.26,70.31,954600,0.0,0.0
2020-03-31,69.43,72.87,65.73,66.52,2029700,0.0,0.0
2020-04-01,63.43,67.24,62.83,64.87,1195100,0.0,0.0
2020-04-02,63.94,67.23,63.02,64.29,981500,0.0,0.0
2020-04-03,63.63,65.7,62.2,62.63,963300,0.0,0.0
2020-04-06,65.67,69.18,65.03,68.25,960800,0.0,0.0
2020-04-07,71.07,73.12,70.09,70.43,1014100,0.0,0.0
2020-04-08,69.93,72.12,68.83,71.49,750200,0.0,0.0
2020-04-09,72.56,74.28,71.95,73.69,1231400,0.0,0.0
2020-04-13,74.08,74.08,71.76,72.86,609600,0.0,0.0
2020-04-14,74.89,77.24,74.24,76.8,1472100,0.0,0.0
2020-04-15,74.77,75.39,72.8,73.13,1234500,0.0,0.0
2020-04-16,73.47,73.94,71.69,72.71,879300,0.0,0.0
2020-04-17,75.05,76.01,73.48,75.65,770000,0.0,0.0
2020-04-20,74.83,74.87,71.78,72.72,623100,0.0,0.0
2020-04-21,70.83,72.19,70.13,70.69,560100,0.0,0.0
2020-04-22,72.86,72.86,70.13,70.26,567700,0.0,0.0
2020-04-23,70.45,71.31,68.68,69.13,508300,0.0,0.0
2020-04-24,70.12,70.12,68.09,69.24,522200,0.0,0.0
2020-04-27,70.38,72.74,69.69,72.33,686000,0.0,0.0
2020-04-28,67.26,68.12,62.84,63.32,3936400,0.0,0.0
2020-04-29,64.49,64.58,62.06,62.09,1620500,0.0,0.0
2020-04-30,61.29,61.57,57.8,58.02,2354400,0.0,0.0
2020-05-01,56.82,57.26,52.9,53.74,2993700,0.0,0.0
2020-05-04,53.43,53.49,51.73,53.03,2016900,0.0,0.0
2020-05-05,52.9,54.01,51.45,52.02,1646400,0.0,0.0
2020-05-06,51.32,52.01,46.78,46.83,2042100,0.0,0.0
2020-05-07,47.18,49.72,47.17,48.5,1404400,0.0,0.0
2020-05-08,49.37,49.62,47.76,49.14,1236800,0.0,0.0
2020-05-11,48.92,48.96,47.07,47.48,1419500,0.0,0.0
2020-05-12,47.61,47.74,45.36,45.36,1498100,0.0,0.0
2020-05-13,44.97,45.09,42.52,42.8,1678500,0.0,0.0
2020-05-14,42.03,45.13,40.62,44.51,1718500,0.0,0.0
2020-05-15,43.92,44.34,42.49,43.42,2585600,0.0,0.0
2020-05-18,44.94,47.42,44.94,46.88,1765600,0.0,0.0
2020-05-19,46.82,46.98,45.15,45.93,1887200,0.0,0.0
2020-05-20,46.31,47.98,45.83,47.22,1331700,0.0,0.0
2020-05-21,47.23,51.02,46.84,50.65,2161800,0.0,0.0
2020-05-22,50.77,50.77,49.15,50.54,1341800,0.0,0.0
2020-05-26,52.78,53.92,52.08,52.23,1561600,0.0,0.0
2020-05-27,54.66,55.19,52.91,54.14,2566800,0.0,0.0
2020-05-28,54.66,54.94,52.76,53.4,1553600,0.0,0.0
2020-05-29,52.47,52.64,50.82,51.98,1743600,0.0,0.0
2020-06-01,51.66,53.05,51.21,52.58,1007000,0.0,0.0
2020-06-02,53.41,54.38,52.4,53.6,873700,0.0,0.0
2020-06-03,55.35,56.98,54.74,56.31,1437600,0.0,0.0
2020-06-04,55.77,57.01,54.95,56.98,936100,0.0,0.0
2020-06-05,60.41,61.56,58.71,60.64,1723000,0.0,0.0
2020-06-08,62.38,63.02,61.08,62.98,1461200,0.0,0.0
2020-06-09,61.46,62.05,59.99,60.67,1051000,0.0,0.0
2020-06-10,60.08,60.31,57.48,57.51,1678500,0.0,0.0
2020-06-11,54.52,55.5,51.38,51.72,1708600,0.0,0.0
2020-06-12,53.84,54.82,52.57,53.81,1136800,0.0,0.0
2020-06-15,52.24,55.19,51.68,54.61,1368900,0.0,0.0
2020-06-16,57.86,58.29,55.17,56.29,1216500,0.6,0.0
2020-06-17,56.53,56.66,55.02,55.25,1006300,0.0,0.0
2020-06-18,54.7,57.43,54.67,56.21,1166600,0.0,0.0
2020-06-19,56.09,57.42,55.08,56.24,6750100,0.0,0.0
2020-06-22,55.5,56.09,54.3,55.91,1774600,0.0,0.0
2020-06-23,56.34,57.31,56.2,56.79,1342100,0.0,0.0
2020-06-24,56.05,56.09,53.96,55.21,1531700,0.0,0.0
2020-06-25,54.71,56.85,54.46,56.75,1049500,0.0,0.0
2020-06-26,55.79,56.46,54.89,55.2,1918000,0.0,0.0
2020-06-29,56.12,56.86,55.2,56.76,1075700,0.0,0.0
2020-06-30,56.05,57.33,56.05,57.01,1295600,0.0,0.0
2020-07-01,56.94,57.43,56.15,57.07,1032500,0.0,0.0
2020-07-02,58.24,59.48,57.28,57.76,1461000,0.0,0.0
2020-07-06,59.1,60.97,58.92,60.6,2111600,0.0,0.0
2020-07-07,60.12,61.82,59.63,60.81,2072700,0.0,0.0
2020-07-08,60.61,61.62,60.33,61.56,1093100,0.0,0.0
2020-07-09,61.41,61.5,58.74,59.97,1278100,0.0,0.0
2020-07-10,60.08,62.87,59.81,62.75,1147400,0.0,0.0
2020-07-13,63.28,63.64,62.14,62.4,1360700,0.0,0.0
2020-07-14,62.55,64.81,62.09,64.74,1372600,0.0,0.0
2020-07-15,65.55,66.45,64.12,65.46,1252500,0.0,0.0
2020-07-16,65.06,67.72,64.83,67.5,1080800,0.0,0.0
2020-07-17,67.67,68.81,66.56,68.25,1123500,0.0,0.0
2020-07-20,67.72,68.73,66.72,68.61,1313800,0.0,0.0
2020-07-21,68.27,70.33,68.18,69.58,1084400,0.0,0.0
2020-07-22,69.37,71.63,69.02,71.42,1091900,0.0,0.0
2020-07-23,71.49,73.8,71.44,73.6,1109000,0.0,0.0
