,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 19:00:00-05:00,nan,nan,nan
2025-10-22 20:00:00-04:00,nan,nan,nan
2025-07-23 20:00:00-04:00,nan,nan,nan
2025-04-24 20:00:00-04:00,nan,nan,nan
2025-01-30 19:00:00-05:00,0.89,0.91,2.13
2024-10-24 20:00:00-04:00,0.89,0.91,2.8
2024-07-25 20:00:00-04:00,0.87,0.91,4.83
2024-04-25 20:00:00-04:00,0.81,0.86,5.86
2024-01-25 19:00:00-05:00,0.85,0.87,2.38
2023-10-26 20:00:00-04:00,0.8,0.86,7.28
2023-07-27 20:00:00-04:00,0.75,0.77,3.24
2023-04-27 20:00:00-04:00,0.7,0.73,3.99
