,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,63.79,67.36,63.33,66.2,5584400,0.0,0.0
2020-02-25,66.18,66.71,65.4,65.65,5739500,0.0,0.0
2020-02-26,65.83,66.25,64.85,64.87,4188700,0.0,0.0
2020-02-27,64.99,65.58,62.39,62.4,6181100,0.0,0.0
2020-02-28,61.37,61.7,59.0,60.11,11130900,0.0,0.0
2020-03-02,60.94,64.55,60.94,64.44,7940800,0.0,0.0
2020-03-03,64.54,65.93,63.37,63.85,7487800,0.0,0.0
2020-03-04,65.74,67.14,64.95,67.05,7174700,0.0,0.0
2020-03-05,65.57,66.12,63.87,64.35,5877500,0.0,0.0
2020-03-06,62.6,64.73,61.83,64.5,6339600,0.0,0.0
2020-03-09,61.65,63.7,61.38,62.26,7399300,0.0,0.0
2020-03-10,63.71,64.06,60.57,63.88,7521500,0.0,0.0
2020-03-11,62.39,62.99,60.29,61.29,6860400,0.0,0.0
2020-03-12,57.76,60.0,56.22,56.83,9772200,0.0,0.0
2020-03-13,59.09,61.57,57.11,61.47,11952900,0.0,0.0
2020-03-16,55.29,58.99,55.19,55.46,8849300,0.0,0.0
2020-03-17,57.1,62.65,56.32,62.45,9389100,0.0,0.0
2020-03-18,60.31,64.17,58.13,60.21,9189300,0.0,0.0
2020-03-19,60.47,61.37,57.87,59.29,8926800,0.0,0.0
2020-03-20,59.37,59.47,54.61,55.22,9168300,0.0,0.0
2020-03-23,55.23,56.46,52.03,53.79,8306800,0.0,0.0
2020-03-24,54.36,58.6,53.03,54.42,9887200,0.0,0.0
2020-03-25,54.05,55.35,52.49,53.28,10375500,0.0,0.0
2020-03-26,53.69,57.23,53.54,56.77,9053300,0.0,0.0
2020-03-27,56.96,59.27,56.36,58.05,6366500,0.0,0.0
2020-03-30,58.7,59.54,57.79,59.23,4950500,0.0,0.0
2020-03-31,58.72,59.15,57.79,59.03,5784400,0.0,0.0
2020-04-01,57.6,58.58,57.01,58.31,4247700,0.0,0.0
2020-04-02,57.63,61.1,57.56,60.64,5676700,0.0,0.0
2020-04-03,60.45,61.1,59.38,60.15,4720800,0.0,0.0
2020-04-06,61.91,63.81,61.5,62.71,5172800,0.0,0.0
2020-04-07,62.52,63.86,61.23,61.42,5964900,0.0,0.0
2020-04-08,61.95,62.94,61.25,62.47,4265600,0.0,0.0
2020-04-09,62.86,63.58,62.06,62.19,3582500,0.0,0.0
2020-04-13,61.94,62.46,61.57,61.82,3335000,0.0,0.0
2020-04-14,63.45,65.73,62.81,65.04,4940600,0.0,0.0
2020-04-15,64.23,64.89,63.77,64.63,3390500,0.0,0.0
2020-04-16,64.85,65.19,63.82,64.8,3561800,0.0,0.0
2020-04-17,65.07,65.96,64.02,65.71,3762400,0.44,0.0
2020-04-20,65.27,65.61,64.55,64.58,3187400,0.0,0.0
2020-04-21,63.99,64.21,62.87,63.19,3142800,0.0,0.0
2020-04-22,63.72,64.2,63.15,63.73,3498100,0.0,0.0
2020-04-23,63.59,64.08,63.27,63.75,4041800,0.0,0.0
2020-04-24,63.32,64.36,63.19,63.9,3549700,0.0,0.0
2020-04-27,64.37,64.39,63.44,63.57,2926700,0.0,0.0
2020-04-28,64.38,64.38,63.04,63.64,2995700,0.0,0.0
2020-04-29,63.13,63.4,61.61,62.79,4675700,0.0,0.0
2020-04-30,62.42,63.36,61.91,62.89,7128300,0.0,0.0
2020-05-01,62.83,63.54,61.14,61.33,4497000,0.0,0.0
2020-05-04,61.44,62.52,60.88,62.18,5031500,0.0,0.0
2020-05-05,62.2,62.76,61.77,62.22,2458000,0.0,0.0
2020-05-06,62.1,62.19,60.68,60.71,4551400,0.0,0.0
2020-05-07,61.66,62.33,61.0,61.57,3985800,0.0,0.0
2020-05-08,62.42,62.49,61.56,62.08,3938600,0.0,0.0
2020-05-11,62.23,62.65,61.68,62.09,2797200,0.0,0.0
2020-05-12,62.42,62.63,61.31,61.51,3961400,0.0,0.0
2020-05-13,61.76,62.25,60.71,61.13,3864200,0.0,0.0
2020-05-14,60.96,61.12,58.66,60.02,4999800,0.0,0.0
2020-05-15,59.76,61.73,59.43,61.71,7939700,0.0,0.0
2020-05-18,62.58,63.32,61.91,62.85,5017700,0.0,0.0
2020-05-19,62.49,62.99,61.88,61.98,5304100,0.0,0.0
2020-05-20,62.35,63.18,62.16,63.07,3406100,0.0,0.0
2020-05-21,63.55,63.55,62.43,62.88,5171900,0.0,0.0
