,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,170.45,171.97,169.41,170.49,2869500,0.0,0.0
2020-02-24,169.23,173.26,168.39,170.88,2604800,0.0,0.0
2020-02-25,171.17,172.44,168.91,170.08,2754000,0.0,0.0
2020-02-26,173.87,181.48,172.8,179.76,4404600,0.0,0.0
2020-02-27,179.94,183.99,171.64,171.77,3940600,0.0,0.0
2020-02-28,168.31,170.49,159.96,162.32,4751200,0.0,0.0
2020-03-02,162.03,171.72,161.95,170.96,3768500,0.0,0.0
2020-03-03,170.95,178.62,170.4,176.4,3753700,0.0,0.0
2020-03-04,177.74,183.34,175.38,182.58,2348400,0.0,0.0
2020-03-05,178.8,182.73,176.89,181.1,2800800,0.0,0.0
2020-03-06,177.54,180.01,173.69,176.56,2771300,0.0,0.0
2020-03-09,166.75,174.47,165.82,167.95,3294200,0.85,0.0
2020-03-10,170.81,174.16,163.7,169.67,2730800,0.0,0.0
2020-03-11,165.08,166.42,157.67,159.57,2816900,0.0,0.0
2020-03-12,146.23,153.97,140.36,141.23,4187500,0.0,0.0
2020-03-13,147.76,150.94,135.04,149.18,4385600,0.0,0.0
2020-03-16,133.6,138.08,121.61,121.75,5752400,0.0,0.0
2020-03-17,126.04,138.05,122.86,136.08,3602600,0.0,0.0
2020-03-18,127.86,130.4,112.69,117.18,4677300,0.0,0.0
2020-03-19,119.22,129.77,108.03,127.22,4223800,0.0,0.0
2020-03-20,127.17,134.31,114.9,129.84,5123400,0.0,0.0
2020-03-23,129.35,129.35,112.06,114.37,3848600,0.0,0.0
2020-03-24,120.65,125.62,118.58,124.8,3172100,0.0,0.0
2020-03-25,124.58,131.63,119.95,128.13,4155600,0.0,0.0
2020-03-26,129.5,145.06,128.69,143.31,3594300,0.0,0.0
2020-03-27,136.88,146.17,134.55,140.44,2339200,0.0,0.0
2020-03-30,143.35,144.99,140.06,142.61,2299700,0.0,0.0
2020-03-31,141.09,143.28,136.76,141.72,2546300,0.0,0.0
2020-04-01,134.81,137.39,133.23,136.22,2333300,0.0,0.0
2020-04-02,136.49,138.91,133.44,138.17,2335300,0.0,0.0
2020-04-03,136.9,143.34,136.14,142.4,1747200,0.0,0.0
2020-04-06,147.35,150.81,146.21,149.53,2359700,0.0,0.0
2020-04-07,153.54,155.31,144.44,144.92,2448700,0.0,0.0
2020-04-08,147.43,149.06,144.4,148.33,1685000,0.0,0.0
2020-04-09,149.07,156.58,149.07,155.86,3187700,0.0,0.0
2020-04-13,153.75,154.57,148.53,149.73,1290300,0.0,0.0
2020-04-14,150.58,155.03,150.58,154.15,1905500,0.0,0.0
2020-04-15,150.76,153.26,150.35,151.62,1648000,0.0,0.0
2020-04-16,152.86,154.29,150.99,153.55,1200600,0.0,0.0
2020-04-17,155.3,157.58,154.09,157.06,1597100,0.0,0.0
2020-04-20,157.49,157.59,147.67,151.32,2660200,0.0,0.0
2020-04-21,147.13,149.66,140.1,145.91,2532600,0.0,0.0
2020-04-22,148.69,149.52,145.35,147.03,1794300,0.0,0.0
2020-04-23,146.54,149.16,145.62,146.29,1348500,0.0,0.0
2020-04-24,148.59,150.5,146.91,149.76,1483600,0.0,0.0
2020-04-27,151.29,154.76,150.36,153.89,2104600,0.0,0.0
2020-04-28,154.5,157.37,150.14,151.08,2140200,0.0,0.0
2020-04-29,153.0,156.35,148.45,148.74,2394400,0.0,0.0
2020-04-30,147.81,148.13,142.99,146.07,2413200,0.0,0.0
