,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,0.25,0.25,2.04
2024-10-28 20:00:00-04:00,0.25,0.27,7.02
2024-07-23 20:00:00-04:00,0.32,0.34,7.31
2024-04-23 20:00:00-04:00,11.68,13.37,14.47
2024-02-05 19:00:00-05:00,9.75,10.36,6.22
2023-10-25 20:00:00-04:00,10.55,11.36,7.64
2023-07-25 20:00:00-04:00,12.31,12.65,2.75
2023-04-24 20:00:00-04:00,8.92,10.5,17.71
