,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,18.52,18.59,18.31,18.4,15110000,0.0,0.0
2020-02-24,17.94,18.0,17.67,17.7,33115000,0.0,0.0
2020-02-25,17.79,17.83,17.02,17.12,36805000,0.0,0.0
2020-02-26,17.1,17.37,16.85,16.94,28545000,0.0,0.0
2020-02-27,16.22,16.31,15.01,15.11,67575000,0.0,0.0
2020-02-28,14.68,15.49,14.05,15.47,75255000,0.0,0.0
2020-03-02,15.59,15.63,14.79,15.37,43460000,0.0,0.0
2020-03-03,15.36,15.63,14.46,14.72,38955000,0.0,0.0
2020-03-04,15.28,15.45,14.81,15.39,38630000,0.0,0.0
2020-03-05,15.0,15.1,14.27,14.55,42190000,0.0,0.0
2020-03-06,14.06,14.59,13.7,14.46,42040000,0.0,0.0
2020-03-09,13.34,13.79,13.01,13.15,51320000,0.0,0.0
2020-03-10,13.77,14.09,13.23,14.02,45485000,0.0,0.0
2020-03-11,13.61,13.81,12.52,12.92,49765000,0.0,0.0
2020-03-12,11.74,12.27,11.3,12.06,104020000,0.0,0.0
2020-03-13,13.0,13.11,12.01,12.6,54440000,0.0,0.0
2020-03-16,11.39,11.6,10.39,11.43,60480000,0.0,0.0
2020-03-17,11.46,11.58,10.0,10.48,75590000,0.0,0.0
2020-03-18,9.84,10.0,8.3,9.3,75505000,0.0,0.0
2020-03-19,9.11,11.06,9.01,10.72,70730000,0.0,0.0
2020-03-20,11.47,11.93,11.04,11.31,87595000,0.0,0.0
2020-03-23,11.22,12.04,11.02,11.77,64345000,0.0,0.0
2020-03-24,12.77,13.8,12.6,13.28,58005000,0.0,0.0
2020-03-25,13.69,13.88,12.0,12.98,47155000,0.0,0.0
2020-03-26,13.23,13.44,12.72,13.22,39695000,0.0,0.0
2020-03-27,12.48,12.87,12.27,12.7,42870000,0.0,0.0
2020-03-30,12.44,12.95,12.39,12.79,26655000,0.0,0.0
2020-03-31,12.69,13.49,12.5,13.08,42320000,0.0,0.0
2020-04-01,12.6,12.9,12.08,12.38,41005000,0.0,0.0
2020-04-02,12.14,12.69,12.02,12.6,31695000,0.0,0.0
2020-04-03,12.62,12.9,11.99,12.22,42990000,0.0,0.0
2020-04-06,12.64,14.15,12.6,13.79,49205000,0.0,0.0
2020-04-07,15.0,15.12,13.49,14.08,49790000,0.0,0.0
2020-04-08,14.18,14.69,14.0,14.5,30660000,0.0,0.0
2020-04-09,14.89,15.77,14.64,15.42,51330000,0.0,0.0
2020-04-13,15.37,15.42,14.56,14.88,34125000,0.0,0.0
2020-04-14,15.44,15.88,15.3,15.7,41890000,0.0,0.0
2020-04-15,15.15,15.56,15.04,15.4,28580000,0.0,0.0
2020-04-16,15.46,15.8,15.17,15.73,28145000,0.0,0.0
2020-04-17,16.21,16.48,16.06,16.4,32920000,0.0,0.0
2020-04-20,16.14,16.44,16.08,16.17,29400000,0.0,0.0
2020-04-21,15.97,16.18,15.44,15.73,48860000,0.0,0.0
2020-04-22,16.97,18.1,16.68,17.64,117725000,0.0,0.0
2020-04-23,17.89,18.19,17.18,17.34,66025000,0.0,0.0
2020-04-24,17.46,17.75,17.21,17.64,26510000,0.0,0.0
2020-04-27,17.81,18.0,17.61,17.66,25925000,0.0,0.0
2020-04-28,17.97,17.97,17.28,17.36,25835000,0.0,0.0
2020-04-29,17.6,17.88,17.26,17.64,25875000,0.0,0.0
2020-04-30,17.6,17.95,17.54,17.57,22470000,0.0,0.0
2020-05-01,17.17,17.66,17.13,17.49,21730000,0.0,0.0
2020-05-04,17.24,17.52,17.12,17.5,14060000,0.0,0.0
2020-05-05,17.63,17.73,17.31,17.4,15935000,0.0,0.0
2020-05-06,17.5,17.67,17.34,17.34,14565000,0.0,0.0
2020-05-07,17.63,18.0,17.51,17.95,24550000,0.0,0.0
2020-05-08,18.0,18.55,17.86,18.51,36805000,0.0,0.0
2020-05-11,18.39,18.85,18.33,18.67,28535000,0.0,0.0
2020-05-12,18.87,19.31,18.58,18.59,34300000,0.0,0.0
2020-05-13,18.59,18.74,17.77,18.05,35865000,0.0,0.0
2020-05-14,18.02,18.7,17.94,18.64,28935000,0.0,0.0
2020-05-15,18.52,19.48,18.52,19.43,42600000,0.0,0.0
2020-05-18,19.94,20.35,19.84,19.97,38930000,0.0,0.0
2020-05-19,20.0,20.41,19.95,20.18,23060000,0.0,0.0
2020-05-20,20.44,20.64,20.28,20.59,20740000,0.0,0.0
2020-05-21,20.7,20.76,20.25,20.53,22750000,0.0,0.0
2020-05-22,20.53,21.15,20.36,21.11,22550000,0.0,0.0
2020-05-26,21.72,21.73,20.2,20.34,38800000,0.0,0.0
2020-05-27,20.43,20.47,19.74,19.79,40780000,0.0,0.0
2020-05-28,20.02,20.13,19.72,19.9,31570000,0.0,0.0
2020-05-29,20.02,20.13,19.79,20.07,33585000,0.0,0.0
2020-06-01,20.25,21.12,20.2,20.95,35660000,0.0,0.0
2020-06-02,21.0,21.26,20.7,21.17,21475000,0.0,0.0
2020-06-03,21.23,21.39,20.9,20.99,25830000,0.0,0.0
2020-06-04,20.88,21.19,20.7,20.83,17970000,0.0,0.0
2020-06-05,21.0,21.38,20.9,21.06,18545000,0.0,0.0
2020-06-08,21.05,21.29,20.66,20.98,15805000,0.0,0.0
2020-06-09,20.73,21.05,20.7,20.78,13795000,0.0,0.0
2020-06-10,20.85,20.85,20.46,20.57,16105000,0.0,0.0
2020-06-11,20.04,20.55,19.92,20.01,23415000,0.0,0.0
2020-06-12,20.51,20.51,19.29,19.83,25425000,0.0,0.0
2020-06-15,19.48,20.5,19.42,20.46,18170000,0.0,0.0
2020-06-16,20.75,20.75,20.05,20.63,15665000,0.0,0.0
2020-06-17,20.62,20.85,20.41,20.45,12055000,0.0,0.0
2020-06-18,20.53,20.77,20.39,20.6,11525000,0.0,0.0
2020-06-19,20.79,20.84,20.21,20.21,21425000,0.0,0.0
2020-06-22,20.53,21.42,20.5,21.4,29540000,0.0,0.0
2020-06-23,21.47,21.47,20.69,20.78,21470000,0.0,0.0
2020-06-24,20.72,21.06,20.36,20.95,19145000,0.0,0.0
2020-06-25,20.94,21.03,20.65,20.97,10890000,0.0,0.0
2020-06-26,20.97,20.98,20.58,20.66,24975000,0.0,0.0
2020-06-29,20.69,21.15,20.42,20.91,14845000,0.0,0.0
2020-06-30,20.97,21.12,20.69,21.04,19895000,0.0,0.0
2020-07-01,21.07,21.47,20.96,21.36,14185000,0.0,0.0
2020-07-02,21.62,21.69,21.05,21.12,13220000,0.0,0.0
2020-07-06,21.33,22.58,21.22,22.51,33325000,0.0,0.0
2020-07-07,22.39,22.91,22.1,22.18,21460000,0.0,0.0
2020-07-08,22.37,22.65,22.14,22.28,15925000,0.0,0.0
2020-07-09,22.6,22.66,22.1,22.31,14390000,0.0,0.0
2020-07-10,22.21,22.37,22.02,22.36,10945000,0.0,0.0
2020-07-13,22.63,22.8,21.74,21.77,18210000,0.0,0.0
2020-07-14,21.78,22.09,21.35,22.06,13365000,0.0,0.0
2020-07-15,22.52,22.71,22.09,22.67,16605000,0.0,0.0
2020-07-16,22.48,22.65,22.25,22.59,12085000,0.0,0.0
2020-07-17,22.73,22.78,22.45,22.72,13760000,0.0,0.0
2020-07-20,23.0,23.39,22.95,23.27,21015000,0.0,0.0
2020-07-21,23.53,23.53,23.02,23.26,14055000,0.0,0.0
2020-07-22,23.22,23.73,23.22,23.7,37470000,0.0,0.0
2020-07-23,23.37,23.71,22.33,22.42,48045000,0.0,0.0
2020-07-24,22.25,22.62,21.89,22.6,21070000,0.0,0.0
2020-07-27,22.78,23.03,22.55,22.85,17145000,0.0,0.0
2020-07-28,22.81,22.85,22.2,22.24,15795000,0.0,0.0
2020-07-29,22.4,23.09,22.36,23.06,14875000,0.0,0.0
2020-07-30,22.78,23.21,22.76,22.96,12215000,0.0,0.0
2020-07-31,23.06,23.1,22.55,23.1,15140000,0.0,0.0
2020-08-03,23.06,23.13,22.72,22.93,11840000,0.0,0.0
2020-08-04,22.98,23.31,22.92,23.29,11105000,0.0,0.0
2020-08-05,23.39,23.49,23.14,23.4,10370000,0.0,0.0
2020-08-06,23.3,23.79,23.3,23.73,12405000,0.0,0.0
2020-08-07,23.63,23.86,23.18,23.61,11600000,0.0,0.0
2020-08-10,23.61,23.77,22.65,23.21,15235000,0.0,0.0
2020-08-11,23.29,23.44,22.82,22.94,11175000,0.0,0.0
2020-08-12,23.15,23.37,23.05,23.21,7830000,0.0,0.0
2020-08-13,23.42,23.95,23.34,23.89,13135000,0.0,0.0
2020-08-14,23.78,24.06,23.61,23.73,8070000,0.0,0.0
2020-08-17,24.0,24.39,23.81,24.32,9660000,0.0,0.0
2020-08-18,24.42,24.78,24.19,24.73,12765000,0.0,0.0
2020-08-19,24.75,24.89,24.33,24.38,9580000,0.0,0.0
2020-08-20,24.25,24.89,24.25,24.79,11275000,0.0,0.0
2020-08-21,24.79,25.18,24.77,25.06,11720000,0.0,0.0
2020-08-24,25.36,25.42,24.82,24.83,11925000,0.0,0.0
