,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,59.38,59.91,59.28,59.29,2028300,0.0,0.0
2020-02-24,59.39,59.69,58.86,59.12,2121800,0.0,0.0
2020-02-25,59.17,59.4,57.88,57.9,2173500,0.0,0.0
2020-02-26,58.03,58.62,57.54,57.55,2033000,0.0,0.0
2020-02-27,57.36,57.79,54.37,54.41,3190000,0.0,0.0
2020-02-28,53.33,53.46,51.21,52.34,5533300,0.0,0.0
2020-03-02,52.49,55.57,52.46,55.56,3386700,0.0,0.0
2020-03-03,55.65,56.95,55.18,55.71,4155400,0.0,0.0
2020-03-04,56.55,59.53,56.54,59.2,2932000,0.0,0.0
2020-03-05,58.43,59.76,57.81,58.67,2997100,0.0,0.0
2020-03-06,57.18,58.97,56.61,58.81,3584600,0.0,0.0
2020-03-09,55.07,57.77,54.15,56.67,5894700,0.0,0.0
2020-03-10,57.05,58.66,54.28,56.74,5114900,0.0,0.0
2020-03-11,55.66,56.38,53.69,54.79,4299100,0.0,0.0
2020-03-12,50.91,54.9,49.23,51.01,5920200,0.0,0.0
2020-03-13,53.12,54.25,50.16,54.04,4145400,0.0,0.0
2020-03-16,48.69,53.84,48.25,49.33,4328000,0.0,0.0
2020-03-17,50.59,58.72,50.14,56.15,5261100,0.0,0.0
2020-03-18,53.19,55.73,47.08,52.53,4019100,0.0,0.0
2020-03-19,52.68,52.68,48.32,48.93,2977900,0.0,0.0
2020-03-20,48.46,48.46,42.11,42.92,4233800,0.0,0.0
2020-03-23,42.66,42.74,39.87,42.02,3455300,0.0,0.0
2020-03-24,42.81,44.69,41.77,44.55,3438100,0.0,0.0
2020-03-25,44.22,47.82,42.63,46.18,3504900,0.0,0.0
2020-03-26,45.9,50.16,45.79,49.32,2645000,0.0,0.0
2020-03-27,47.95,51.91,47.56,50.44,3011800,0.0,0.0
2020-03-30,51.29,53.92,49.84,53.65,3586800,0.0,0.0
2020-03-31,52.49,53.47,50.52,50.89,4664400,0.0,0.0
2020-04-01,49.05,49.92,46.74,48.25,2527900,0.0,0.0
2020-04-02,47.48,49.95,47.4,49.25,3684800,0.0,0.0
2020-04-03,47.61,49.14,46.92,47.25,2480000,0.0,0.0
2020-04-06,48.88,51.75,48.23,50.97,2366400,0.0,0.0
