,EPS Estimate,Reported EPS,Surprise(%)
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,0.4,nan,nan
2024-10-27 20:00:00-04:00,0.32,0.31,-1.99
2024-07-29 20:00:00-04:00,0.32,0.36,11.59
2024-04-29 20:00:00-04:00,0.53,0.55,4.18
2024-02-19 19:00:00-05:00,0.32,0.32,-0.12
2023-10-25 20:00:00-04:00,0.35,0.4,12.99
2023-07-26 20:00:00-04:00,0.27,0.28,2.56
2023-04-26 20:00:00-04:00,0.47,0.5,5.83
2023-02-16 19:00:00-05:00,0.29,0.28,-2.01
