,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,22.54,22.69,22.2,22.24,13501900,0.0,0.0
2020-02-24,22.06,22.26,21.77,22.19,6522800,0.0,0.0
2020-02-25,22.2,22.39,21.51,21.55,6731300,0.0,0.0
2020-02-26,21.56,21.78,21.15,21.19,5898600,0.0,0.0
2020-02-27,21.22,22.29,20.77,21.26,12105400,0.0,0.0
2020-02-28,20.89,20.93,19.78,20.26,12507100,0.0,0.0
2020-03-02,20.31,20.9,20.05,20.9,7324600,0.0,0.0
2020-03-03,20.8,21.28,20.06,20.33,10594000,0.0,0.0
2020-03-04,20.48,21.07,20.2,20.96,6441600,0.0,0.0
2020-03-05,20.62,20.65,19.79,19.95,9387500,0.0,0.0
2020-03-06,19.36,19.45,18.42,18.96,11016500,0.0,0.0
2020-03-09,18.16,18.96,15.1,15.86,11313700,0.0,0.0
2020-03-10,16.39,16.55,15.33,16.46,14277200,0.0,0.0
2020-03-11,15.94,16.06,14.93,15.54,16227900,0.0,0.0
2020-03-12,14.38,14.43,12.87,13.08,13141000,0.0,0.0
2020-03-13,13.7,13.85,12.32,13.68,11802100,0.0,0.0
2020-03-16,12.5,12.71,10.86,10.98,12262400,0.0,0.0
2020-03-17,11.22,12.9,10.74,12.89,12252300,0.0,0.0
2020-03-18,12.02,12.19,10.27,10.97,9909700,0.0,0.0
2020-03-19,10.86,11.21,10.19,10.76,6883800,0.0,0.0
2020-03-20,10.99,12.08,10.28,10.98,16152100,0.0,0.0
2020-03-23,10.88,11.31,10.5,10.64,7790700,0.0,0.0
2020-03-24,11.52,12.2,11.35,11.99,6956800,0.0,0.0
2020-03-25,12.3,13.86,11.5,13.31,10463100,0.0,0.0
2020-03-26,13.35,14.28,13.21,13.98,9137700,0.0,0.0
2020-03-27,13.39,14.98,13.27,14.34,9872100,0.0,0.0
2020-03-30,14.43,14.56,13.65,14.28,7026600,0.0,0.0
2020-03-31,14.14,14.27,13.5,13.59,8535100,0.0,0.0
2020-04-01,12.71,12.83,12.01,12.42,9715400,0.0,0.0
2020-04-02,12.15,12.93,11.95,12.43,18760800,0.0,0.0
