,EPS Estimate,Reported EPS,Surprise(%)
2025-12-02 19:00:00-05:00,nan,nan,nan
2025-08-25 20:00:00-04:00,nan,nan,nan
2025-05-27 20:00:00-04:00,nan,nan,nan
2025-03-05 19:00:00-05:00,nan,nan,nan
2024-12-04 19:00:00-05:00,1.0,1.04,4.14
2024-08-27 20:00:00-04:00,0.91,0.96,5.5
2024-05-29 20:00:00-04:00,0.83,0.85,2.63
2024-02-28 19:00:00-05:00,0.78,0.85,8.59
2023-12-06 19:00:00-05:00,3.48,3.47,-0.16
2023-08-29 20:00:00-04:00,3.34,3.35,0.32
2023-05-31 20:00:00-04:00,3.03,3.08,1.56
2023-03-01 19:00:00-05:00,2.7,2.9,7.57
